id,selection_reasons,problem_type,question_length,answer_sign,answer_magnitude
train-000014,combinatorics_probability,combinatorics_probability,284,positive,d2
train-000038,combinatorics_probability,combinatorics_probability,157,positive,d6_plus
train-000041,large_integer_answer,geometry,376,positive,d6_plus
train-000069,geometry,geometry,771,positive,d3
train-000078,geometry,geometry,117,positive,d1
train-000144,condition_omission_risk,combinatorics_probability,417,positive,d2
train-000163,long_word_problem,combinatorics_probability,638,positive,d3
train-000202,number_theory,number_theory,207,positive,d3
train-000224,number_theory,geometry,337,positive,d2
train-000242,long_word_problem,geometry,610,positive,d1
train-000355,long_word_problem,arithmetic_word_problem,974,positive,d2
train-000359,condition_omission_risk,algebra,281,zero,d1
train-000374,condition_omission_risk,number_theory,647,positive,d4_5
train-000381,geometry,geometry,176,negative,d1
train-000396,geometry,geometry,195,positive,d1
train-000481,number_theory,number_theory,197,positive,d3
train-000482,geometry,geometry,372,positive,d3
train-000489,condition_omission_risk,arithmetic_word_problem,390,positive,d2
train-000506,geometry,geometry,129,positive,d1
train-000544,condition_omission_risk,geometry,314,positive,d2
train-000624,large_integer_answer,arithmetic_word_problem,196,positive,d6_plus
train-000697,long_word_problem,algebra,959,positive,d1
train-000720,number_theory,number_theory,326,positive,d2
train-000721,combinatorics_probability,combinatorics_probability,402,positive,d3
train-000723,combinatorics_probability,combinatorics_probability,212,positive,d2
train-000763,combinatorics_probability,combinatorics_probability,292,positive,d2
train-000799,condition_omission_risk,arithmetic_word_problem,307,positive,d3
train-000829,number_theory,number_theory,113,positive,d1
train-000857,long_word_problem,arithmetic_word_problem,642,positive,d1
train-000879,number_theory,number_theory,322,positive,d3
train-000895,geometry,geometry,157,positive,d4_5
train-000936,geometry,geometry,240,positive,d2
train-000979,combinatorics_probability,combinatorics_probability,296,positive,d2
train-000993,long_word_problem,arithmetic_word_problem,759,positive,d2
train-000996,number_theory,number_theory,194,positive,d1
train-001009,long_word_problem,geometry,678,positive,d3
train-001039,large_integer_answer,number_theory,161,positive,d6_plus
train-001056,geometry,geometry,142,positive,d2
train-001089,geometry,geometry,120,positive,d1
train-001114,long_word_problem,arithmetic_word_problem,622,positive,d2
train-001119,condition_omission_risk,arithmetic_word_problem,396,positive,d1
train-001134,geometry,geometry,146,positive,d2
train-001164,number_theory,number_theory,91,positive,d1
train-001243,long_word_problem,combinatorics_probability,1446,positive,d1
train-001266,long_word_problem,combinatorics_probability,854,positive,d2
train-001281,number_theory,number_theory,74,positive,d1
train-001302,number_theory,number_theory,160,positive,d2
train-001342,geometry,geometry,343,positive,d2
train-001353,long_word_problem,arithmetic_word_problem,740,positive,d1
train-001409,combinatorics_probability,combinatorics_probability,249,positive,d1
train-001504,geometry,geometry,429,positive,d2
train-001524,long_word_problem,algebra,646,positive,d4_5
train-001528,condition_omission_risk,algebra,199,positive,d3
train-001567,long_word_problem,arithmetic_word_problem,605,positive,d4_5
train-001572,condition_omission_risk,number_theory,301,positive,d2
train-001640,geometry,geometry,375,positive,d1
train-001688,long_word_problem,algebra,639,positive,d1
train-001704,number_theory,number_theory,179,positive,d2
train-001708,long_word_problem,arithmetic_word_problem,925,positive,d2
train-001742,geometry,geometry,332,positive,d2
train-001748,geometry,geometry,150,positive,d2
train-001763,condition_omission_risk,number_theory,380,positive,d3
train-001775,condition_omission_risk,arithmetic_word_problem,434,positive,d2
train-001798,combinatorics_probability,combinatorics_probability,122,positive,d2
train-001799,condition_omission_risk,algebra,249,positive,d4_5
train-001802,combinatorics_probability,combinatorics_probability,253,positive,d2
train-001841,large_integer_answer,number_theory,63,positive,d6_plus
train-001875,large_integer_answer,algebra,186,positive,d6_plus
train-001902,geometry,geometry,95,positive,d2
train-001914,combinatorics_probability|condition_omission_risk,combinatorics_probability,301,positive,d1
train-001954,large_integer_answer,arithmetic_word_problem,122,positive,d6_plus
train-001962,large_integer_answer,number_theory,323,positive,d6_plus
