source_row_index,id,decision,decision_reason,question_sha256,legacy_question_sha256,question_content_matches_legacy,legacy_filtered_membership
0,val-000000,keep,present_in_legacy_filtered_derivative,66027769a6fd897069f3045e6dad617268c145724cfc2a8306b3dde80d96a3e1,66027769a6fd897069f3045e6dad617268c145724cfc2a8306b3dde80d96a3e1,true,true
1,val-000001,keep,present_in_legacy_filtered_derivative,debe8bd29279456a8754b38aeb399d6a4e4557400905011a791d6c6ddcdd602d,debe8bd29279456a8754b38aeb399d6a4e4557400905011a791d6c6ddcdd602d,true,true
2,val-000002,keep,present_in_legacy_filtered_derivative,38a26ecbf73a3dc437f1787734015b7b363eec931a454165646505e2073a470f,38a26ecbf73a3dc437f1787734015b7b363eec931a454165646505e2073a470f,true,true
3,val-000003,keep,present_in_legacy_filtered_derivative,0baeae17fc0f48094394963f475000d77f4f89081bd1d817f15d645f052a722a,0baeae17fc0f48094394963f475000d77f4f89081bd1d817f15d645f052a722a,true,true
4,val-000004,keep,present_in_legacy_filtered_derivative,8c932bac2de65c123512de34dfae556cb842d661419efa804e1c86094abcd5c4,8c932bac2de65c123512de34dfae556cb842d661419efa804e1c86094abcd5c4,true,true
5,val-000005,keep,present_in_legacy_filtered_derivative,10dac4565ad0f7bb9203872e1955d7f7403a3f67048cc8361b08cb3997b6a97f,10dac4565ad0f7bb9203872e1955d7f7403a3f67048cc8361b08cb3997b6a97f,true,true
6,val-000006,exclude,absent_from_legacy_filtered_derivative; historical semantic reason unavailable,0c6dc1cb4b7766264b42973fb8b06535b040fce6de183f1e94608931d704aab9,,,false
7,val-000007,exclude,absent_from_legacy_filtered_derivative; historical semantic reason unavailable,cb3014114b99b6f97087ff888b119a1400efcbf4adf0ed7b2d0d86d62bd00721,,,false
8,val-000008,keep,present_in_legacy_filtered_derivative,60e94cdec08cb276e7868c6045aae6d86079a02fd5d82a6c291b0a801e7daea9,60e94cdec08cb276e7868c6045aae6d86079a02fd5d82a6c291b0a801e7daea9,true,true
9,val-000009,keep,present_in_legacy_filtered_derivative,56ab65f1a52ff74c69664ffb30f4295cc5b0650c30687a29e2cb15d8cc42676b,56ab65f1a52ff74c69664ffb30f4295cc5b0650c30687a29e2cb15d8cc42676b,true,true
10,val-000010,exclude,absent_from_legacy_filtered_derivative; historical semantic reason unavailable,0bc69b8cba528a14242bd54db92dece89ff27cfc097d0b4e5beab5af2ae0ba22,,,false
11,val-000011,keep,present_in_legacy_filtered_derivative,7860d1594358f8f3aaa6a17b7dad4237a7746a389b37c5da4640dca127af1939,7860d1594358f8f3aaa6a17b7dad4237a7746a389b37c5da4640dca127af1939,true,true
12,val-000012,exclude,absent_from_legacy_filtered_derivative; historical semantic reason unavailable,a81dfe3d6b0137e251a0dcd780115db20cd332eceac8b29a1c8a2f3b411111e2,,,false
13,val-000013,exclude,absent_from_legacy_filtered_derivative; historical semantic reason unavailable,fac5e51991ca21397410d089aacb6fb8c46204e66cd46764b16723f0990aba52,,,false
14,val-000014,keep,present_in_legacy_filtered_derivative,0218310e7b631aad4950ce903a9b4351e2fa504e2870b56cf492d119108a92a9,0218310e7b631aad4950ce903a9b4351e2fa504e2870b56cf492d119108a92a9,true,true
15,val-000015,keep,present_in_legacy_filtered_derivative,853abac9328e3989d410f3b8564d534602bb44bc8fa719e89a9d2a92578c2e56,853abac9328e3989d410f3b8564d534602bb44bc8fa719e89a9d2a92578c2e56,true,true
16,val-000016,keep,present_in_legacy_filtered_derivative,b7e580ad6aebcb3d0ea8b6dae37479285c67a2a12519e9b74720fcab290fd6d1,b7e580ad6aebcb3d0ea8b6dae37479285c67a2a12519e9b74720fcab290fd6d1,true,true
17,val-000017,exclude,absent_from_legacy_filtered_derivative; historical semantic reason unavailable,67ed06d6ef6c1dd3a1572f7c38f378342654ac6e2b121ac61896dfc37bb180a5,,,false
18,val-000018,keep,present_in_legacy_filtered_derivative,33fa10e1be30e36f13d545b6648c162a0765cda164f4bfe661b053e67da2be39,33fa10e1be30e36f13d545b6648c162a0765cda164f4bfe661b053e67da2be39,true,true
19,val-000019,keep,present_in_legacy_filtered_derivative,a93a90b734a280cfb6db7c0bcbaf08bc8985a80117c5aaf9f01535229a004a8a,a93a90b734a280cfb6db7c0bcbaf08bc8985a80117c5aaf9f01535229a004a8a,true,true
20,val-000020,keep,present_in_legacy_filtered_derivative,40cd5776280e14c877c3506c3177b267529abe6ea9df49cdaeece75d22ec9c79,40cd5776280e14c877c3506c3177b267529abe6ea9df49cdaeece75d22ec9c79,true,true
21,val-000021,keep,present_in_legacy_filtered_derivative,b44fcd5dde4886e5fc3f5cebec386c831fcc67356c17ea454a84db45c7115ef7,b44fcd5dde4886e5fc3f5cebec386c831fcc67356c17ea454a84db45c7115ef7,true,true
22,val-000022,keep,present_in_legacy_filtered_derivative,6a64c1ed738c632d53454cd11276044212679d85a2aa43cdd5ca7f0adbe56937,6a64c1ed738c632d53454cd11276044212679d85a2aa43cdd5ca7f0adbe56937,true,true
23,val-000023,keep,present_in_legacy_filtered_derivative,ac55ac00c459d0f1eb379df847500c914ff6bb70815371c8da357a1b597f74a0,ac55ac00c459d0f1eb379df847500c914ff6bb70815371c8da357a1b597f74a0,true,true
24,val-000024,keep,present_in_legacy_filtered_derivative,6f4168954ac789ea9a01a45436a47363e8bd1e9556cc73b9f59fd8bbed617c97,6f4168954ac789ea9a01a45436a47363e8bd1e9556cc73b9f59fd8bbed617c97,true,true
25,val-000025,exclude,absent_from_legacy_filtered_derivative; historical semantic reason unavailable,977079f136b708b9af41c652d976ce7152dee886dfbd6004110e53ea4afa4939,,,false
26,val-000026,keep,present_in_legacy_filtered_derivative,7218d17254f9e79d337eb382a2e48d4623250a05d608fdb72cbc96ca9e80884d,7218d17254f9e79d337eb382a2e48d4623250a05d608fdb72cbc96ca9e80884d,true,true
27,val-000027,keep,present_in_legacy_filtered_derivative,1a30fa87c45a0fcefb5fb535574c0b1e4e3bd8b2b1c8f944436a22f5a0b8a1f7,1a30fa87c45a0fcefb5fb535574c0b1e4e3bd8b2b1c8f944436a22f5a0b8a1f7,true,true
28,val-000028,keep,present_in_legacy_filtered_derivative,077b87141338ed32fa9100457a498a6995fecd8199a7a3f0020419d98d09cd39,077b87141338ed32fa9100457a498a6995fecd8199a7a3f0020419d98d09cd39,true,true
29,val-000029,keep,present_in_legacy_filtered_derivative,3a66cf4755c4e66627d85d5d52baaeae1abb109f95cde424563804c01cd06c66,3a66cf4755c4e66627d85d5d52baaeae1abb109f95cde424563804c01cd06c66,true,true
30,val-000030,keep,present_in_legacy_filtered_derivative,fa97fde1b3c53b7470ad77187681ac4c150675829e9baf5b9d97dc20dad1a983,fa97fde1b3c53b7470ad77187681ac4c150675829e9baf5b9d97dc20dad1a983,true,true
31,val-000031,keep,present_in_legacy_filtered_derivative,bec5e4e6791b40c02cd24980e045a1f04da7c2ef2a158458a87ec84404a4489a,bec5e4e6791b40c02cd24980e045a1f04da7c2ef2a158458a87ec84404a4489a,true,true
32,val-000032,keep,present_in_legacy_filtered_derivative,22543725fed86590831f826c825ec275923661ef9d1ca92d741f6626931eda3b,40f9142fef224ae03851a9d25fd129162824c0f8e53385ff36021af6a8672ec2,false,true
33,val-000033,keep,present_in_legacy_filtered_derivative,071655a5d1ee975f1457ecd339b7e4aa682661e059d9c57d4ab0756204fa5fd3,071655a5d1ee975f1457ecd339b7e4aa682661e059d9c57d4ab0756204fa5fd3,true,true
34,val-000034,keep,present_in_legacy_filtered_derivative,682ffd452cf9a342a47249502b3606760f7a4c51907c9366afccd98ddec6325b,682ffd452cf9a342a47249502b3606760f7a4c51907c9366afccd98ddec6325b,true,true
35,val-000035,keep,present_in_legacy_filtered_derivative,81695c5667beeda3bd46c8d4a0fda83016cefc0d088451671287d0f11d9f0a8e,81695c5667beeda3bd46c8d4a0fda83016cefc0d088451671287d0f11d9f0a8e,true,true
36,val-000036,keep,present_in_legacy_filtered_derivative,432e292157c47b7cb77644893423ef4ad31a43427d2ff99b9bef1869d5ab7d36,432e292157c47b7cb77644893423ef4ad31a43427d2ff99b9bef1869d5ab7d36,true,true
37,val-000037,keep,present_in_legacy_filtered_derivative,8817b8c7e670a680c3dc6f813bec4939978a571a85f1471c811cca8978bd8b5f,8817b8c7e670a680c3dc6f813bec4939978a571a85f1471c811cca8978bd8b5f,true,true
38,val-000038,keep,present_in_legacy_filtered_derivative,10a91770bb79dc18093de2e818c07899c82770628dbb0223ef77d188b9a7a0d3,10a91770bb79dc18093de2e818c07899c82770628dbb0223ef77d188b9a7a0d3,true,true
39,val-000039,exclude,absent_from_legacy_filtered_derivative; historical semantic reason unavailable,3ef95d36e3f4993611a0aee3ea7a7763f5038210d5aae41769462b6409adcc8e,,,false
40,val-000040,exclude,absent_from_legacy_filtered_derivative; historical semantic reason unavailable,94a53822118881569947a74cea7affd7f929f66265541210d6beb95cab678822,,,false
41,val-000041,keep,present_in_legacy_filtered_derivative,c4f6c8fbe8abdfa9d05c9ef5e56215e9a0a96723a2588659e486dcf2f194b18f,c4f6c8fbe8abdfa9d05c9ef5e56215e9a0a96723a2588659e486dcf2f194b18f,true,true
42,val-000042,keep,present_in_legacy_filtered_derivative,6e174b905d16e30c21f9d53a417596d542cd19ea3d974e3027f56c6b4c461ff8,6e174b905d16e30c21f9d53a417596d542cd19ea3d974e3027f56c6b4c461ff8,true,true
43,val-000043,keep,present_in_legacy_filtered_derivative,74ad2002447761200b5d82212a22258e3f238f3a82b5c72b93c6c3119c601f55,74ad2002447761200b5d82212a22258e3f238f3a82b5c72b93c6c3119c601f55,true,true
44,val-000044,keep,present_in_legacy_filtered_derivative,6f76e72f857d8bc60036dc6eebcce10edf5c5fa07a8ba939e63cae84056d0859,6f76e72f857d8bc60036dc6eebcce10edf5c5fa07a8ba939e63cae84056d0859,true,true
45,val-000045,keep,present_in_legacy_filtered_derivative,e0ebbeef7f3e0c3ef6146a5265df8d5f47b301b98369d71adb61b908ab2cdf3b,e0ebbeef7f3e0c3ef6146a5265df8d5f47b301b98369d71adb61b908ab2cdf3b,true,true
46,val-000046,exclude,absent_from_legacy_filtered_derivative; historical semantic reason unavailable,91685f3d1f0a4815746620e7a78f347c147d5ad22fcb8cace1680457bd9b9047,,,false
47,val-000047,keep,present_in_legacy_filtered_derivative,0a679720d21694df093fa2fdf939d8bbbcd9ef3e8b88ede1ec6a177b6f256a43,0a679720d21694df093fa2fdf939d8bbbcd9ef3e8b88ede1ec6a177b6f256a43,true,true
48,val-000048,keep,present_in_legacy_filtered_derivative,4dda1bd59b6e00f75977f47a5958c897c59442d6323e5f96c244075c0881e9a3,4dda1bd59b6e00f75977f47a5958c897c59442d6323e5f96c244075c0881e9a3,true,true
49,val-000049,exclude,absent_from_legacy_filtered_derivative; historical semantic reason unavailable,d71cc2dd196253d14182fc10d2d56f98d9314b7a8cad1cd8453b5640bd6746a2,,,false
50,val-000050,exclude,absent_from_legacy_filtered_derivative; historical semantic reason unavailable,05ca2e1946feea2c53e2d45d28e4d328c43a96b4a2082bad9ab071c22df7e3c1,,,false
51,val-000051,keep,present_in_legacy_filtered_derivative,55f7fbcf60f3cb7889a23b75547f10d45a3450734e5c7d56a44503d8f9f00609,55f7fbcf60f3cb7889a23b75547f10d45a3450734e5c7d56a44503d8f9f00609,true,true
52,val-000052,keep,present_in_legacy_filtered_derivative,d96d60efcf9ff6488a41f888d8f68b390bf6c21da504ed4a9fdb9ff6e7948e89,d96d60efcf9ff6488a41f888d8f68b390bf6c21da504ed4a9fdb9ff6e7948e89,true,true
53,val-000053,keep,present_in_legacy_filtered_derivative,25ffb7c0545ba7941befcc4dc0068f42f76f05428efc8a02be6b3426c6d69aab,25ffb7c0545ba7941befcc4dc0068f42f76f05428efc8a02be6b3426c6d69aab,true,true
54,val-000054,keep,present_in_legacy_filtered_derivative,c74f78b83c949cf59a00d1593605cf8a4b5ab9acde0c981a3f92a3f4cf3e6bc8,c74f78b83c949cf59a00d1593605cf8a4b5ab9acde0c981a3f92a3f4cf3e6bc8,true,true
55,val-000055,keep,present_in_legacy_filtered_derivative,e1bdb1e5cdc98e45b50810bd3b5939a360190e4883da8429dcef117f7add9fc2,e1bdb1e5cdc98e45b50810bd3b5939a360190e4883da8429dcef117f7add9fc2,true,true
56,val-000056,keep,present_in_legacy_filtered_derivative,6e8394e3cbf8572832e32c1c21556131b982092f0385c0dbb3ff52dd32c7d1db,6e8394e3cbf8572832e32c1c21556131b982092f0385c0dbb3ff52dd32c7d1db,true,true
57,val-000057,keep,present_in_legacy_filtered_derivative,cb56f3a40a79a4ff602b1631548d7a30867e90ab9e7b3b059f36b1dba296c5bf,cb56f3a40a79a4ff602b1631548d7a30867e90ab9e7b3b059f36b1dba296c5bf,true,true
58,val-000058,keep,present_in_legacy_filtered_derivative,019f631aaaf41e843938b5bd62cffe7382aac7981b31f88da0c0c55563f43efe,019f631aaaf41e843938b5bd62cffe7382aac7981b31f88da0c0c55563f43efe,true,true
59,val-000059,keep,present_in_legacy_filtered_derivative,8840cd6e2fe4578eeaeffb61ae3a7fd983749d9b9c4627d5b914936e1164b524,8840cd6e2fe4578eeaeffb61ae3a7fd983749d9b9c4627d5b914936e1164b524,true,true
60,val-000060,keep,present_in_legacy_filtered_derivative,b936f2b4e2802c53360f01d7f95b323f1587026a8b74bc6235e423e23fc585d3,b936f2b4e2802c53360f01d7f95b323f1587026a8b74bc6235e423e23fc585d3,true,true
61,val-000061,keep,present_in_legacy_filtered_derivative,e1e1fdd87565cdf79bf2c406d49ed19b25833a49e40ae3f896666a8a9fb58f02,e1e1fdd87565cdf79bf2c406d49ed19b25833a49e40ae3f896666a8a9fb58f02,true,true
62,val-000062,keep,present_in_legacy_filtered_derivative,33d947825ed9a7e8f4938d07343d145594445dea071359ee66760327f49e688e,33d947825ed9a7e8f4938d07343d145594445dea071359ee66760327f49e688e,true,true
