leaderboard_id,exact_match_train_count,template_match_train_count,near_duplicate_train_count,exact_match_train_ids,template_match_train_ids,near_duplicate_train_ids
val-000000,0,0,0,,,
val-000001,0,0,0,,,
val-000002,0,0,0,,,
val-000003,0,0,0,,,
val-000004,0,0,0,,,
val-000005,0,0,0,,,
val-000006,0,0,0,,,
val-000007,0,0,0,,,
val-000008,0,0,0,,,
val-000009,0,0,0,,,
val-000010,0,0,0,,,
val-000011,0,0,0,,,
val-000012,0,1,1,,train-004876,train-004876
val-000013,0,0,0,,,
val-000014,0,0,0,,,
val-000015,0,0,0,,,
val-000016,0,0,0,,,
val-000017,0,0,0,,,
val-000018,0,0,0,,,
val-000019,0,0,0,,,
val-000020,0,0,0,,,
val-000021,0,0,0,,,
val-000022,0,0,0,,,
val-000023,0,0,0,,,
val-000024,0,0,0,,,
val-000025,0,0,0,,,
val-000026,0,0,0,,,
val-000027,0,0,1,,,train-006459
val-000028,0,0,0,,,
val-000029,0,0,0,,,
val-000030,0,0,0,,,
val-000031,0,0,0,,,
val-000032,0,0,0,,,
val-000033,0,0,0,,,
val-000034,0,0,0,,,
val-000035,0,0,0,,,
val-000036,0,0,0,,,
val-000037,0,0,0,,,
val-000038,0,0,0,,,
val-000039,0,0,0,,,
val-000040,0,0,0,,,
val-000041,0,0,0,,,
val-000042,0,0,0,,,
val-000043,0,0,0,,,
val-000044,0,0,0,,,
val-000045,0,0,0,,,
val-000046,0,0,0,,,
val-000047,0,0,0,,,
val-000048,0,0,0,,,
val-000049,0,0,0,,,
val-000050,0,0,0,,,
val-000051,0,0,0,,,
val-000052,0,0,0,,,
val-000053,0,1,1,,train-012188,train-012188
val-000054,0,0,0,,,
val-000055,0,0,0,,,
val-000056,0,0,0,,,
val-000057,0,0,0,,,
val-000058,0,0,0,,,
val-000059,0,0,0,,,
val-000060,0,0,0,,,
val-000061,0,0,0,,,
val-000062,0,0,0,,,
val-000063,0,0,0,,,
val-000064,0,0,0,,,
val-000065,0,0,0,,,
val-000066,0,0,0,,,
val-000067,0,0,0,,,
val-000068,0,0,0,,,
val-000069,0,0,0,,,
val-000070,0,0,0,,,
val-000071,0,0,0,,,
val-000072,0,0,0,,,
val-000073,0,0,0,,,
val-000074,0,0,0,,,
val-000075,0,0,0,,,
val-000076,0,0,0,,,
val-000077,0,0,0,,,
val-000078,0,0,0,,,
val-000079,0,0,0,,,
val-000080,0,0,0,,,
val-000081,0,0,0,,,
val-000082,0,0,0,,,
val-000083,0,0,0,,,
val-000084,0,0,0,,,
val-000085,0,0,0,,,
val-000086,0,0,0,,,
val-000087,0,0,0,,,
val-000088,0,0,0,,,
val-000089,0,0,0,,,
val-000090,0,0,0,,,
val-000091,0,0,0,,,
val-000092,0,0,0,,,
val-000093,0,1,2,,train-013901,train-010607|train-013901
val-000094,0,0,0,,,
val-000095,0,0,0,,,
val-000096,0,0,0,,,
val-000097,0,0,0,,,
val-000098,0,0,0,,,
val-000099,0,0,0,,,
val-000100,0,0,0,,,
val-000101,0,0,0,,,
val-000102,0,0,0,,,
val-000103,0,0,0,,,
val-000104,0,0,0,,,
val-000105,0,0,0,,,
val-000106,0,0,0,,,
val-000107,0,2,3,,train-006956|train-009028,train-006956|train-009028|train-011088
val-000108,0,0,0,,,
val-000109,0,0,0,,,
val-000110,0,0,0,,,
val-000111,0,0,0,,,
val-000112,0,0,0,,,
val-000113,0,0,0,,,
val-000114,0,0,0,,,
val-000115,0,0,1,,,train-001637
val-000116,0,0,0,,,
val-000117,0,0,0,,,
val-000118,0,0,0,,,
val-000119,0,0,0,,,
val-000120,0,0,0,,,
val-000121,0,0,0,,,
val-000122,0,0,0,,,
val-000123,0,0,0,,,
val-000124,0,0,0,,,
val-000125,0,0,0,,,
val-000126,0,0,0,,,
val-000127,0,0,0,,,
val-000128,0,0,0,,,
val-000129,0,0,0,,,
val-000130,0,0,0,,,
val-000131,0,0,1,,,train-010514
val-000132,0,0,1,,,train-014395
val-000133,0,0,0,,,
val-000134,0,0,0,,,
val-000135,0,0,0,,,
val-000136,0,0,0,,,
val-000137,0,0,0,,,
val-000138,0,0,0,,,
val-000139,0,0,0,,,
val-000140,0,0,0,,,
val-000141,0,0,0,,,
val-000142,0,0,0,,,
val-000143,0,0,0,,,
val-000144,0,0,0,,,
val-000145,0,0,0,,,
val-000146,0,0,0,,,
val-000147,0,0,0,,,
val-000148,0,0,0,,,
val-000149,0,0,0,,,
val-000150,0,0,0,,,
val-000151,0,0,0,,,
val-000152,0,0,0,,,
val-000153,0,0,0,,,
val-000154,0,0,0,,,
val-000155,0,0,0,,,
val-000156,0,0,0,,,
val-000157,0,0,0,,,
val-000158,0,0,0,,,
val-000159,0,0,0,,,
val-000160,0,0,0,,,
val-000161,0,0,0,,,
val-000162,0,0,0,,,
val-000163,0,0,0,,,
val-000164,0,0,0,,,
val-000165,0,0,0,,,
val-000166,0,0,0,,,
val-000167,0,0,0,,,
val-000168,0,0,0,,,
val-000169,0,0,0,,,
val-000170,0,0,0,,,
val-000171,0,0,0,,,
val-000172,0,0,0,,,
val-000173,0,0,0,,,
val-000174,0,0,0,,,
val-000175,0,0,0,,,
val-000176,0,0,0,,,
val-000177,0,0,0,,,
val-000178,0,0,0,,,
val-000179,0,1,1,,train-006709,train-006709
val-000180,0,0,0,,,
val-000181,0,0,0,,,
val-000182,0,0,0,,,
val-000183,0,0,1,,,train-013639
val-000184,0,0,0,,,
val-000185,0,0,0,,,
val-000186,0,0,0,,,
val-000187,0,0,0,,,
val-000188,0,0,0,,,
val-000189,0,0,0,,,
val-000190,0,0,0,,,
val-000191,0,0,0,,,
val-000192,0,0,0,,,
val-000193,0,0,0,,,
val-000194,0,0,0,,,
val-000195,0,0,0,,,
val-000196,0,0,0,,,
val-000197,0,0,0,,,
val-000198,0,0,0,,,
val-000199,0,0,0,,,
val-000200,0,0,0,,,
val-000201,0,0,0,,,
val-000202,0,0,0,,,
val-000203,0,0,1,,,train-013307
val-000204,0,0,0,,,
val-000205,0,0,0,,,
val-000206,0,0,0,,,
val-000207,0,0,0,,,
val-000208,0,0,0,,,
val-000209,0,0,0,,,
val-000210,0,0,0,,,
val-000211,0,1,1,,train-012050,train-012050
val-000212,0,0,0,,,
val-000213,0,0,0,,,
val-000214,0,0,0,,,
val-000215,0,0,0,,,
val-000216,0,0,0,,,
val-000217,0,0,0,,,
val-000218,0,0,0,,,
val-000219,0,0,0,,,
val-000220,0,0,0,,,
val-000221,0,0,0,,,
val-000222,0,0,0,,,
val-000223,0,0,0,,,
val-000224,0,0,0,,,
val-000225,0,0,0,,,
val-000226,0,0,0,,,
val-000227,0,0,0,,,
val-000228,0,0,0,,,
val-000229,0,0,0,,,
val-000230,0,0,0,,,
val-000231,0,0,0,,,
val-000232,0,0,0,,,
val-000233,0,0,0,,,
val-000234,0,0,0,,,
val-000235,0,0,0,,,
val-000236,0,0,0,,,
val-000237,0,0,0,,,
val-000238,0,0,0,,,
val-000239,0,0,0,,,
val-000240,0,0,0,,,
val-000241,0,0,0,,,
val-000242,0,0,0,,,
val-000243,0,0,0,,,
val-000244,0,0,0,,,
val-000245,0,0,0,,,
val-000246,0,0,0,,,
val-000247,0,0,0,,,
val-000248,0,0,0,,,
val-000249,0,0,0,,,
val-000250,0,0,0,,,
val-000251,0,0,0,,,
val-000252,0,0,0,,,
val-000253,0,0,0,,,
val-000254,0,0,0,,,
val-000255,0,0,0,,,
val-000256,0,0,0,,,
val-000257,0,0,0,,,
val-000258,0,0,0,,,
val-000259,0,0,0,,,
val-000260,0,0,0,,,
val-000261,0,0,0,,,
val-000262,0,0,0,,,
val-000263,0,0,0,,,
val-000264,0,0,0,,,
val-000265,0,0,0,,,
val-000266,0,0,0,,,
val-000267,0,0,0,,,
val-000268,0,0,0,,,
val-000269,0,0,0,,,
val-000270,0,0,0,,,
val-000271,0,0,0,,,
val-000272,0,0,0,,,
val-000273,0,0,0,,,
val-000274,0,0,0,,,
val-000275,0,1,1,,train-010571,train-010571
val-000276,0,0,0,,,
val-000277,0,0,0,,,
val-000278,0,0,0,,,
val-000279,0,0,0,,,
val-000280,0,0,0,,,
val-000281,0,0,0,,,
val-000282,0,0,0,,,
val-000283,0,0,0,,,
val-000284,0,1,3,,train-009083,train-000501|train-002114|train-009083
val-000285,0,0,0,,,
val-000286,0,0,0,,,
val-000287,0,0,0,,,
val-000288,0,0,0,,,
val-000289,0,0,0,,,
val-000290,0,0,0,,,
val-000291,0,0,0,,,
val-000292,0,0,0,,,
val-000293,0,0,0,,,
val-000294,0,0,0,,,
val-000295,0,0,0,,,
val-000296,0,0,0,,,
val-000297,0,0,0,,,
val-000298,0,0,0,,,
val-000299,0,0,0,,,
val-000300,0,0,0,,,
val-000301,0,0,0,,,
val-000302,0,0,0,,,
