id,problem_type,hard_type,length_bucket,label,low_first_exact,medium_first_exact,low_pass_at_2,medium_pass_at_2,medium_added_first_exact,medium_lost_first_exact,medium_added_pass_at_2,medium_lost_pass_at_2,low_outcome,medium_outcome,low_answers,medium_answers
train-000108,arithmetic_word_problem,False,129_256,-5892,False,False,False,False,False,False,False,False,neither_match,neither_match,|,|
train-000825,number_theory,True,129_256,15,False,False,False,False,False,False,False,False,neither_match,neither_match,10|10,10|10
train-001103,geometry,True,gt512,61,False,False,False,False,False,False,False,False,neither_match,neither_match,|,|
train-001639,arithmetic_word_problem,True,gt512,-16,False,True,True,True,True,False,False,False,one_match,both_match,|-16,-16|-16
train-001972,combinatorics_probability,True,257_512,809,False,False,False,True,False,False,True,False,neither_match,one_match,691|691,|809
train-002025,combinatorics_probability,True,257_512,12000,True,True,True,True,False,False,False,False,both_match,both_match,12000|12000,12000|12000
train-002777,combinatorics_probability,True,257_512,1056,True,True,True,True,False,False,False,False,both_match,both_match,1056|1056,1056|1056
train-002863,arithmetic_word_problem,True,gt512,-50,True,False,True,False,False,True,False,True,one_match,neither_match,-50|,|
train-003183,number_theory,True,129_256,592704,False,False,False,False,False,False,False,False,neither_match,neither_match,|,|
train-003920,number_theory,True,129_256,161150,False,False,False,False,False,False,False,False,neither_match,neither_match,165150|165150,165150|165150
train-004144,arithmetic_word_problem,False,le128,-100,True,True,True,True,False,False,False,False,both_match,both_match,-100|-100,-100|-100
train-004679,algebra,False,129_256,0,True,True,True,True,False,False,False,False,both_match,both_match,0|0,0|0
train-006313,algebra,False,le128,0,False,False,False,False,False,False,False,False,neither_match,neither_match,|,|
train-006453,algebra,False,le128,0,True,True,True,True,False,False,False,False,both_match,both_match,0|0,0|0
train-006480,algebra,False,gt512,20,True,True,True,True,False,False,False,False,both_match,both_match,20|20,20|20
train-006750,geometry,True,gt512,505,False,True,False,True,True,False,True,False,neither_match,both_match,3|0,505|505
train-006848,geometry,True,gt512,82734,False,False,False,False,False,False,False,False,neither_match,neither_match,|,|
train-008050,arithmetic_word_problem,False,129_256,-1024,True,True,True,True,False,False,False,False,both_match,both_match,-1024|-1024,-1024|-1024
train-009106,geometry,True,129_256,0,True,True,True,True,False,False,False,False,both_match,both_match,0|0,0|0
train-009400,combinatorics_probability,True,257_512,518400,False,True,True,True,True,False,False,False,one_match,both_match,2453760|518400,518400|518400
train-009414,number_theory,True,129_256,11,True,True,True,True,False,False,False,False,both_match,both_match,11|11,11|11
train-009669,number_theory,True,gt512,396,False,False,False,False,False,False,False,False,neither_match,neither_match,427|14285,787|
train-009903,arithmetic_word_problem,False,257_512,-1,False,False,False,False,False,False,False,False,neither_match,neither_match,|,|
train-010982,algebra,False,le128,0,True,True,True,True,False,False,False,False,both_match,both_match,0|0,0|0
train-011275,arithmetic_word_problem,False,le128,-501,False,False,False,False,False,False,False,False,neither_match,neither_match,|,|
train-011302,combinatorics_probability,True,257_512,665280,False,False,False,False,False,False,False,False,neither_match,neither_match,332640|332640,332640|332640
train-011721,number_theory,True,257_512,757575,False,False,False,False,False,False,False,False,neither_match,neither_match,771498|693147,693147|615000
train-011934,algebra,False,le128,0,True,True,True,True,False,False,False,False,both_match,both_match,0|0,0|0
train-012372,combinatorics_probability,True,257_512,222480,True,True,True,True,False,False,False,False,both_match,both_match,222480|222480,222480|222480
train-012486,geometry,True,129_256,2100,True,True,True,True,False,False,False,False,both_match,both_match,2100|2100,2100|2100
train-012517,algebra,False,le128,0,True,True,True,True,False,False,False,False,both_match,both_match,0|0,0|0
train-012715,arithmetic_word_problem,False,le128,-150,True,True,True,True,False,False,False,False,both_match,both_match,-150|-150,-150|-150
train-012887,arithmetic_word_problem,False,gt512,15,False,False,False,False,False,False,False,False,neither_match,neither_match,13|13,13|13
train-013689,geometry,True,257_512,0,False,False,False,False,False,False,False,False,neither_match,neither_match,|,|
train-014215,geometry,True,gt512,21586,False,False,False,False,False,False,False,False,neither_match,neither_match,|,|
train-014786,algebra,False,129_256,-123,False,False,False,False,False,False,False,False,neither_match,neither_match,|,|
train-015243,combinatorics_probability,True,257_512,400,True,True,True,True,False,False,False,False,both_match,both_match,400|400,400|400
train-015366,number_theory,True,257_512,3750,True,True,True,True,False,False,False,False,both_match,both_match,3750|3750,3750|3750
train-015402,algebra,False,le128,-44,True,True,True,True,False,False,False,False,both_match,both_match,-44|-44,-44|-44
train-015589,geometry,True,le128,0,True,True,True,True,False,False,False,False,both_match,both_match,0|0,0|0
