id,review_scope,manual_verdict,error_type,notes
omi2-000022028,final_high_stratified,pass,,Ben의 5년 전 나이 7에 3을 곱해 21을 일관되게 도출함
omi2-000041753,final_high_stratified,pass,,45/3=15 이후 15+15-3=27로 조건과 답이 일치함
omi2-000016304,final_high_stratified,pass,,양 끝 2km를 제외한 32km를 네 간격으로 나눠 8을 도출함
omi2-000029516,final_high_stratified,pass,,900의 2/3인 600과 900을 합해 1500을 도출함
omi2-000035207,final_high_stratified,pass,,900의 2/3인 600과 900을 합해 1500을 도출함; 유사 템플릿 중복 위험은 남음
omi2-000043345,final_high_stratified,pass,,월 생산량과 122일 소비량을 일관되게 계산해 12834를 도출함
omi2-000028147,final_high_stratified,pass,,의자·탁자·스툴의 장작 합계 170을 시간당 5로 나눠 34를 도출함
omi2-000039134,final_high_stratified,pass,,30개 컵케이크에서 결석 반영 인원 26명을 빼 4를 도출함
omi2-000000709,final_high_stratified,pass,,교차로당 80개 선에 5를 곱해 400을 도출함
omi2-000011105,final_high_stratified,pass,,Jessie를 포함한 5명이 20개 머핀을 나눠 4를 도출함
omi2-000014517,final_high_stratified,pass,,전체 90000에서 0이 없는 59049를 빼 30951을 도출함
omi2-000004030,policy_calibration,fail,unsupported_final_answer,전개는 1023과 1024만 계산한 뒤 근거 없이 boxed 342로 점프함; source 점수 하향의 근거
omi2-000005831,policy_calibration,fail,detectable_self_contradiction,총 지급액 1650과 450이 같아야 한다고 한 뒤 계산을 무시하고 1650을 채택함
omi2-000015561,policy_calibration,fail,external_visual_or_problem_code_dependency,문제가 shown here 및 Asymptote 코드에 의존해 텍스트 단독 학습 입력으로 부적합함
omi2-000055022,targeted_required_case,fail,detectable_self_contradiction,같은 실수를 반복했다고 명시한 뒤 주어진 투영면 넓이를 만족하지 않는 치수를 채택함
