audit_stratum,id,source,quality_tier,included,final_answer,primary_exclusion_reason,quality_flags,verifier_status,verifier_coverage,problem,solution_start,solution_end,manual_review_scope,manual_verdict,manual_error_type,manual_notes
excluded:augmented_gsm8k:detectable_self_contradiction,omi2-000045857,augmented_gsm8k,excluded,false,5,detectable_self_contradiction,contradiction:multiple_unresolved_correction_markers|verifier:partial_coverage,passed_partial,0.333333,"In a 50-question quiz, Sophia answered 85% of the questions correctly. Her classmate, Alex, got 3 more correct answers than Sophia. How many incorrect answers did Alex have?","To find out how many questions Sophia answered correctly, we multiply 50 by 85% (or 0.85). 
This equals 50 * 0.85 = 42.5. 
However, since we can't have half a question, we'll round down to 42 correct answers for Sophia (although this detail is irrelevant to the final answer because Alex got more correct answers and we are interested in Alex's incorrect answers).
Since Alex got 3 more correct answers than Sophia, Alex got 42 + 3 = 45 correct answers.
This means Alex got 50 - 45 = 5 questions wron","ed correctly, we multiply 50 by 85% (or 0.85). 
This equals 50 * 0.85 = 42.5. 
However, since we can't have half a question, we'll round down to 42 correct answers for Sophia (although this detail is irrelevant to the final answer because Alex got more correct answers and we are interested in Alex's incorrect answers).
Since Alex got 3 more correct answers than Sophia, Alex got 42 + 3 = 45 correct answers.
This means Alex got 50 - 45 = 5 questions wrong.
So, Alex had \boxed{5} incorrect answers.",,,,
excluded:augmented_gsm8k:detectable_self_contradiction,omi2-000042598,augmented_gsm8k,excluded,false,65,detectable_self_contradiction,contradiction:multiple_unresolved_correction_markers|verifier:not_checked,not_checked,0.000000,"Emily, Sarah, and Rachel are collecting stamps from different countries. Rachel has 15 stamps more than Sarah. Sarah has 80 stamps less than the total amount of stamps, which is 240. How many stamps does Emily have?","Let's denote the number of stamps Emily has as E, Sarah has as S, and Rachel has as R.
Since Sarah has 80 stamps less than the total amount of stamps, which is 240, we can deduce that S = 240 - 80 = 160.
It is also given that Rachel has 15 stamps more than Sarah. Thus R = S + 15 = 160 + 15 = 175.
Now we know the total number of stamps which is 240 and we also know the number of stamps Sarah and Rachel have. Thus E + S + R = 240.
Plugging in the values for S and R we get E + 160 + 175 = 240.
Comb","nt of stamps, then S = 240 - 80.
However, we need to be careful here. The correct interpretation is that Sarah has 80 stamps less than the sum of the stamps that the other two have.
Thus the equation becomes S = E + R - 80.
We already know that R = S + 15. Thus we can substitute the value of R in the equation to get S = E + S + 15 - 80.
Combining like terms we get S = E + S - 65.
Simplifying the equation we get 0 = E - 65.
Adding 65 on both sides we get E = 65.
Thus, Emily has \boxed{65} stamps.",,,,
excluded:augmented_gsm8k:detectable_self_contradiction,omi2-000048851,augmented_gsm8k,excluded,false,10,detectable_self_contradiction,contradiction:multiple_unresolved_correction_markers|verifier:not_checked,not_checked,0.000000,"A bookstore has 5 kinds of novels. They sell romance novels three times as much as science fiction novels, and mystery novels twice as much as historical novels. The mystery novels sell half as much as the romance novels. If they sold 8 copies of historical novels today, how many copies of science fiction novels did they sell?","Let's break down the information given in the problem.

The mystery novels sell twice as much as historical novels, and the historical novels sold 8 copies. 
So the mystery novels sold 2*8 = 16 copies.

The mystery novels sell half as much as the romance novels, so the romance novels sold 2*16 = 32 copies.

The romance novels sell three times as much as science fiction novels. 
So the science fiction novels sold 32/3 = 10.67 (which is not possible since you can't sell a fraction of a book) 
or 3","orical novels sold 8 copies, so H = 8.
Using the equations above and substituting H = 8, we get M = 16, R = 32, and since R is 3 times S, we can't have R = 32, so we need to re-evaluate R.
We should look for numbers for R that are a multiple of 3 since it is 3 times S.
Using the equations above, M = 2H = 2 * 8 = 16, R = 2M = 2 * 16 = 32 which is incorrect and we should use M = 15, R = 2M = 2 * 15 = 30.
Then we get S = R / 3 = 30 / 3 = 10.

So using both methods, the correct answer is \boxed{10}.",,,,
excluded:augmented_gsm8k:detectable_self_contradiction,omi2-000010997,augmented_gsm8k,excluded,false,72,detectable_self_contradiction,contradiction:multiple_unresolved_correction_markers|verifier:partial_coverage,passed_partial,0.250000,"Maya received a shipment of 120 basketballs to sell at her store. Upon inspection, she found that 30% of the balls were damaged during shipping and could not be sold, while 15% of the remaining balls were the wrong size and had to be returned. How many basketballs were in good condition and the correct size for Maya to sell?","Let's start by finding the number of damaged balls.
30% of 120 balls are damaged, so the number of damaged balls is 120 * 30 / 100 = 3600 / 100 = 36
This means that 120 - 36 = 84 balls are undamaged.
Now, let's find the number of balls that are the wrong size among the undamaged balls.
15% of the undamaged balls are the wrong size, so the number of balls that are the wrong size is 84 * 15 / 100 = 1260 / 100 = 12.6 which rounds down to 12 since balls are discrete.
So the number of balls that are "," is 120 * 30 / 100 = 3600 / 100 = 36
This means that 120 - 36 = 84 balls are undamaged.
Now, let's find the number of balls that are the wrong size among the undamaged balls.
15% of the undamaged balls are the wrong size, so the number of balls that are the wrong size is 84 * 15 / 100 = 1260 / 100 = 12.6 which rounds down to 12 since balls are discrete.
So the number of balls that are in good condition and the correct size is 84 - 12 = 72.
Thus, Maya has \boxed{72} basketballs that she can sell.",,,,
excluded:augmented_gsm8k:detectable_self_contradiction,omi2-000013708,augmented_gsm8k,excluded,false,34,detectable_self_contradiction,contradiction:multiple_unresolved_correction_markers|verifier:not_checked,not_checked,0.000000,"In a Biology quiz, Emily got 3 incorrect answers, which is two-thirds as many mistakes as Olivia. Jackson scored 30 and has 2 more mistakes than Olivia. What is Emily's score?","Let's break this problem down step by step:

1. Emily got 3 incorrect answers, which is two-thirds as many mistakes as Olivia. So, Olivia must have 3 * (3/2) = 3 * 1.5 = 4.5 mistakes. Since you can't have a fraction of a mistake, we round up to 5 mistakes for Olivia (but we'll see that's not necessary as the problem gives more info).
2. Jackson scored 30 and has 2 more mistakes than Olivia. Since Jackson has 2 more mistakes than Olivia, and we know Jackson has a total score of 30, we can assume ","know Olivia has 2 fewer mistakes than Jackson, and Jackson has a total of (x - 30) mistakes, so Olivia has (x - 30) - 2 mistakes.
3. Combining the info in steps 1 and 2, we know Olivia has 5 mistakes, and Jackson has 7 mistakes. So if there are x questions, then Jackson got x - 7 correct, and since he scored 30, x - 7 must equal 30. Thus, x is 37.
4. Now we know there are 37 questions. Emily got 3 mistakes, so she got 37 - 3 correct. Thus, Emily got 34 correct.

The final answer is: $\boxed{34}$",,,,
excluded:augmented_gsm8k:non_integer_decimal_answer,omi2-000017693,augmented_gsm8k,excluded,false,862.5,non_integer_decimal_answer,verifier:partial_coverage,passed_partial,0.333333,"The difference between the number of seniors and juniors in a school festival is 250. If there are 450 juniors at the festival, and the number of seniors is more than the number of juniors, what's 75% of the total number of seniors and juniors at the festival?","Let's break it down step by step:

1. The difference between the number of seniors and juniors is 250, and there are more seniors than juniors.
2. Since there are 450 juniors, the number of seniors can be found by adding the difference to the number of juniors: 450 + 250 = 700 seniors.
3. The total number of seniors and juniors is: 700 (seniors) + 450 (juniors) = 1150.
4. To find 75% of the total number of seniors and juniors, multiply the total by 0.75: 1150 × 0.75 = 862.5.

So, 75% of the tota","number of seniors and juniors is 250, and there are more seniors than juniors.
2. Since there are 450 juniors, the number of seniors can be found by adding the difference to the number of juniors: 450 + 250 = 700 seniors.
3. The total number of seniors and juniors is: 700 (seniors) + 450 (juniors) = 1150.
4. To find 75% of the total number of seniors and juniors, multiply the total by 0.75: 1150 × 0.75 = 862.5.

So, 75% of the total number of seniors and juniors at the festival is \boxed{862.5}.",,,,
excluded:augmented_gsm8k:non_integer_decimal_answer,omi2-000011583,augmented_gsm8k,excluded,false,2.14,non_integer_decimal_answer,verifier:not_checked,not_checked,0.000000,"A bookstore has a policy that for every book you purchase, you must also buy 3 bookmarks, which cost 1/4 the price of the books. If they sold 15 books and earned $225, how much do bookmarks cost?","Let's break down the problem. 

The bookstore sold 15 books. 
For each book, they also sold 3 bookmarks, which means they sold 15*3 = 45 bookmarks in total. 

Let x be the price of each book. Then the price of each bookmark is x/4.

So the total amount earned from selling 15 books is 15x, 
and the total amount earned from selling 45 bookmarks is 45*(x/4) = 45x/4.

We know that the total amount earned is $225, so we can set up the equation:

15x + 45x/4 = 225

Multiplying both sides by 4, we get:","total amount earned from selling 15 books is 15x, 
and the total amount earned from selling 45 bookmarks is 45*(x/4) = 45x/4.

We know that the total amount earned is $225, so we can set up the equation:

15x + 45x/4 = 225

Multiplying both sides by 4, we get:

60x + 45x = 900

Combine like terms:

105x = 900

Divide by 105:

x = 900/105
x = 60/7
x = 8.57

Now we can find the price of a bookmark, which is x/4:

Bookmark price = 8.57 / 4 = 2.14

So the price of a bookmark is \boxed{2.14} dollars.",,,,
excluded:augmented_gsm8k:non_integer_decimal_answer,omi2-000030099,augmented_gsm8k,excluded,false,1.65,non_integer_decimal_answer,verifier:not_checked,not_checked,0.000000,"A local cycling club is hosting a competition to see who can ride around the park 5 times the fastest. The park's perimeter is 2/3 of a mile long. This year's winner completes the race in 36 minutes, while last year's champion finished in 41.5 minutes. How many minutes on average faster did this year's winner ride one mile of the race compared to last year?","To calculate how many minutes on average faster this year's winner rode one mile of the race compared to last year, we need to compute the average time each winner took to ride a mile and then take the difference.

The park's perimeter is 2/3 of a mile long, and the competition is to ride around the park 5 times. Thus, the total distance of the race is 5 * 2/3 = 10/3 = 3.3333333333333335 miles.

This year's winner completed the race in 36 minutes. Thus, the average time taken to ride a mile is 3","us, the average time taken to ride a mile is 36 / (10/3) = 36 * 3 / 10 = 10.8 minutes per mile.

Last year's champion finished the race in 41.5 minutes. Thus, the average time taken to ride a mile is 41.5 / (10/3) = 41.5 * 3 / 10 = 12.45 minutes per mile.

The difference between the average time per mile between this year's winner and last year's champion is 12.45 - 10.8 = 1.65 minutes.

So this year's winner rode one mile of the race \boxed{1.65} minutes faster on average compared to last year.",,,,
excluded:augmented_gsm8k:non_integer_decimal_answer,omi2-000017495,augmented_gsm8k,excluded,false,47.5,non_integer_decimal_answer,verifier:not_checked,not_checked,0.000000,"Ava aims to read an average of 50 pages per day over the next 5 days. On Monday, she read 55 pages. On Tuesday, she read 48 pages. On Wednesday, she read 52 pages. How many pages does she need to average on Thursday and Friday to meet her goal?","To find out how many pages Ava needs to average on Thursday and Friday to meet her goal, let's calculate how many pages she needs to read in total and how many pages she has already read.

Ava's goal is to read an average of 50 pages per day over 5 days. So, she needs to read a total of $50 * 5 = 250$ pages.

She has already read $55 + 48 + 52 = 103 + 52 = 155$ pages.

This means that she needs to read $250 - 155 = 95$ pages over the next 2 days.

To meet her goal, she needs to average $95 / 2 ="," read in total and how many pages she has already read.

Ava's goal is to read an average of 50 pages per day over 5 days. So, she needs to read a total of $50 * 5 = 250$ pages.

She has already read $55 + 48 + 52 = 103 + 52 = 155$ pages.

This means that she needs to read $250 - 155 = 95$ pages over the next 2 days.

To meet her goal, she needs to average $95 / 2 = 47.5$ pages per day on Thursday and Friday.

Thus, Ava needs to average \boxed{47.5} pages on Thursday and Friday to meet her goal.",,,,
excluded:augmented_gsm8k:non_integer_decimal_answer,omi2-000039260,augmented_gsm8k,excluded,false,4.28,non_integer_decimal_answer,verifier:not_checked,not_checked,0.000000,"A cyclist plans to ride a 40-mile route. She can cover the first 15 miles in 1.5 hours. For the remaining miles, she rides at 90% of her initial pace. How long will it take her to complete the entire route?","To find the time it will take for the cyclist to complete the entire route, we first need to calculate the time it takes for her to ride the remaining 25 miles (40 miles total - 15 miles covered in the first part = 25 miles).

The cyclist covers the first 15 miles in 1.5 hours. So, her initial pace is 15 miles / 1.5 hours = 10 miles per hour.

For the remaining miles, she rides at 90% of her initial pace, which is 0.9 * 10 miles per hour = 9 miles per hour.

The time it takes to ride the remaini","s per hour.

For the remaining miles, she rides at 90% of her initial pace, which is 0.9 * 10 miles per hour = 9 miles per hour.

The time it takes to ride the remaining 25 miles is 25 miles / 9 miles per hour = 2.78 hours.

Therefore, the total time it will take her to complete the entire route is the sum of the time for the first part and the time for the remaining part, which is 1.5 hours + 2.78 hours = 4.28 hours.

So, it will take the cyclist \boxed{4.28} hours to complete the entire route.",,,,
