effort,dimension,segment,rows,first_exact,pass_at_2,neither_match_rows
low,problem_type,algebra,9,0.6666666666666666,0.7777777777777778,2
low,problem_type,arithmetic_word_problem,10,0.8,0.8,2
low,problem_type,combinatorics_probability,7,0.5714285714285714,0.5714285714285714,3
low,problem_type,geometry,7,0.5714285714285714,0.5714285714285714,3
low,problem_type,number_theory,7,0.2857142857142857,0.42857142857142855,4
low,is_hard_type,False,17,0.7647058823529411,0.8235294117647058,3
low,is_hard_type,True,23,0.4782608695652174,0.5217391304347826,11
low,has_unit,False,26,0.5769230769230769,0.6153846153846154,10
low,has_unit,True,14,0.6428571428571429,0.7142857142857143,4
low,length_bucket,129_256,11,0.6363636363636364,0.6363636363636364,4
low,length_bucket,257_512,10,0.4,0.5,5
low,length_bucket,gt512,8,0.375,0.5,4
low,length_bucket,le128,11,0.9090909090909091,0.9090909090909091,1
low,answer_sign,negative,10,0.7,0.7,3
low,answer_sign,positive,23,0.5217391304347826,0.6086956521739131,9
low,answer_sign,zero,7,0.7142857142857143,0.7142857142857143,2
low,answer_magnitude,d1,11,0.6363636363636364,0.6363636363636364,4
low,answer_magnitude,d2,8,0.75,0.75,2
low,answer_magnitude,d3,8,0.625,0.625,3
low,answer_magnitude,d4_5,7,0.2857142857142857,0.5714285714285714,3
low,answer_magnitude,d6_plus,6,0.6666666666666666,0.6666666666666666,2
medium,problem_type,algebra,9,0.6666666666666666,0.6666666666666666,3
medium,problem_type,arithmetic_word_problem,10,0.8,0.8,2
medium,problem_type,combinatorics_probability,7,0.5714285714285714,0.5714285714285714,3
medium,problem_type,geometry,7,0.5714285714285714,0.5714285714285714,3
medium,problem_type,number_theory,7,0.42857142857142855,0.5714285714285714,3
medium,is_hard_type,False,17,0.7647058823529411,0.7647058823529411,4
medium,is_hard_type,True,23,0.5217391304347826,0.5652173913043478,10
medium,has_unit,False,26,0.6153846153846154,0.6538461538461539,9
medium,has_unit,True,14,0.6428571428571429,0.6428571428571429,5
medium,length_bucket,129_256,11,0.6363636363636364,0.6363636363636364,4
medium,length_bucket,257_512,10,0.4,0.4,6
medium,length_bucket,gt512,8,0.5,0.625,3
medium,length_bucket,le128,11,0.9090909090909091,0.9090909090909091,1
medium,answer_sign,negative,10,0.7,0.7,3
medium,answer_sign,positive,23,0.5652173913043478,0.6086956521739131,9
medium,answer_sign,zero,7,0.7142857142857143,0.7142857142857143,2
medium,answer_magnitude,d1,11,0.6363636363636364,0.6363636363636364,4
medium,answer_magnitude,d2,8,0.75,0.75,2
medium,answer_magnitude,d3,8,0.75,0.875,1
medium,answer_magnitude,d4_5,7,0.2857142857142857,0.2857142857142857,5
medium,answer_magnitude,d6_plus,6,0.6666666666666666,0.6666666666666666,2
