effort,dimension,segment,rows,first_exact,pass_at_2,neither_match_rows
low,problem_type,algebra,9,0.7777777777777778,0.7777777777777778,2
low,problem_type,arithmetic_word_problem,9,0.4444444444444444,0.4444444444444444,5
low,problem_type,combinatorics_probability,7,0.7142857142857143,0.7142857142857143,2
low,problem_type,geometry,8,0.375,0.375,5
low,problem_type,number_theory,7,0.2857142857142857,0.2857142857142857,5
low,is_hard_type,False,16,0.625,0.625,6
low,is_hard_type,True,24,0.4583333333333333,0.4583333333333333,13
low,has_unit,False,25,0.52,0.52,12
low,has_unit,True,15,0.5333333333333333,0.5333333333333333,7
low,length_bucket,129_256,10,0.5,0.5,5
low,length_bucket,257_512,11,0.5454545454545454,0.5454545454545454,5
low,length_bucket,gt512,9,0.2222222222222222,0.2222222222222222,7
low,length_bucket,le128,10,0.8,0.8,2
low,answer_sign,negative,10,0.5,0.5,5
low,answer_sign,positive,21,0.42857142857142855,0.42857142857142855,12
low,answer_sign,zero,9,0.7777777777777778,0.7777777777777778,2
low,answer_magnitude,d1,10,0.7,0.7,3
low,answer_magnitude,d2,8,0.5,0.5,4
low,answer_magnitude,d3,8,0.5,0.5,4
low,answer_magnitude,d4_5,8,0.625,0.625,3
low,answer_magnitude,d6_plus,6,0.16666666666666666,0.16666666666666666,5
medium,problem_type,algebra,9,0.7777777777777778,0.7777777777777778,2
medium,problem_type,arithmetic_word_problem,9,0.5555555555555556,0.5555555555555556,4
medium,problem_type,combinatorics_probability,7,0.5714285714285714,0.7142857142857143,2
medium,problem_type,geometry,8,0.375,0.375,5
medium,problem_type,number_theory,7,0.2857142857142857,0.2857142857142857,5
medium,is_hard_type,False,16,0.625,0.625,6
medium,is_hard_type,True,24,0.4583333333333333,0.5,12
medium,has_unit,False,25,0.56,0.6,10
medium,has_unit,True,15,0.4666666666666667,0.4666666666666667,8
medium,length_bucket,129_256,10,0.5,0.5,5
medium,length_bucket,257_512,11,0.45454545454545453,0.5454545454545454,5
medium,length_bucket,gt512,9,0.3333333333333333,0.3333333333333333,6
medium,length_bucket,le128,10,0.8,0.8,2
medium,answer_sign,negative,10,0.6,0.6,4
medium,answer_sign,positive,21,0.38095238095238093,0.42857142857142855,12
medium,answer_sign,zero,9,0.7777777777777778,0.7777777777777778,2
medium,answer_magnitude,d1,10,0.7,0.7,3
medium,answer_magnitude,d2,8,0.625,0.625,3
medium,answer_magnitude,d3,8,0.375,0.375,5
medium,answer_magnitude,d4_5,8,0.625,0.625,3
medium,answer_magnitude,d6_plus,6,0.16666666666666666,0.3333333333333333,4
