id,split,stratum,problem_type,question_length,answer_sign,answer_magnitude
train-000000,train,le128|positive|d3|arithmetic_word_problem,arithmetic_word_problem,106,positive,d3
train-000001,train,257_512|positive|d3|arithmetic_word_problem,arithmetic_word_problem,338,positive,d3
train-000002,train,129_256|positive|d4_5|arithmetic_word_problem,arithmetic_word_problem,242,positive,d4_5
train-000003,train,129_256|positive|d2|arithmetic_word_problem,arithmetic_word_problem,236,positive,d2
train-000004,train,le128|positive|d3|arithmetic_word_problem,arithmetic_word_problem,119,positive,d3
train-000005,train,257_512|positive|d1|arithmetic_word_problem,arithmetic_word_problem,266,positive,d1
train-000006,train,le128|positive|d1|number_theory,number_theory,56,positive,d1
train-000007,train,257_512|positive|d1|arithmetic_word_problem,arithmetic_word_problem,421,positive,d1
train-000008,train,gt512|positive|d3|geometry,geometry,550,positive,d3
train-000009,train,le128|positive|d1|geometry,geometry,98,positive,d1
train-000010,train,le128|positive|d2|arithmetic_word_problem,arithmetic_word_problem,92,positive,d2
train-000011,train,129_256|positive|d4_5|arithmetic_word_problem,arithmetic_word_problem,165,positive,d4_5
train-000012,train,129_256|positive|d1|arithmetic_word_problem,arithmetic_word_problem,192,positive,d1
train-000013,validation,257_512|positive|d1|arithmetic_word_problem,arithmetic_word_problem,317,positive,d1
train-000014,train,257_512|positive|d2|combinatorics_probability,combinatorics_probability,284,positive,d2
train-000015,validation,257_512|positive|d1|arithmetic_word_problem,arithmetic_word_problem,453,positive,d1
train-000016,train,257_512|positive|d1|arithmetic_word_problem,arithmetic_word_problem,476,positive,d1
train-000019,train,257_512|positive|d3|arithmetic_word_problem,arithmetic_word_problem,291,positive,d3
train-000020,train,le128|positive|d2|arithmetic_word_problem,arithmetic_word_problem,112,positive,d2
train-000021,train,129_256|positive|d2|algebra,algebra,138,positive,d2
train-000022,train,129_256|positive|d2|geometry,geometry,166,positive,d2
train-000023,train,le128|positive|d1|arithmetic_word_problem,arithmetic_word_problem,83,positive,d1
train-000024,train,le128|negative|d1|arithmetic_word_problem,arithmetic_word_problem,105,negative,d1
train-000025,train,257_512|positive|d2|number_theory,number_theory,317,positive,d2
train-000026,train,gt512|positive|d1|algebra,algebra,573,positive,d1
train-000027,train,129_256|positive|d4_5|arithmetic_word_problem,arithmetic_word_problem,189,positive,d4_5
train-000028,validation,129_256|positive|d2|arithmetic_word_problem,arithmetic_word_problem,134,positive,d2
train-000029,train,129_256|positive|d3|arithmetic_word_problem,arithmetic_word_problem,230,positive,d3
train-000030,train,257_512|positive|d1|arithmetic_word_problem,arithmetic_word_problem,258,positive,d1
train-000031,train,129_256|positive|d3|arithmetic_word_problem,arithmetic_word_problem,146,positive,d3
train-000032,train,le128|positive|d1|arithmetic_word_problem,arithmetic_word_problem,102,positive,d1
train-000033,train,129_256|positive|d2|arithmetic_word_problem,arithmetic_word_problem,162,positive,d2
train-000034,train,le128|positive|d2|arithmetic_word_problem,arithmetic_word_problem,74,positive,d2
train-000035,validation,129_256|positive|d3|arithmetic_word_problem,arithmetic_word_problem,229,positive,d3
train-000036,validation,257_512|positive|d4_5|number_theory,number_theory,309,positive,d4_5
train-000037,train,129_256|positive|d1|arithmetic_word_problem,arithmetic_word_problem,175,positive,d1
train-000038,train,129_256|positive|d6_plus|combinatorics_probability,combinatorics_probability,157,positive,d6_plus
train-000039,train,le128|positive|d2|arithmetic_word_problem,arithmetic_word_problem,108,positive,d2
train-000040,train,257_512|positive|d1|arithmetic_word_problem,arithmetic_word_problem,328,positive,d1
train-000041,train,257_512|positive|d6_plus|geometry,geometry,376,positive,d6_plus
train-000042,train,le128|positive|d3|arithmetic_word_problem,arithmetic_word_problem,70,positive,d3
train-000043,train,le128|positive|d2|arithmetic_word_problem,arithmetic_word_problem,128,positive,d2
train-000044,train,129_256|positive|d1|arithmetic_word_problem,arithmetic_word_problem,153,positive,d1
train-000045,train,257_512|positive|d4_5|arithmetic_word_problem,arithmetic_word_problem,475,positive,d4_5
train-000047,train,257_512|positive|d2|arithmetic_word_problem,arithmetic_word_problem,323,positive,d2
train-000048,train,257_512|positive|d1|arithmetic_word_problem,arithmetic_word_problem,273,positive,d1
train-000049,train,257_512|positive|d3|arithmetic_word_problem,arithmetic_word_problem,275,positive,d3
train-000050,train,le128|positive|d3|arithmetic_word_problem,arithmetic_word_problem,46,positive,d3
train-000051,train,129_256|positive|d4_5|arithmetic_word_problem,arithmetic_word_problem,202,positive,d4_5
train-000052,train,gt512|positive|d1|arithmetic_word_problem,arithmetic_word_problem,1120,positive,d1
train-000053,train,le128|positive|d4_5|arithmetic_word_problem,arithmetic_word_problem,107,positive,d4_5
train-000054,train,257_512|positive|d1|geometry,geometry,430,positive,d1
train-000055,train,129_256|positive|d2|arithmetic_word_problem,arithmetic_word_problem,180,positive,d2
train-000056,train,129_256|positive|d3|arithmetic_word_problem,arithmetic_word_problem,148,positive,d3
train-000057,train,le128|positive|d2|arithmetic_word_problem,arithmetic_word_problem,92,positive,d2
train-000058,train,129_256|positive|d2|arithmetic_word_problem,arithmetic_word_problem,179,positive,d2
train-000059,train,le128|positive|d1|arithmetic_word_problem,arithmetic_word_problem,81,positive,d1
train-000060,train,129_256|positive|d2|arithmetic_word_problem,arithmetic_word_problem,207,positive,d2
train-000061,train,129_256|positive|d2|arithmetic_word_problem,arithmetic_word_problem,256,positive,d2
train-000063,train,129_256|positive|d2|arithmetic_word_problem,arithmetic_word_problem,152,positive,d2
train-000064,train,129_256|zero|d1|algebra,algebra,156,zero,d1
train-000065,train,257_512|positive|d2|arithmetic_word_problem,arithmetic_word_problem,487,positive,d2
train-000066,validation,le128|negative|d1|algebra,algebra,77,negative,d1
train-000067,train,129_256|positive|d2|arithmetic_word_problem,arithmetic_word_problem,160,positive,d2
train-000068,train,129_256|positive|d6_plus|arithmetic_word_problem,arithmetic_word_problem,177,positive,d6_plus
train-000069,validation,gt512|positive|d3|geometry,geometry,771,positive,d3
train-000070,train,129_256|positive|d6_plus|arithmetic_word_problem,arithmetic_word_problem,227,positive,d6_plus
train-000071,train,le128|positive|d3|arithmetic_word_problem,arithmetic_word_problem,119,positive,d3
train-000072,train,129_256|negative|d1|algebra,algebra,150,negative,d1
train-000073,train,129_256|positive|d2|arithmetic_word_problem,arithmetic_word_problem,162,positive,d2
train-000074,train,129_256|positive|d2|arithmetic_word_problem,arithmetic_word_problem,179,positive,d2
train-000075,train,257_512|positive|d2|arithmetic_word_problem,arithmetic_word_problem,327,positive,d2
train-000076,train,129_256|positive|d2|combinatorics_probability,combinatorics_probability,194,positive,d2
train-000077,train,129_256|positive|d3|algebra,algebra,191,positive,d3
train-000078,validation,le128|positive|d1|geometry,geometry,117,positive,d1
train-000079,train,129_256|positive|d3|arithmetic_word_problem,arithmetic_word_problem,241,positive,d3
train-000080,train,le128|positive|d1|arithmetic_word_problem,arithmetic_word_problem,89,positive,d1
train-000081,validation,le128|positive|d1|arithmetic_word_problem,arithmetic_word_problem,94,positive,d1
train-000082,train,257_512|positive|d3|arithmetic_word_problem,arithmetic_word_problem,269,positive,d3
train-000084,train,le128|positive|d3|number_theory,number_theory,89,positive,d3
train-000085,validation,129_256|positive|d2|arithmetic_word_problem,arithmetic_word_problem,172,positive,d2
train-000086,train,129_256|positive|d2|geometry,geometry,202,positive,d2
train-000087,train,gt512|positive|d4_5|arithmetic_word_problem,arithmetic_word_problem,695,positive,d4_5
train-000088,train,le128|positive|d6_plus|arithmetic_word_problem,arithmetic_word_problem,128,positive,d6_plus
train-000089,train,le128|negative|d1|geometry,geometry,81,negative,d1
train-000090,train,129_256|positive|d6_plus|arithmetic_word_problem,arithmetic_word_problem,174,positive,d6_plus
train-000091,train,257_512|positive|d2|arithmetic_word_problem,arithmetic_word_problem,266,positive,d2
train-000092,train,257_512|positive|d2|arithmetic_word_problem,arithmetic_word_problem,404,positive,d2
train-000093,train,257_512|positive|d1|arithmetic_word_problem,arithmetic_word_problem,270,positive,d1
train-000094,train,129_256|positive|d1|arithmetic_word_problem,arithmetic_word_problem,234,positive,d1
train-000095,train,257_512|positive|d2|arithmetic_word_problem,arithmetic_word_problem,296,positive,d2
train-000096,train,129_256|positive|d1|geometry,geometry,171,positive,d1
train-000097,train,257_512|positive|d4_5|algebra,algebra,274,positive,d4_5
train-000098,train,257_512|positive|d1|arithmetic_word_problem,arithmetic_word_problem,257,positive,d1
train-000099,validation,le128|negative|d1|arithmetic_word_problem,arithmetic_word_problem,105,negative,d1
train-000100,train,257_512|positive|d2|arithmetic_word_problem,arithmetic_word_problem,326,positive,d2
train-000101,train,129_256|zero|d1|arithmetic_word_problem,arithmetic_word_problem,162,zero,d1
train-000102,train,257_512|positive|d3|arithmetic_word_problem,arithmetic_word_problem,259,positive,d3
train-000103,validation,129_256|positive|d2|arithmetic_word_problem,arithmetic_word_problem,198,positive,d2
train-000104,train,129_256|positive|d4_5|arithmetic_word_problem,arithmetic_word_problem,226,positive,d4_5
train-000105,train,129_256|positive|d3|algebra,algebra,170,positive,d3
train-000106,train,129_256|positive|d1|arithmetic_word_problem,arithmetic_word_problem,231,positive,d1
train-000107,train,129_256|positive|d2|arithmetic_word_problem,arithmetic_word_problem,152,positive,d2
train-000108,train,129_256|negative|d4_5|arithmetic_word_problem,arithmetic_word_problem,193,negative,d4_5
train-000109,train,257_512|positive|d4_5|arithmetic_word_problem,arithmetic_word_problem,278,positive,d4_5
train-000110,train,le128|positive|d4_5|arithmetic_word_problem,arithmetic_word_problem,90,positive,d4_5
train-000111,train,129_256|positive|d2|arithmetic_word_problem,arithmetic_word_problem,167,positive,d2
train-000112,train,le128|positive|d1|arithmetic_word_problem,arithmetic_word_problem,81,positive,d1
train-000114,train,257_512|positive|d3|arithmetic_word_problem,arithmetic_word_problem,369,positive,d3
train-000115,train,le128|positive|d2|arithmetic_word_problem,arithmetic_word_problem,110,positive,d2
train-000116,train,129_256|positive|d1|algebra,algebra,159,positive,d1
train-000117,train,129_256|positive|d2|arithmetic_word_problem,arithmetic_word_problem,254,positive,d2
train-000118,train,129_256|positive|d1|arithmetic_word_problem,arithmetic_word_problem,207,positive,d1
train-000119,train,129_256|positive|d1|number_theory,number_theory,197,positive,d1
train-000120,train,129_256|positive|d1|arithmetic_word_problem,arithmetic_word_problem,183,positive,d1
train-000121,train,129_256|positive|d1|arithmetic_word_problem,arithmetic_word_problem,230,positive,d1
train-000122,train,le128|positive|d2|arithmetic_word_problem,arithmetic_word_problem,67,positive,d2
train-000123,train,129_256|positive|d4_5|geometry,geometry,137,positive,d4_5
train-000124,train,le128|negative|d1|arithmetic_word_problem,arithmetic_word_problem,47,negative,d1
train-000125,train,257_512|positive|d4_5|combinatorics_probability,combinatorics_probability,270,positive,d4_5
train-000126,train,129_256|positive|d1|geometry,geometry,184,positive,d1
train-000127,train,129_256|positive|d6_plus|arithmetic_word_problem,arithmetic_word_problem,144,positive,d6_plus
train-000128,train,129_256|positive|d3|arithmetic_word_problem,arithmetic_word_problem,212,positive,d3
train-000129,train,129_256|negative|d2|arithmetic_word_problem,arithmetic_word_problem,150,negative,d2
train-000130,train,le128|positive|d4_5|arithmetic_word_problem,arithmetic_word_problem,61,positive,d4_5
train-000131,train,129_256|positive|d2|arithmetic_word_problem,arithmetic_word_problem,185,positive,d2
train-000132,train,le128|positive|d2|arithmetic_word_problem,arithmetic_word_problem,127,positive,d2
train-000133,train,257_512|positive|d1|arithmetic_word_problem,arithmetic_word_problem,333,positive,d1
train-000134,train,257_512|positive|d4_5|geometry,geometry,296,positive,d4_5
train-000135,train,le128|positive|d2|arithmetic_word_problem,arithmetic_word_problem,91,positive,d2
train-000136,train,129_256|positive|d2|arithmetic_word_problem,arithmetic_word_problem,188,positive,d2
train-000137,validation,257_512|positive|d4_5|arithmetic_word_problem,arithmetic_word_problem,284,positive,d4_5
train-000138,train,257_512|positive|d3|arithmetic_word_problem,arithmetic_word_problem,264,positive,d3
train-000139,train,257_512|positive|d3|arithmetic_word_problem,arithmetic_word_problem,353,positive,d3
train-000140,train,257_512|positive|d4_5|arithmetic_word_problem,arithmetic_word_problem,367,positive,d4_5
train-000141,train,257_512|positive|d1|arithmetic_word_problem,arithmetic_word_problem,332,positive,d1
train-000142,train,129_256|positive|d3|arithmetic_word_problem,arithmetic_word_problem,178,positive,d3
train-000143,train,129_256|positive|d4_5|arithmetic_word_problem,arithmetic_word_problem,233,positive,d4_5
train-000144,train,257_512|positive|d2|combinatorics_probability,combinatorics_probability,417,positive,d2
train-000145,train,le128|positive|d1|arithmetic_word_problem,arithmetic_word_problem,102,positive,d1
train-000146,train,le128|positive|d1|geometry,geometry,101,positive,d1
train-000147,train,129_256|positive|d1|arithmetic_word_problem,arithmetic_word_problem,215,positive,d1
train-000148,train,257_512|positive|d4_5|arithmetic_word_problem,arithmetic_word_problem,399,positive,d4_5
train-000149,validation,257_512|positive|d2|arithmetic_word_problem,arithmetic_word_problem,478,positive,d2
train-000150,train,le128|positive|d1|number_theory,number_theory,112,positive,d1
train-000151,train,129_256|positive|d3|arithmetic_word_problem,arithmetic_word_problem,244,positive,d3
train-000152,train,le128|positive|d3|arithmetic_word_problem,arithmetic_word_problem,105,positive,d3
train-000153,validation,257_512|positive|d2|arithmetic_word_problem,arithmetic_word_problem,312,positive,d2
train-000154,train,257_512|positive|d2|geometry,geometry,394,positive,d2
train-000155,train,129_256|positive|d1|number_theory,number_theory,229,positive,d1
train-000156,train,257_512|positive|d2|arithmetic_word_problem,arithmetic_word_problem,263,positive,d2
