id,decision,reason_codes,problem_type,question_length,length_bucket,answer_sign,answer_magnitude,has_unit,is_hard_type,template_sha256,leaderboard_near_score,leaderboard_match_id
train-000000,eligible,,arithmetic_word_problem,106,le128,positive,d3,False,False,b4fd5670caccbbe60bee982c3c4a85ebab13ba41109eec14e4e8e01baaed23a1,,
train-000001,eligible,,arithmetic_word_problem,338,257_512,positive,d3,True,False,0518cfe30cfc065b54d812231d65d531934d9b02ee645f43b511d0d243fec0f6,,
train-000002,eligible,,arithmetic_word_problem,242,129_256,positive,d4_5,True,False,3c3821c3a8b6ff452cc221305d9721b6ae6170db38c1833147d2f61eaece12f3,,
train-000003,eligible,,arithmetic_word_problem,236,129_256,positive,d2,True,False,142c73dad484ae91733e7a75ef4ff40391f0b75a2afd1024021611de47f52bea,,
train-000004,eligible,,arithmetic_word_problem,119,le128,positive,d3,False,False,7fd1f7a44f094c831eb2e46881811c5e94bab5d7785fdcc5937afcb1868ddcf4,,
train-000005,eligible,,arithmetic_word_problem,266,257_512,positive,d1,True,False,3fd1dccd3d76d3345af35f8fa98571d6f42b5b922b53b2b7e3fe836190bf18f6,,
train-000006,exclude,internal_template_duplicate,number_theory,56,le128,positive,d1,False,True,013d036ee187464a62f9b77688bcc5b3e309a4bfca5dbe78457490bd3e16a51d,,
train-000007,eligible,,arithmetic_word_problem,421,257_512,positive,d1,True,False,addd2c34583a86914d11a7bb7bf11ea9c32bcdfbc2090294512dd87bf90e11c0,,
train-000009,eligible,,geometry,98,le128,positive,d1,False,True,49d1a88724859752833baddd591c4bf000bb55f37c20eb8a304bd0f2aba76a54,,
train-000010,eligible,,arithmetic_word_problem,92,le128,positive,d2,False,False,55e48040a00aa9ec2d3fb175db99e054c5139d1c4cbd97037462659f1ebb7c63,,
train-000011,eligible,,arithmetic_word_problem,165,129_256,positive,d4_5,True,False,29b346e99de9a9121bf84956541109fa17470a079494caeeb4ab52cc732649d3,,
train-000012,eligible,,arithmetic_word_problem,192,129_256,positive,d1,False,False,b503be988ef2375525de6d2a403ea6a967a504930f40fe27b2f0edbde9d62f08,,
train-000013,exclude,phase1_evaluation_id,arithmetic_word_problem,317,257_512,positive,d1,True,False,6299ae6d5f4f0bd74143ee72c738e7a9857c84f1f27e1cfe7b7b8561ee9a4954,,
train-000014,exclude,phase1_evaluation_id,combinatorics_probability,284,257_512,positive,d2,False,True,67bd1c77a4faa4ea27208223c5e37c7f9619673c8a0f6dff0c9a8d62749f720b,,
train-000015,exclude,phase1_evaluation_id,arithmetic_word_problem,453,257_512,positive,d1,False,False,a5a5419ce0bac7e65c5427bf2fe3e269857cdbc42cc89098d522ee66a450943b,,
train-000016,eligible,,arithmetic_word_problem,476,257_512,positive,d1,True,False,6a2172cf5f58929fd6cf5e1a45755123363de0d7e1c456d10db258a46e3b54ac,,
train-000018,exclude,phase1_evaluation_id,geometry,232,129_256,positive,d1,False,True,76fef27cf83887e6421bb0e4325b19c6f493a932edd8bc86ee6f25dece05fc22,,
train-000019,eligible,,arithmetic_word_problem,291,257_512,positive,d3,False,False,5f9cbe0bf402499685730c7fc6ae811885817e3044b725744e26d9548bea3aa6,,
train-000020,eligible,,arithmetic_word_problem,112,le128,positive,d2,False,False,e5026dd0dc14ccef387e87bb469ecfe6457330d11909ba25672dda98349492af,,
train-000021,eligible,,algebra,138,129_256,positive,d2,False,False,2b9ebc3dd753893670f768e19426eafabcbef7e0d0a49c90ae474b6b5cf84063,,
train-000022,eligible,,geometry,166,129_256,positive,d2,False,True,a200571c868037df98ad895810628696d437252d5889b2fd06d584035963c522,,
train-000023,eligible,,arithmetic_word_problem,83,le128,positive,d1,False,False,b7e0be55e59a4f761befa32686f2ae3c9187748b7b89ef415ebf45abf9d5c256,,
train-000024,eligible,,arithmetic_word_problem,105,le128,negative,d1,False,False,dfd2a62d2f09c176e8bbd260573a7d520f39aa81de460241eec41ed36866124a,,
train-000025,eligible,,number_theory,317,257_512,positive,d2,False,True,fd4885709106c94c58ac795e672594b4e8d92a1cfd741fe3155294a899a8454d,,
train-000026,eligible,,algebra,573,gt512,positive,d1,False,False,6cbfa0206927260a55f03251c591c7a1342fa3b2c80fce23434361154505cfbe,,
train-000027,eligible,,arithmetic_word_problem,189,129_256,positive,d4_5,False,False,2b637085bbe11d2964d309f78fce555cd5eea57fcd94aa748c3b975fcbd3f0a9,,
train-000028,exclude,phase1_evaluation_id,arithmetic_word_problem,134,129_256,positive,d2,False,False,f7004b5bf12bea2c20d6e92b709611d3287e7f8a41e0ab458934bf6679543a29,,
train-000029,eligible,,arithmetic_word_problem,230,129_256,positive,d3,False,False,ebebcf34a5e8a02877fa34bbe807932edbbac29de995dc36f625f2a25be5d0e1,,
train-000030,eligible,,arithmetic_word_problem,258,257_512,positive,d1,False,False,35ac43a51d22ea0e46c17991715c6ee9ebb7de1f5e8ef0516d07a7552b1ff4d3,,
train-000031,eligible,,arithmetic_word_problem,146,129_256,positive,d3,True,False,4715245fa59a37b2c16794e92b209425f269d5dc03ae2a8c7e0ace97d4140f56,,
train-000032,eligible,,arithmetic_word_problem,102,le128,positive,d1,True,False,3cf6418b8d5f24dd824b9b64b727c8c61b4a369f83681c1377065e20bcd64a0d,,
train-000033,eligible,,arithmetic_word_problem,162,129_256,positive,d2,True,False,3110c1a26bbef2ca86286cea9b7f3eb1be86c2e86eb454684d8b47e090e80190,,
train-000034,exclude,internal_template_duplicate,arithmetic_word_problem,74,le128,positive,d2,False,False,6ba68b890d7a27be195443ce95bc8de4e5daad7e06cbb16a862cca1e3bf3889b,,
train-000035,exclude,phase1_evaluation_id,arithmetic_word_problem,229,129_256,positive,d3,False,False,c5cbc725e98e52d6a9359b5de69dedf65a66f9149eb4fa546bfeb784d4a1f0dd,,
train-000036,exclude,phase1_evaluation_id,number_theory,309,257_512,positive,d4_5,False,True,1dd9f1601f24ba21e4232d7c71f1e74c42c19e6f2abcef725e1528d4ae5592e0,,
train-000037,eligible,,arithmetic_word_problem,175,129_256,positive,d1,False,False,ceba05d22745516a8aaad5c91cd4d65744a02ffa6e8512099d6fd03f374797ef,,
train-000038,exclude,phase1_evaluation_id,combinatorics_probability,157,129_256,positive,d6_plus,False,True,f633d880789f925470215ad8242a3c12f3b99508abc2c91f4251363ddc116c79,,
train-000039,eligible,,arithmetic_word_problem,108,le128,positive,d2,False,False,f2ac59fe506e13708a528bb2fc6c8a37a8d6af2b803381b2104fcfac0ae9fc94,,
train-000040,eligible,,arithmetic_word_problem,328,257_512,positive,d1,False,False,84971744f526fc40e74f8da99c83ca509016de8c9356611af9c8c0c5b6d7425b,,
