row_id,effort,diagnostic_grade_excluded_from_sft,candidate_a_label_match,candidate_b_label_match,pass_at_2,candidate_a_validation_passed,candidate_b_validation_passed,candidate_a_flags,candidate_b_flags
train-015589,low,B,True,True,True,True,False,solution_too_short,solution_too_short|arithmetic_inconsistency
train-006714,low,D,True,True,True,False,False,arithmetic_inconsistency,arithmetic_inconsistency
train-014786,low,D,False,False,False,False,False,answer_extraction_failure|label_mismatch,answer_extraction_failure|label_mismatch
train-015648,low,D,True,True,True,False,False,arithmetic_inconsistency,arithmetic_inconsistency
train-012669,low,D,False,False,False,False,False,label_mismatch|solution_too_short,label_mismatch
train-013384,low,B,True,False,True,True,False,solution_too_short,label_mismatch
train-013682,low,A,True,True,True,True,True,,
train-011115,low,B,True,True,True,True,False,,abnormal_unicode|arithmetic_inconsistency
train-012372,low,D,True,True,True,False,False,arithmetic_inconsistency,arithmetic_inconsistency
train-004892,low,D,False,False,False,False,False,label_mismatch,label_mismatch
train-013231,low,B,False,True,True,False,True,label_mismatch,
train-011098,low,D,False,False,False,False,False,answer_extraction_failure|label_mismatch|solution_too_short,answer_extraction_failure|label_mismatch
train-009898,low,D,False,False,False,False,False,answer_extraction_failure|label_mismatch,answer_extraction_failure|label_mismatch
train-006237,low,D,False,False,False,False,False,answer_extraction_failure|label_mismatch|solution_too_short|arithmetic_inconsistency,answer_extraction_failure|label_mismatch|arithmetic_inconsistency
train-013959,low,A,True,True,True,True,True,,
train-015695,low,D,False,False,False,False,False,answer_extraction_failure|label_mismatch,answer_extraction_failure|label_mismatch
train-001793,low,A,True,True,True,True,True,solution_too_short,solution_too_short
train-014814,low,D,True,True,True,False,False,abnormal_unicode,abnormal_unicode
train-003314,low,B,True,True,True,True,False,solution_too_short,solution_too_short|arithmetic_inconsistency
train-002025,low,D,True,True,True,False,False,arithmetic_inconsistency,arithmetic_inconsistency
train-003850,low,D,False,False,False,False,False,label_mismatch|arithmetic_inconsistency,label_mismatch|arithmetic_inconsistency
train-004302,low,D,False,False,False,False,False,label_mismatch,label_mismatch
train-004657,low,B,True,True,True,True,False,,arithmetic_inconsistency
train-005282,low,A,True,True,True,True,True,solution_too_short,solution_too_short
train-011266,low,D,False,False,False,False,False,label_mismatch,label_mismatch
train-012663,low,D,False,False,False,False,False,label_mismatch,label_mismatch
train-003920,low,D,False,False,False,False,False,label_mismatch|arithmetic_inconsistency,label_mismatch|arithmetic_inconsistency
train-004623,low,D,False,False,False,False,False,answer_extraction_failure|label_mismatch,answer_extraction_failure|label_mismatch
train-010503,low,D,False,False,False,False,False,label_mismatch|solution_too_short,label_mismatch
train-008050,low,A,True,True,True,True,True,,solution_too_short
train-013679,low,D,False,False,False,False,False,answer_extraction_failure|label_mismatch,response_incomplete:max_output_tokens
train-000455,low,B,False,True,True,False,True,label_mismatch,
train-006313,low,D,False,False,False,False,False,answer_extraction_failure|label_mismatch|arithmetic_inconsistency,answer_extraction_failure|label_mismatch|solution_too_short|arithmetic_inconsistency
train-012610,low,D,True,True,True,False,False,arithmetic_inconsistency,arithmetic_inconsistency
train-007893,low,D,True,True,True,False,False,arithmetic_inconsistency,arithmetic_inconsistency
train-012980,low,A,True,True,True,True,True,,
train-013689,low,D,False,False,False,False,False,answer_extraction_failure|label_mismatch,answer_extraction_failure|label_mismatch
train-012761,low,D,False,False,False,False,False,label_mismatch,label_mismatch
train-011275,low,D,False,False,False,False,False,answer_extraction_failure|label_mismatch,answer_extraction_failure|label_mismatch
train-002773,low,B,True,True,True,False,True,arithmetic_inconsistency,
train-004074,low,D,False,False,False,False,False,label_mismatch|arithmetic_inconsistency,label_mismatch
train-015551,low,A,True,True,True,True,True,solution_too_short,
train-000108,low,B,True,True,True,False,True,arithmetic_inconsistency,
train-001972,low,B,True,False,True,True,False,,label_mismatch|abnormal_unicode
train-007262,low,D,False,False,False,False,False,answer_extraction_failure|label_mismatch,answer_extraction_failure|label_mismatch
train-006453,low,A,True,True,True,True,True,solution_too_short,solution_too_short
train-010854,low,D,True,True,True,False,False,arithmetic_inconsistency,arithmetic_inconsistency
train-003115,low,D,False,True,True,False,False,answer_extraction_failure|label_mismatch|solution_too_short|unit_check_incomplete,arithmetic_inconsistency
train-003404,low,B,False,True,True,False,True,response_incomplete:max_output_tokens,
train-006049,low,D,True,True,True,False,False,solution_too_short|arithmetic_inconsistency,solution_too_short|arithmetic_inconsistency
train-013275,low,D,False,False,False,False,False,label_mismatch,answer_extraction_failure|label_mismatch
train-010036,low,B,True,False,True,True,False,,label_mismatch
train-001449,low,A,True,True,True,True,True,solution_too_short,solution_too_short
train-014215,low,D,False,False,False,False,False,label_mismatch|arithmetic_inconsistency,label_mismatch|solution_too_short|arithmetic_inconsistency
train-008783,low,D,True,True,True,False,False,solution_too_short|arithmetic_inconsistency,solution_too_short|arithmetic_inconsistency
train-002879,low,D,False,False,False,False,False,answer_extraction_failure|label_mismatch,answer_extraction_failure|label_mismatch
train-007295,low,A,True,True,True,True,True,solution_too_short,solution_too_short
train-011721,low,D,False,False,False,False,False,label_mismatch,label_mismatch|solution_too_short
train-005105,low,A,True,True,True,True,True,solution_too_short,
train-000795,low,A,True,True,True,True,True,,
train-004140,low,D,True,True,True,False,False,arithmetic_inconsistency,arithmetic_inconsistency
train-005924,low,D,True,False,True,False,False,arithmetic_inconsistency,label_mismatch|arithmetic_inconsistency
train-009488,low,A,True,True,True,True,True,solution_too_short,solution_too_short
train-000221,low,D,True,True,True,False,False,arithmetic_inconsistency,arithmetic_inconsistency
train-009500,low,A,True,True,True,True,True,solution_too_short,
train-008255,low,A,True,True,True,True,True,,
train-007498,low,A,True,True,True,True,True,solution_too_short,solution_too_short
train-006763,low,D,False,False,False,False,False,label_mismatch,label_mismatch
train-007851,low,B,True,True,True,False,True,solution_too_short|arithmetic_inconsistency,solution_too_short
train-015366,low,B,True,True,True,True,False,,arithmetic_inconsistency
train-016338,low,D,False,False,False,False,False,answer_extraction_failure|label_mismatch,answer_extraction_failure|label_mismatch
train-009400,low,D,False,False,False,False,False,label_mismatch,label_mismatch
train-010730,low,A,True,True,True,True,True,solution_too_short,solution_too_short
train-015491,low,D,False,False,False,False,False,label_mismatch,label_mismatch
train-003183,low,D,False,False,False,False,False,answer_extraction_failure|label_mismatch,answer_extraction_failure|label_mismatch
train-012517,low,A,True,True,True,True,True,,solution_too_short
train-006750,low,D,False,False,False,False,False,label_mismatch,label_mismatch|abnormal_unicode
train-014050,low,A,True,True,True,True,True,solution_too_short,solution_too_short
train-010017,low,D,False,False,False,False,False,label_mismatch|arithmetic_inconsistency,label_mismatch
train-009106,low,A,True,True,True,True,True,solution_too_short,solution_too_short
train-005372,low,D,False,False,False,False,False,label_mismatch,label_mismatch
train-009839,low,D,False,False,False,False,False,answer_extraction_failure|label_mismatch|arithmetic_inconsistency,answer_extraction_failure|label_mismatch|arithmetic_inconsistency
train-005962,low,D,True,True,True,False,False,abnormal_unicode|arithmetic_inconsistency,arithmetic_inconsistency
train-010923,low,D,False,False,False,False,False,label_mismatch,label_mismatch|arithmetic_inconsistency
train-010682,low,D,False,False,False,False,False,answer_extraction_failure|label_mismatch,answer_extraction_failure|label_mismatch
train-013018,low,A,True,True,True,True,True,solution_too_short,solution_too_short
train-015243,low,A,True,True,True,True,True,solution_too_short,solution_too_short
train-004795,low,A,True,True,True,True,True,solution_too_short,solution_too_short
train-011027,low,D,False,False,False,False,False,answer_extraction_failure|label_mismatch,answer_extraction_failure|label_mismatch
train-007339,low,D,True,True,True,False,False,arithmetic_inconsistency,arithmetic_inconsistency
train-010446,low,A,True,True,True,True,True,solution_too_short,solution_too_short
train-013362,low,A,True,True,True,True,True,,
train-016837,low,D,False,False,False,False,False,answer_extraction_failure|label_mismatch,answer_extraction_failure|label_mismatch
train-013011,low,D,True,True,True,False,False,abnormal_unicode|solution_too_short,arithmetic_inconsistency
train-013436,low,D,False,False,False,False,False,answer_extraction_failure|label_mismatch,answer_extraction_failure|label_mismatch
train-002837,low,D,False,False,False,False,False,answer_extraction_failure|label_mismatch|arithmetic_inconsistency,answer_extraction_failure|label_mismatch|solution_too_short
train-006820,low,D,False,False,False,False,False,answer_extraction_failure|label_mismatch|solution_too_short|arithmetic_inconsistency,answer_extraction_failure|label_mismatch|solution_too_short|arithmetic_inconsistency
train-000485,low,D,False,False,False,False,False,answer_extraction_failure|label_mismatch,answer_extraction_failure|label_mismatch
train-016806,low,D,True,True,True,False,False,solution_too_short|arithmetic_inconsistency,arithmetic_inconsistency
train-016067,low,D,True,True,True,False,False,solution_too_short|arithmetic_inconsistency,solution_too_short|arithmetic_inconsistency
train-015589,medium,D,True,True,True,False,False,solution_too_short|arithmetic_inconsistency,solution_too_short|arithmetic_inconsistency
train-006714,medium,D,True,True,True,False,False,arithmetic_inconsistency,arithmetic_inconsistency
train-014786,medium,D,False,False,False,False,False,answer_extraction_failure|label_mismatch|solution_too_short,answer_extraction_failure|label_mismatch
train-015648,medium,D,True,True,True,False,False,arithmetic_inconsistency,arithmetic_inconsistency
train-012669,medium,A,True,True,True,True,True,solution_too_short,solution_too_short
train-013384,medium,A,True,True,True,True,True,,
train-013682,medium,A,True,True,True,True,True,,solution_too_short
train-011115,medium,A,True,True,True,True,True,,solution_too_short
train-012372,medium,D,True,False,True,False,False,arithmetic_inconsistency,label_mismatch|arithmetic_inconsistency
train-004892,medium,D,False,False,False,False,False,label_mismatch|solution_too_short,label_mismatch|solution_too_short
train-013231,medium,A,True,True,True,True,True,,
train-011098,medium,D,False,False,False,False,False,answer_extraction_failure|label_mismatch|solution_too_short,answer_extraction_failure|label_mismatch|solution_too_short
train-009898,medium,D,False,False,False,False,False,answer_extraction_failure|label_mismatch,answer_extraction_failure|label_mismatch
train-006237,medium,D,False,False,False,False,False,answer_extraction_failure|label_mismatch|solution_too_short|arithmetic_inconsistency,answer_extraction_failure|label_mismatch|arithmetic_inconsistency
train-013959,medium,D,False,True,True,False,False,label_mismatch|arithmetic_inconsistency,arithmetic_inconsistency
train-015695,medium,D,False,False,False,False,False,answer_extraction_failure|label_mismatch,answer_extraction_failure|label_mismatch
train-001793,medium,A,True,True,True,True,True,solution_too_short,solution_too_short
train-014814,medium,B,True,True,True,False,True,abnormal_unicode,
train-003314,medium,A,True,True,True,True,True,solution_too_short,solution_too_short
train-002025,medium,B,True,True,True,True,False,,arithmetic_inconsistency
train-003850,medium,D,False,False,False,False,False,label_mismatch|arithmetic_inconsistency,label_mismatch|arithmetic_inconsistency
train-004302,medium,B,True,False,True,True,False,,label_mismatch|arithmetic_inconsistency
train-004657,medium,B,True,True,True,True,False,,arithmetic_inconsistency
train-005282,medium,A,True,True,True,True,True,solution_too_short,solution_too_short
train-011266,medium,A,True,True,True,True,True,,
train-012663,medium,D,True,False,True,False,False,arithmetic_inconsistency,label_mismatch
train-003920,medium,D,False,False,False,False,False,label_mismatch|solution_too_short,label_mismatch|arithmetic_inconsistency
train-004623,medium,D,False,False,False,False,False,answer_extraction_failure|label_mismatch,answer_extraction_failure|label_mismatch
train-010503,medium,D,False,False,False,False,False,label_mismatch|solution_too_short,label_mismatch|solution_too_short
train-008050,medium,A,True,True,True,True,True,solution_too_short,solution_too_short
train-013679,medium,D,False,False,False,False,False,answer_extraction_failure|label_mismatch,answer_extraction_failure|label_mismatch
train-000455,medium,A,True,True,True,True,True,,
train-006313,medium,D,False,False,False,False,False,answer_extraction_failure|label_mismatch|solution_too_short|arithmetic_inconsistency,answer_extraction_failure|label_mismatch|solution_too_short|arithmetic_inconsistency
train-012610,medium,D,True,True,True,False,False,arithmetic_inconsistency,arithmetic_inconsistency
train-007893,medium,D,True,True,True,False,False,arithmetic_inconsistency,arithmetic_inconsistency
train-012980,medium,A,True,True,True,True,True,,
