id,category,confidence,observed_label,teacher_answers,evidence,interpretation
train-000786,strict_contract_multiple_possible,high,12,unsuitable,"The red-probability equation permits multiple k values; 12 is only one possible value.",Strict unique-answer prompt correctly refuses a benchmark item with multiple valid integers.
train-001014,model_reasoning_error,medium,342720,"low 316800|273600; medium 316800|270720","All four completed candidates disagree with the label and with one another across variants.",Hard combinatorics remains beyond reliable Luna accuracy in this sample.
train-001182,strict_contract_underdetermined,high,0,unsuitable,"The conjugate root is forced but the remaining integer root is not uniquely determined.",Strict unique-answer prompt correctly refuses an underdetermined benchmark item.
train-004271,inconsistent_problem_statement,high,-13,unsuitable,"A denominator factor x cancels the numerator x, so x=0 cannot remain a vertical asymptote as stated.",Teacher refusal is consistent with the prompt even though the label follows the uncancelled coefficients.
train-004776,corrupted_multi_output,high,351342,unsuitable,"The question begins mid-sentence and asks for both a maximum and a minimum while only one label is supplied.",Strict single-integer contract correctly rejects the item.
train-006817,likely_noisy_label_noninteger_answer,high,-7,unsuitable,"Polynomial division gives remainder (a+4/3)x+10/3, so a=-4/3 rather than an integer.",Teacher refusal is consistent with the integer-only contract and the supplied label is suspect.
train-006933,model_reasoning_or_completion_error,medium,8634,"low 8534|-2766; medium truncated|truncated","Low candidates disagree with the label; both medium candidates exhaust 4096 output tokens before a final answer.",A long hard geometry item exposes both reasoning weakness and the output-token ceiling.
train-009757,strict_contract_non_numeric_answer,high,1500,unsuitable,"The question asks whether one mountain obscures another, whose direct answer is yes/no.",Strict integer-only prompt correctly rejects a non-numeric task despite an integer label.
train-011311,likely_noisy_label,high,-1,"low 5|5; medium 5|5","Removing 5 leaves all six distinct pairs summing to 10 while reducing the denominator; all four candidates independently return 5.",The exact-match failure is driven by a likely incorrect label rather than teacher reasoning.
train-011366,model_reasoning_error,medium,281,"low 931|321; medium 211|201","Four completed candidates produce different incorrect residues.",Very hard olympiad number theory remains beyond reliable Luna accuracy in this sample.
train-011716,likely_noisy_label,high,15625,"low 31250|31250; medium 31250|31250","250000 sq ft × 50 g × (5/20) ÷ 1000 × $10 = $31250.",The exact-match failure is driven by a likely factor-of-two label error.
train-015988,likely_noisy_label,high,0,"low 2|2; medium 2|2","There are 13 even and 12 odd exponents from -12 through 12, so the alternating sum is 2.",The exact-match failure is driven by a likely incorrect zero label.
