stage,effort,id,variant,problem_type,is_hard_type,has_unit,length_bucket,answer_sign,answer_magnitude,label,response_completed,truncated,incomplete_reason,json_parsed,schema_valid,status,issue_type,predicted_answer,label_match,validation_flags,output_tokens,reasoning_tokens
smoke,low,train-004295,a,arithmetic_word_problem,False,False,le128,negative,d4_5,-1024,True,False,,True,True,solved,none,-1024,True,not_checked_complex_expression,252,53
smoke,low,train-004295,b,arithmetic_word_problem,False,False,le128,negative,d4_5,-1024,True,False,,True,True,solved,none,-1024,True,not_checked_complex_expression,297,81
smoke,low,train-006714,a,arithmetic_word_problem,False,True,gt512,positive,d4_5,81213,True,False,,True,True,solved,none,81213,True,not_checked_complex_expression,332,63
smoke,low,train-006714,b,arithmetic_word_problem,False,True,gt512,positive,d4_5,81213,True,False,,True,True,solved,none,81213,True,not_checked_complex_expression,380,102
smoke,low,train-007019,a,geometry,True,False,le128,positive,d6_plus,1177225,True,False,,True,True,solved,none,1177225,True,not_checked_complex_expression,318,104
smoke,low,train-007019,b,geometry,True,False,le128,positive,d6_plus,1177225,True,False,,True,True,solved,none,1177225,True,solution_below_target_length|not_checked_complex_expression,281,77
smoke,low,train-007638,a,combinatorics_probability,True,True,129_256,positive,d3,330,True,False,,True,True,solved,none,330,True,not_checked_complex_expression,1118,775
smoke,low,train-007638,b,combinatorics_probability,True,True,129_256,positive,d3,330,True,False,,True,True,solved,none,2048,False,label_mismatch|not_checked_complex_expression,425,154
smoke,low,train-009839,a,algebra,False,False,le128,negative,d2,-15,True,False,,True,True,unsuitable,multiple_outputs,,False,unsuitable:multiple_outputs,398,119
smoke,low,train-009839,b,algebra,False,False,le128,negative,d2,-15,True,False,,True,True,unsuitable,multiple_outputs,,False,unsuitable:multiple_outputs,413,122
smoke,low,train-010768,a,algebra,False,True,gt512,positive,d2,42,True,False,,True,True,solved,none,42,True,not_checked_complex_expression,537,215
smoke,low,train-010768,b,algebra,False,True,gt512,positive,d2,42,True,False,,True,True,solved,none,42,True,not_checked_complex_expression,466,152
smoke,low,train-011202,a,number_theory,True,False,257_512,zero,d1,0,True,False,,True,True,unsuitable,underdetermined,,False,unsuitable:underdetermined,262,79
smoke,low,train-011202,b,number_theory,True,False,257_512,zero,d1,0,True,False,,True,True,unsuitable,underdetermined,,False,unsuitable:underdetermined,216,38
