id,selection_reasons,problem_type,question_length,answer_sign,answer_magnitude
train-000041,large_integer_answer,geometry,376,positive,d6_plus
train-000176,zero_answer,arithmetic_word_problem,173,zero,d1
train-000231,negative_answer,geometry,136,negative,d1
train-000377,negative_answer,arithmetic_word_problem,75,negative,d1
train-000411,zero_answer,number_theory,127,zero,d1
train-000540,multiple_numbers_in_question,arithmetic_word_problem,170,positive,d1
train-000549,zero_answer,arithmetic_word_problem,406,zero,d1
train-000624,large_integer_answer,arithmetic_word_problem,196,positive,d6_plus
train-000684,multiple_numbers_in_question,arithmetic_word_problem,310,positive,d1
train-000765,multiple_numbers_in_question,arithmetic_word_problem,120,positive,d2
train-000910,zero_answer,arithmetic_word_problem,186,zero,d1
train-001039,large_integer_answer,number_theory,161,positive,d6_plus
train-001049,multiple_numbers_in_question,arithmetic_word_problem,532,positive,d2
train-001231,zero_answer,algebra,365,zero,d1
train-001340,zero_answer,number_theory,97,zero,d1
train-001391,multiple_numbers_in_question,arithmetic_word_problem,209,positive,d1
train-001410,zero_answer,arithmetic_word_problem,94,zero,d1
train-001518,negative_answer,arithmetic_word_problem,103,negative,d2
train-001532,negative_answer,arithmetic_word_problem,62,negative,d2
train-001752,negative_answer,arithmetic_word_problem,63,negative,d2
train-001779,multiple_numbers_in_question,algebra,164,negative,d3
train-001782,multiple_numbers_in_question,algebra,115,positive,d4_5
train-001841,large_integer_answer,number_theory,63,positive,d6_plus
train-001875,large_integer_answer,algebra,186,positive,d6_plus
train-001878,zero_answer,algebra,211,zero,d1
train-001885,negative_answer,arithmetic_word_problem,90,negative,d1
train-001954,large_integer_answer,arithmetic_word_problem,122,positive,d6_plus
train-001977,zero_answer,arithmetic_word_problem,142,zero,d1
train-002014,zero_answer,geometry,205,zero,d1
train-002034,large_integer_answer,arithmetic_word_problem,252,positive,d6_plus
train-002076,zero_answer,algebra,97,zero,d1
train-002091,negative_answer,arithmetic_word_problem,333,negative,d1
train-002193,zero_answer,arithmetic_word_problem,228,zero,d1
train-002324,zero_answer,combinatorics_probability,329,zero,d1
train-002399,negative_answer,algebra,76,negative,d2
train-002479,negative_answer,arithmetic_word_problem,80,negative,d2
train-002529,large_integer_answer,arithmetic_word_problem,170,positive,d6_plus
train-002536,negative_answer,algebra,179,negative,d2
train-002560,negative_answer,algebra,85,negative,d1
train-002567,large_integer_answer,arithmetic_word_problem,337,positive,d6_plus
train-002747,zero_answer,geometry,220,zero,d1
train-002824,zero_answer,arithmetic_word_problem,178,zero,d1
train-002904,multiple_numbers_in_question,algebra,122,positive,d3
train-002980,large_integer_answer,combinatorics_probability,207,positive,d6_plus
train-003000,multiple_numbers_in_question,arithmetic_word_problem,216,positive,d1
train-003022,multiple_numbers_in_question,algebra,229,zero,d1
train-003032,multiple_numbers_in_question,geometry,654,positive,d1
train-003154,multiple_numbers_in_question,algebra,98,positive,d1
train-003209,multiple_numbers_in_question,arithmetic_word_problem,317,positive,d2
train-003263,multiple_numbers_in_question,number_theory,266,positive,d2
train-003280,zero_answer,arithmetic_word_problem,124,zero,d1
train-003288,large_integer_answer,arithmetic_word_problem,159,positive,d6_plus
train-003369,negative_answer,arithmetic_word_problem,63,negative,d1
train-003383,negative_answer,arithmetic_word_problem,149,negative,d1
train-003414,multiple_numbers_in_question,arithmetic_word_problem,100,positive,d1
train-003884,negative_answer,arithmetic_word_problem,81,negative,d1
train-003968,zero_answer,arithmetic_word_problem,92,zero,d1
train-003996,large_integer_answer,arithmetic_word_problem,353,positive,d6_plus
train-004105,negative_answer,algebra,95,negative,d1
train-004116,zero_answer,arithmetic_word_problem,170,zero,d1
train-004187,multiple_numbers_in_question,arithmetic_word_problem,493,positive,d2
train-004293,negative_answer,number_theory,283,negative,d1
train-004462,multiple_numbers_in_question,arithmetic_word_problem,412,positive,d4_5
train-004555,multiple_numbers_in_question,combinatorics_probability,207,positive,d4_5
train-004563,multiple_numbers_in_question,arithmetic_word_problem,684,positive,d3
train-004888,multiple_numbers_in_question,algebra,124,positive,d1
train-004952,large_integer_answer,arithmetic_word_problem,319,positive,d6_plus
train-005009,zero_answer,arithmetic_word_problem,71,zero,d1
train-005075,zero_answer,algebra,149,zero,d1
train-005095,multiple_numbers_in_question,arithmetic_word_problem,679,positive,d1
train-005125,zero_answer,algebra,113,zero,d1
train-005165,large_integer_answer,arithmetic_word_problem,196,positive,d6_plus
train-005425,zero_answer,arithmetic_word_problem,571,zero,d1
train-005471,negative_answer,algebra,388,negative,d2
train-005491,zero_answer,arithmetic_word_problem,194,zero,d1
train-005496,negative_answer,algebra,122,negative,d2
train-005543,negative_answer,arithmetic_word_problem,161,negative,d2
train-005609,zero_answer,arithmetic_word_problem,67,zero,d1
train-005688,zero_answer,number_theory,188,zero,d1
train-005714,multiple_numbers_in_question,algebra,132,positive,d2
train-006019,multiple_numbers_in_question,arithmetic_word_problem,237,positive,d1
train-006240,multiple_numbers_in_question,arithmetic_word_problem,175,positive,d3
train-006285,multiple_numbers_in_question,number_theory,554,positive,d3
train-006311,large_integer_answer,arithmetic_word_problem,276,positive,d6_plus
train-006653,negative_answer,algebra,315,negative,d2
train-006665,zero_answer,algebra,112,zero,d1
train-006678,multiple_numbers_in_question,algebra,205,negative,d1
train-006835,zero_answer,algebra,106,zero,d1
train-007011,multiple_numbers_in_question,arithmetic_word_problem,624,positive,d4_5
train-007022,negative_answer,algebra,152,negative,d1
train-007180,large_integer_answer,arithmetic_word_problem,203,positive,d6_plus
train-007380,zero_answer,arithmetic_word_problem,27,zero,d1
train-007450,negative_answer,arithmetic_word_problem,153,negative,d1
train-007458,zero_answer,geometry,644,zero,d1
train-007570,negative_answer,arithmetic_word_problem,94,negative,d2
train-007573,large_integer_answer,arithmetic_word_problem,267,positive,d6_plus
train-007628,large_integer_answer,arithmetic_word_problem,52,positive,d6_plus
train-007740,large_integer_answer,geometry,187,positive,d6_plus
train-007777,large_integer_answer,algebra,507,positive,d6_plus
train-007793,zero_answer,arithmetic_word_problem,301,zero,d1
train-007844,negative_answer,arithmetic_word_problem,280,negative,d1
train-007877,zero_answer,arithmetic_word_problem,60,zero,d1
train-008029,multiple_numbers_in_question,combinatorics_probability,199,positive,d2
train-008077,large_integer_answer,combinatorics_probability,527,positive,d6_plus
train-008097,negative_answer,arithmetic_word_problem,146,negative,d2
train-008157,negative_answer,arithmetic_word_problem,114,negative,d2
train-008240,negative_answer,algebra,116,negative,d2
train-008265,large_integer_answer,arithmetic_word_problem,318,positive,d6_plus
train-008288,negative_answer,algebra,134,negative,d2
train-008448,multiple_numbers_in_question,arithmetic_word_problem,311,positive,d1
train-008456,negative_answer,arithmetic_word_problem,93,negative,d2
train-008499,negative_answer,arithmetic_word_problem,90,negative,d2
train-008506,negative_answer,arithmetic_word_problem,98,negative,d1
train-008521,negative_answer,arithmetic_word_problem,165,negative,d1
train-008527,zero_answer,arithmetic_word_problem,152,zero,d1
train-008631,large_integer_answer,number_theory,73,positive,d6_plus
train-008666,large_integer_answer,arithmetic_word_problem,371,positive,d6_plus
train-008677,zero_answer,algebra,79,zero,d1
train-008739,negative_answer,arithmetic_word_problem,97,negative,d1
train-008742,large_integer_answer,algebra,298,positive,d6_plus
train-008755,zero_answer,arithmetic_word_problem,92,zero,d1
train-008846,zero_answer,arithmetic_word_problem,137,zero,d1
train-008974,large_integer_answer,arithmetic_word_problem,26,positive,d6_plus
train-009026,multiple_numbers_in_question,geometry,236,positive,d1
train-009077,large_integer_answer,arithmetic_word_problem,229,positive,d6_plus
train-009110,negative_answer,algebra,209,negative,d2
train-009157,negative_answer,arithmetic_word_problem,87,negative,d6_plus
train-009210,large_integer_answer,arithmetic_word_problem,251,positive,d6_plus
train-009220,large_integer_answer,algebra,489,positive,d6_plus
train-009247,large_integer_answer,arithmetic_word_problem,225,positive,d6_plus
train-009283,large_integer_answer,arithmetic_word_problem,81,positive,d6_plus
train-009308,large_integer_answer,algebra,145,positive,d6_plus
train-009522,multiple_numbers_in_question,arithmetic_word_problem,184,positive,d2
train-009571,multiple_numbers_in_question,arithmetic_word_problem,132,positive,d1
train-009680,zero_answer,arithmetic_word_problem,88,zero,d1
train-009767,large_integer_answer,geometry,513,positive,d6_plus
train-009879,zero_answer,arithmetic_word_problem,160,zero,d1
train-010002,large_integer_answer,geometry,347,positive,d6_plus
train-010112,large_integer_answer,algebra,111,positive,d6_plus
train-010128,zero_answer,arithmetic_word_problem,320,zero,d1
train-010207,negative_answer,arithmetic_word_problem,165,negative,d1
train-010278,large_integer_answer,arithmetic_word_problem,49,positive,d6_plus
train-010294,large_integer_answer,arithmetic_word_problem,141,positive,d6_plus
train-010333,negative_answer,arithmetic_word_problem,31,negative,d1
train-010526,large_integer_answer,arithmetic_word_problem,112,positive,d6_plus
train-010585,multiple_numbers_in_question,arithmetic_word_problem,304,positive,d2
train-010771,multiple_numbers_in_question,arithmetic_word_problem,424,positive,d6_plus
train-010897,zero_answer,arithmetic_word_problem,67,zero,d1
train-010949,multiple_numbers_in_question,arithmetic_word_problem,290,positive,d2
train-011096,multiple_numbers_in_question,arithmetic_word_problem,165,positive,d4_5
