source,quality_tier,rows,f1_candidate_rows,verifier_passed_full,verifier_passed_partial,verifier_not_checked,verifier_failed
ALL,high,460,460,105,355,0,0
ALL,medium,7049,0,24,603,6422,0
ALL,low,31941,0,0,101,31840,0
ALL,excluded,10550,0,7,89,10404,50
augmented_gsm8k,high,416,416,104,312,0,0
augmented_gsm8k,medium,6264,0,0,568,5696,0
augmented_gsm8k,low,775,0,0,1,774,0
augmented_gsm8k,excluded,1225,0,3,59,1125,38
augmented_math,medium,58,0,24,34,0,0
augmented_math,low,31164,0,0,100,31064,0
augmented_math,excluded,9150,0,4,28,9106,12
gsm8k,high,43,43,1,42,0,0
gsm8k,medium,268,0,0,1,267,0
gsm8k,excluded,1,0,0,1,0,0
math,high,1,1,0,1,0,0
math,medium,459,0,0,0,459,0
math,low,2,0,0,0,2,0
math,excluded,174,0,0,1,173,0
