id,problem_type,is_hard_type,length_bucket,label,low_outcome,medium_outcome,low_pass_at_2,medium_pass_at_2,low_answers,medium_answers,consensus_answer,consensus_votes,consensus_wrong_risk
train-000543,arithmetic_word_problem,False,gt512,160,both_match,both_match,True,True,160|160,160|160,160,4,False
train-000693,algebra,False,le128,0,both_match,both_match,True,True,0|0,0|0,0,4,False
train-000786,combinatorics_probability,True,257_512,12,neither_match,neither_match,False,False,|,|,,0,False
train-001014,combinatorics_probability,True,129_256,342720,neither_match,neither_match,False,False,316800|273600,316800|270720,316800,2,False
train-001182,algebra,False,129_256,0,neither_match,neither_match,False,False,|,|,,0,False
train-002107,arithmetic_word_problem,True,257_512,165000,both_match,both_match,True,True,165000|165000,165000|165000,165000,4,False
train-002258,number_theory,True,gt512,2309,one_match,neither_match,True,False,203|2309,|,203,1,False
train-002559,combinatorics_probability,True,129_256,511566,both_match,both_match,True,True,511566|511566,511566|511566,511566,4,False
train-003331,arithmetic_word_problem,False,gt512,300,both_match,both_match,True,True,300|300,300|300,300,4,False
train-003722,number_theory,True,129_256,10,both_match,both_match,True,True,10|10,10|10,10,4,False
train-003748,combinatorics_probability,True,129_256,103950,both_match,both_match,True,True,103950|103950,103950|103950,103950,4,False
train-004121,geometry,True,257_512,1200,both_match,both_match,True,True,1200|1200,1200|1200,1200,4,False
train-004271,algebra,False,129_256,-13,neither_match,neither_match,False,False,|,|,,0,False
train-004776,arithmetic_word_problem,True,gt512,351342,neither_match,neither_match,False,False,|,|,,0,False
train-005472,arithmetic_word_problem,False,gt512,71,both_match,both_match,True,True,71|71,71|71,71,4,False
train-005623,geometry,True,le128,196,both_match,both_match,True,True,196|196,196|196,196,4,False
train-006817,number_theory,True,129_256,-7,neither_match,neither_match,False,False,|,|,,0,False
train-006933,geometry,True,gt512,8634,neither_match,neither_match,False,False,8534|-2766,|,8534,1,False
train-007773,geometry,True,le128,208152,both_match,both_match,True,True,208152|208152,208152|208152,208152,4,False
train-009669,number_theory,True,gt512,396,neither_match,one_match,False,True,1000|1000,396|10000,1000,2,False
train-009757,geometry,True,257_512,1500,neither_match,neither_match,False,False,|,|,,0,False
train-009764,combinatorics_probability,True,129_256,-3,both_match,both_match,True,True,-3|-3,-3|-3,-3,4,False
train-009833,algebra,False,257_512,17711,one_match,neither_match,True,False,28601|17711,21|,28601,1,False
train-010480,algebra,False,le128,0,both_match,both_match,True,True,0|0,0|0,0,4,False
train-010791,algebra,False,129_256,-185,both_match,both_match,True,True,-185|-185,-185|-185,-185,4,False
train-010982,algebra,False,le128,0,both_match,both_match,True,True,0|0,0|0,0,4,False
train-011311,combinatorics_probability,True,257_512,-1,neither_match,neither_match,False,False,5|5,5|5,5,4,True
train-011366,number_theory,True,257_512,281,neither_match,neither_match,False,False,931|321,211|201,931,1,False
train-011716,geometry,True,257_512,15625,neither_match,neither_match,False,False,31250|31250,31250|31250,31250,4,True
train-011882,algebra,False,257_512,-35,both_match,both_match,True,True,-35|-35,-35|-35,-35,4,False
train-011934,algebra,False,le128,0,both_match,both_match,True,True,0|0,0|0,0,4,False
train-012715,arithmetic_word_problem,False,le128,-150,both_match,both_match,True,True,-150|-150,-150|-150,-150,4,False
train-013054,number_theory,True,gt512,437,neither_match,one_match,False,True,357|357,357|437,357,3,True
train-013177,combinatorics_probability,True,129_256,12,one_match,both_match,True,True,12|,12|12,12,3,False
train-014550,geometry,True,129_256,5600,both_match,both_match,True,True,5600|5600,5600|5600,5600,4,False
train-014844,arithmetic_word_problem,False,le128,0,both_match,both_match,True,True,0|0,0|0,0,4,False
train-015103,arithmetic_word_problem,False,le128,-18,both_match,both_match,True,True,-18|-18,-18|-18,-18,4,False
train-015988,arithmetic_word_problem,False,le128,0,neither_match,neither_match,False,False,2|2,2|2,2,4,True
train-016645,number_theory,True,257_512,-8,both_match,both_match,True,True,-8|-8,-8|-8,-8,4,False
train-016994,arithmetic_word_problem,False,le128,-25,both_match,both_match,True,True,-25|-25,-25|-25,-25,4,False
