stage,effort,id,variant,problem_type,is_hard_type,has_unit,length_bucket,answer_sign,answer_magnitude,label,response_completed,truncated,incomplete_reason,json_parsed,schema_valid,status,issue_type,predicted_answer,label_match,validation_flags,output_tokens,reasoning_tokens
smoke,low,train-004295,a,arithmetic_word_problem,False,False,le128,negative,d4_5,-1024,True,False,,True,True,solved,none,-1024,True,solution_below_target_length|not_checked_complex_expression,238,89
smoke,low,train-004295,b,arithmetic_word_problem,False,False,le128,negative,d4_5,-1024,True,False,,True,True,solved,none,-1024,True,not_checked_complex_expression,254,90
smoke,low,train-006714,a,arithmetic_word_problem,False,True,gt512,positive,d4_5,81213,True,False,,True,True,solved,none,81213,True,not_checked_complex_expression,294,106
smoke,low,train-006714,b,arithmetic_word_problem,False,True,gt512,positive,d4_5,81213,True,False,,True,True,solved,none,81213,True,not_checked_complex_expression,262,78
smoke,low,train-007019,a,geometry,True,False,le128,positive,d6_plus,1177225,True,False,,True,True,solved,none,1177225,True,solution_below_target_length|not_checked_complex_expression,626,442
smoke,low,train-007019,b,geometry,True,False,le128,positive,d6_plus,1177225,True,False,,True,True,solved,none,1177225,True,solution_below_target_length|not_checked_complex_expression,696,515
smoke,low,train-007638,a,combinatorics_probability,True,True,129_256,positive,d3,330,True,False,,True,True,solved,none,330,True,not_checked_complex_expression,581,340
smoke,low,train-007638,b,combinatorics_probability,True,True,129_256,positive,d3,330,True,False,,True,True,solved,none,330,True,not_checked_complex_expression,604,376
smoke,low,train-009839,a,algebra,False,False,le128,negative,d2,-15,True,False,,True,True,unsuitable,multiple_outputs,,False,unsuitable:multiple_outputs,356,153
smoke,low,train-009839,b,algebra,False,False,le128,negative,d2,-15,True,False,,True,True,solved,none,5,False,label_mismatch|not_checked_complex_expression,311,105
smoke,low,train-010768,a,algebra,False,True,gt512,positive,d2,42,True,False,,True,True,unsuitable,multiple_outputs,,False,unsuitable:multiple_outputs,501,223
smoke,low,train-010768,b,algebra,False,True,gt512,positive,d2,42,True,False,,True,True,solved,none,42,True,not_checked_complex_expression,500,254
smoke,low,train-011202,a,number_theory,True,False,257_512,zero,d1,0,True,False,,True,True,unsuitable,underdetermined,,False,unsuitable:underdetermined,212,85
smoke,low,train-011202,b,number_theory,True,False,257_512,zero,d1,0,True,False,,True,True,unsuitable,underdetermined,,False,unsuitable:underdetermined,225,92
smoke,low,train-013384,a,algebra,False,True,129_256,negative,d1,-9,True,False,,True,True,solved,none,0,False,label_mismatch|not_checked_complex_expression,458,188
smoke,low,train-013384,b,algebra,False,True,129_256,negative,d1,-9,True,False,,True,True,solved,none,-9,True,not_checked_complex_expression,993,714
smoke,low,train-013388,a,combinatorics_probability,True,False,257_512,positive,d6_plus,681751,True,False,,True,True,solved,none,681751,True,not_checked_complex_expression,493,264
smoke,low,train-013388,b,combinatorics_probability,True,False,257_512,positive,d6_plus,681751,True,False,,True,True,solved,none,2045253,False,label_mismatch|not_checked_complex_expression,600,357
smoke,low,train-014655,a,number_theory,True,False,257_512,zero,d1,0,True,False,,True,True,unsuitable,underdetermined,,False,unsuitable:underdetermined,287,125
smoke,low,train-014655,b,number_theory,True,False,257_512,zero,d1,0,True,False,,True,True,unsuitable,underdetermined,,False,unsuitable:underdetermined,186,65
comparison,low,train-000108,a,arithmetic_word_problem,False,False,129_256,negative,d4_5,-5892,True,False,,True,True,unsuitable,underdetermined,,False,unsuitable:underdetermined,814,599
comparison,low,train-000108,b,arithmetic_word_problem,False,False,129_256,negative,d4_5,-5892,True,False,,True,True,unsuitable,underdetermined,,False,unsuitable:underdetermined,487,297
comparison,low,train-000825,a,number_theory,True,True,129_256,positive,d2,15,True,False,,True,True,solved,none,10,False,label_mismatch|not_checked_complex_expression,709,465
comparison,low,train-000825,b,number_theory,True,True,129_256,positive,d2,15,True,False,,True,True,solved,none,10,False,label_mismatch|not_checked_complex_expression,616,350
comparison,low,train-001103,a,geometry,True,True,gt512,positive,d2,61,True,False,,True,True,unsuitable,multiple_outputs,,False,unsuitable:multiple_outputs,1402,1176
comparison,low,train-001103,b,geometry,True,True,gt512,positive,d2,61,True,False,,True,True,unsuitable,non_integer_answer,,False,unsuitable:non_integer_answer,1739,1456
comparison,low,train-001639,a,arithmetic_word_problem,True,False,gt512,negative,d2,-16,True,False,,True,True,solved,none,-16,True,abnormal_unicode|not_checked_complex_expression,440,183
comparison,low,train-001639,b,arithmetic_word_problem,True,False,gt512,negative,d2,-16,True,False,,True,True,solved,none,-16,True,abnormal_unicode|not_checked_complex_expression,499,212
comparison,low,train-001972,a,combinatorics_probability,True,True,257_512,positive,d3,809,True,False,,True,True,solved,none,809,True,not_checked_complex_expression,441,220
comparison,low,train-001972,b,combinatorics_probability,True,True,257_512,positive,d3,809,True,False,,True,True,solved,none,809,True,not_checked_complex_expression,493,300
comparison,low,train-002025,a,combinatorics_probability,True,True,257_512,positive,d4_5,12000,True,False,,True,True,solved,none,12000,True,not_checked_complex_expression,231,60
