id,category,source_answer,reviewed_expected_answer,reason,source_reference,source_sha256
train-008514,verified_label_mismatch,66,64,"24 correct answers give 48 points and four perfect-round bonuses give 16 points",C:/Users/kyle0/Downloads/message.txt,ed2d240eddee8479ac2bb443c446f451797f615a4f80c14136fb829d58eddf2f
train-004489,verified_label_mismatch,24,48,"Four half-dozens are 24 crayons and each costs 2 dollars",C:/Users/kyle0/Downloads/message.txt,ed2d240eddee8479ac2bb443c446f451797f615a4f80c14136fb829d58eddf2f
train-001304,verified_label_mismatch,10850,10750,"7000 times 3/4 plus 5000 times 4/5 plus 3000 times 1/2 is 10750",C:/Users/kyle0/Downloads/message.txt,ed2d240eddee8479ac2bb443c446f451797f615a4f80c14136fb829d58eddf2f
train-007564,verified_label_mismatch,60,30,"Half remains unburned and 80 percent of that is 12 ounces so 0.4x equals 12",C:/Users/kyle0/Downloads/message.txt,ed2d240eddee8479ac2bb443c446f451797f615a4f80c14136fb829d58eddf2f
train-007033,verified_label_mismatch,49,77,"Monday is 14 Tuesday is 7 and Wednesday is four times Monday or 56",C:/Users/kyle0/Downloads/message.txt,ed2d240eddee8479ac2bb443c446f451797f615a4f80c14136fb829d58eddf2f
train-011438,verified_label_mismatch,265,266,"There are 16 squares at or below 266 so 266 is the 250th non-square",C:/Users/kyle0/Downloads/message.txt,ed2d240eddee8479ac2bb443c446f451797f615a4f80c14136fb829d58eddf2f
train-002826,verified_label_mismatch,5,3,"217 times 45 is 9765 whose remainder modulo 6 is 3",C:/Users/kyle0/Downloads/message.txt,ed2d240eddee8479ac2bb443c446f451797f615a4f80c14136fb829d58eddf2f
train-004476,verified_label_mismatch,40,80,"The whole-trip average is 40 and covering two-thirds in one-third of the time requires speed 80",C:/Users/kyle0/Downloads/message.txt,ed2d240eddee8479ac2bb443c446f451797f615a4f80c14136fb829d58eddf2f
train-011445,verified_label_mismatch,3,5,"Each ant travels half the perimeter or 12 and the meeting point is five units from Q",C:/Users/kyle0/Downloads/message.txt,ed2d240eddee8479ac2bb443c446f451797f615a4f80c14136fb829d58eddf2f
train-003766,verified_label_mismatch,20,8*sqrt(7),"The stated equation reduces to x^2-26x+57 and the root difference is 8 times sqrt(7)",C:/Users/kyle0/Downloads/message.txt,ed2d240eddee8479ac2bb443c446f451797f615a4f80c14136fb829d58eddf2f
train-004314,verified_label_mismatch,27,28,"A score of 27 makes the average exactly 75 percent while the prompt requires higher than 75 percent",C:/Users/kyle0/Downloads/message.txt,ed2d240eddee8479ac2bb443c446f451797f615a4f80c14136fb829d58eddf2f
train-015464,ambiguous_or_corrupt_prompt,2,2_or_6,"It is unclear whether two times cheaper compares per-kilogram prices or total purchase prices",C:/Users/kyle0/Downloads/message.txt,ed2d240eddee8479ac2bb443c446f451797f615a4f80c14136fb829d58eddf2f
train-003974,ambiguous_or_corrupt_prompt,30,3_if_ml,"The prompt mixes milliliters and milligrams without concentration data and the intended variable is not recoverable rigorously",C:/Users/kyle0/Downloads/message.txt,ed2d240eddee8479ac2bb443c446f451797f615a4f80c14136fb829d58eddf2f
train-002665,ambiguous_or_corrupt_prompt,95,95_or_100,"The endpoint spacing between the railings and the first and last bicycles is not specified",C:/Users/kyle0/Downloads/message.txt,ed2d240eddee8479ac2bb443c446f451797f615a4f80c14136fb829d58eddf2f
