row_number,id,source,source_row_idx,answer_type,final_answer,included,quality_tier,quality_score,f1_candidate,primary_exclusion_reason,exclusion_reasons,quality_flags,schema_valid,schema_errors,id_unique,id_provenance_consistent,messages_consistent,assistant_solution_consistent,last_final_line_consistent,solution_nonempty,solution_word_count,solution_char_count,length_band,problem_dependency_detected,tool_dependency_detected,truncation_detected,self_contradiction_detected,verifier_status,verifier_checked_equations,verifier_not_checked_expressions,verifier_failed_equations,verifier_coverage,manual_review_scope,manual_verdict,manual_error_type,manual_notes
1,omi2-000055357,augmented_gsm8k,55357,integer,324,true,medium,4,false,,,verifier:not_checked,true,,true,true,true,true,true,true,107,471,preferred,false,false,false,false,not_checked,0,4,0,0.000000,,,,
2,omi2-000032939,augmented_gsm8k,32939,integer,42,true,medium,4,false,,,verifier:not_checked,true,,true,true,true,true,true,true,101,464,preferred,false,false,false,false,not_checked,0,4,0,0.000000,,,,
3,omi2-000007366,augmented_gsm8k,7366,decimal,19.5,false,excluded,0,false,non_integer_decimal_answer,non_integer_decimal_answer,verifier:not_checked,true,,true,true,true,true,true,true,140,695,preferred,false,false,false,false,not_checked,0,5,0,0.000000,,,,
4,omi2-000014078,augmented_math,14078,fraction,7/13,false,excluded,0,false,non_integer_fraction_answer,non_integer_fraction_answer,verifier:not_checked,true,,true,true,true,true,true,true,118,666,preferred,false,false,false,false,not_checked,0,1,0,0.000000,,,,
5,omi2-000012041,augmented_math,12041,integer,25,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,181,861,preferred,false,false,false,false,not_checked,0,3,0,0.000000,,,,
6,omi2-000044656,augmented_math,44656,fraction,5/6,false,excluded,0,false,non_integer_fraction_answer,non_integer_fraction_answer,verifier:not_checked,true,,true,true,true,true,true,true,202,1039,preferred,false,false,false,false,not_checked,0,5,0,0.000000,,,,
7,omi2-000024838,augmented_math,24838,integer,4,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,104,479,preferred,false,false,false,false,not_checked,0,4,0,0.000000,,,,
8,omi2-000048781,augmented_math,48781,integer,600,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,153,827,preferred,false,false,false,false,not_checked,0,3,0,0.000000,,,,
9,omi2-000045637,augmented_gsm8k,45637,integer,9,true,medium,4,false,,,verifier:not_checked,true,,true,true,true,true,true,true,81,413,preferred,false,false,false,false,not_checked,0,2,0,0.000000,,,,
10,omi2-000012196,augmented_math,12196,integer,5,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,383,2002,preferred,false,false,false,false,not_checked,0,13,0,0.000000,,,,
11,omi2-000001532,augmented_math,1532,integer,10,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,129,635,preferred,false,false,false,false,not_checked,0,5,0,0.000000,,,,
12,omi2-000057891,gsm8k,57891,integer,426,true,medium,5,false,,,verifier:not_checked,true,,true,true,true,true,true,true,137,604,preferred,false,false,false,false,not_checked,0,6,0,0.000000,,,,
13,omi2-000010818,augmented_math,10818,integer,57,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,138,588,preferred,false,false,false,false,not_checked,0,6,0,0.000000,,,,
14,omi2-000051257,augmented_math,51257,fraction,5/7,false,excluded,0,false,non_integer_fraction_answer,non_integer_fraction_answer,verifier:not_checked,true,,true,true,true,true,true,true,191,1153,preferred,false,false,false,false,not_checked,0,10,0,0.000000,,,,
15,omi2-000048077,augmented_math,48077,integer,3125,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,107,579,preferred,false,false,false,false,not_checked,0,2,0,0.000000,,,,
16,omi2-000000117,augmented_math,117,fraction,3/2,false,excluded,0,false,non_integer_fraction_answer,non_integer_fraction_answer,verifier:not_checked,true,,true,true,true,true,true,true,253,1575,preferred,false,false,false,false,not_checked,0,15,0,0.000000,,,,
17,omi2-000004477,augmented_math,4477,fraction,1/2,false,excluded,0,false,non_integer_fraction_answer,non_integer_fraction_answer,verifier:not_checked,true,,true,true,true,true,true,true,184,906,preferred,false,false,false,false,not_checked,0,7,0,0.000000,,,,
18,omi2-000020051,augmented_math,20051,integer,40,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,264,1392,preferred,false,false,false,false,not_checked,0,7,0,0.000000,,,,
19,omi2-000064500,augmented_gsm8k,64500,integer,242,true,medium,4,false,,,verifier:not_checked,true,,true,true,true,true,true,true,60,316,preferred,false,false,false,false,not_checked,0,2,0,0.000000,,,,
20,omi2-000028238,augmented_gsm8k,28238,decimal,37.5,false,excluded,0,false,non_integer_decimal_answer,non_integer_decimal_answer,verifier:not_checked,true,,true,true,true,true,true,true,139,673,preferred,false,false,false,false,not_checked,0,5,0,0.000000,,,,
21,omi2-000002432,augmented_math,2432,fraction,15/2,false,excluded,0,false,non_integer_fraction_answer,non_integer_fraction_answer,verifier:not_checked,true,,true,true,true,true,true,true,233,1060,preferred,false,false,false,false,not_checked,0,9,0,0.000000,,,,
22,omi2-000046790,augmented_math,46790,integer,3,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,158,835,preferred,false,false,false,false,not_checked,0,2,0,0.000000,,,,
23,omi2-000037617,augmented_math,37617,integer,20,false,excluded,0,false,external_visual_or_problem_code_dependency,external_visual_or_problem_code_dependency,problem:external_visual_or_code_dependency|verifier:not_checked,true,,true,true,true,true,true,true,252,1230,preferred,true,false,false,false,not_checked,0,4,0,0.000000,,,,
24,omi2-000058181,augmented_math,58181,integer,1,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,331,1871,preferred,false,false,false,false,not_checked,0,9,0,0.000000,,,,
25,omi2-000037113,augmented_math,37113,integer,1,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,254,1446,preferred,false,false,false,false,not_checked,0,6,0,0.000000,,,,
26,omi2-000017308,augmented_math,17308,integer,2,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,138,832,preferred,false,false,false,false,not_checked,0,5,0,0.000000,,,,
27,omi2-000026803,augmented_math,26803,fraction,-3/2,false,excluded,0,false,non_integer_fraction_answer,non_integer_fraction_answer,verifier:not_checked,true,,true,true,true,true,true,true,248,1341,preferred,false,false,false,false,not_checked,0,5,0,0.000000,,,,
28,omi2-000058921,augmented_math,58921,integer,1,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,104,503,preferred,false,false,false,false,not_checked,0,4,0,0.000000,,,,
29,omi2-000003480,augmented_gsm8k,3480,decimal,87.33,false,excluded,0,false,non_integer_decimal_answer,non_integer_decimal_answer,verifier:not_checked,true,,true,true,true,true,true,true,77,377,preferred,false,false,false,false,not_checked,0,2,0,0.000000,,,,
30,omi2-000009128,augmented_gsm8k,9128,integer,144,true,medium,5,false,,,verifier:partial_coverage,true,,true,true,true,true,true,true,50,296,acceptable,false,false,false,false,passed_partial,1,1,0,0.500000,,,,
31,omi2-000048492,augmented_math,48492,integer,160,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,103,564,preferred,false,false,false,false,not_checked,0,3,0,0.000000,,,,
32,omi2-000053838,augmented_math,53838,integer,10,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,298,1537,preferred,false,false,false,false,not_checked,0,8,0,0.000000,,,,
33,omi2-000004690,augmented_math,4690,decimal,0.44,false,excluded,0,false,non_integer_decimal_answer,non_integer_decimal_answer,verifier:not_checked,true,,true,true,true,true,true,true,89,477,preferred,false,false,false,false,not_checked,0,3,0,0.000000,,,,
34,omi2-000040359,augmented_math,40359,integer,29,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,166,850,preferred,false,false,false,false,not_checked,0,4,0,0.000000,,,,
