id,problem_type,is_hard_type,length_bucket,label,low_outcome,medium_outcome,low_pass_at_2,medium_pass_at_2,low_answers,medium_answers,consensus_answer,consensus_votes,consensus_wrong_risk
train-000108,arithmetic_word_problem,False,129_256,-5892,neither_match,neither_match,False,False,|,|,,0,False
train-000825,number_theory,True,129_256,15,neither_match,neither_match,False,False,10|10,10|10,10,4,True
train-001103,geometry,True,gt512,61,neither_match,neither_match,False,False,|,|,,0,False
train-001639,arithmetic_word_problem,True,gt512,-16,both_match,both_match,True,True,-16|-16,-16|-16,-16,4,False
train-001972,combinatorics_probability,True,257_512,809,both_match,neither_match,True,False,809|809,691|691,809,2,False
train-002025,combinatorics_probability,True,257_512,12000,both_match,both_match,True,True,12000|12000,12000|12000,12000,4,False
train-002777,combinatorics_probability,True,257_512,1056,both_match,both_match,True,True,1056|1056,1056|1056,1056,4,False
train-002863,arithmetic_word_problem,True,gt512,-50,neither_match,one_match,False,True,|,-50|,-50,1,False
train-003183,number_theory,True,129_256,592704,neither_match,neither_match,False,False,|,|,,0,False
train-003920,number_theory,True,129_256,161150,neither_match,neither_match,False,False,165150|165150,165150|165150,165150,4,True
train-004144,arithmetic_word_problem,False,le128,-100,both_match,both_match,True,True,-100|-100,-100|-100,-100,4,False
train-004679,algebra,False,129_256,0,both_match,both_match,True,True,0|0,0|0,0,4,False
train-006313,algebra,False,le128,0,neither_match,neither_match,False,False,|,|,,0,False
train-006453,algebra,False,le128,0,both_match,both_match,True,True,0|0,0|0,0,4,False
train-006480,algebra,False,gt512,20,both_match,both_match,True,True,20|20,20|20,20,4,False
train-006750,geometry,True,gt512,505,neither_match,neither_match,False,False,1|3,1|0,1,2,False
train-006848,geometry,True,gt512,82734,neither_match,neither_match,False,False,|51900,51900|,51900,2,False
train-008050,arithmetic_word_problem,False,129_256,-1024,both_match,both_match,True,True,-1024|-1024,-1024|-1024,-1024,4,False
train-009106,geometry,True,129_256,0,both_match,both_match,True,True,0|0,0|0,0,4,False
train-009400,combinatorics_probability,True,257_512,518400,both_match,one_match,True,True,518400|518400,224640|518400,518400,3,False
train-009414,number_theory,True,129_256,11,both_match,one_match,True,True,11|11,11|20,11,3,False
train-009669,number_theory,True,gt512,396,neither_match,neither_match,False,False,1000|1000,1000|1000,1000,4,True
train-009903,arithmetic_word_problem,False,257_512,-1,neither_match,neither_match,False,False,|,|,,0,False
train-010982,algebra,False,le128,0,both_match,both_match,True,True,0|0,0|0,0,4,False
train-011275,arithmetic_word_problem,False,le128,-501,neither_match,neither_match,False,False,|,|,,0,False
train-011302,combinatorics_probability,True,257_512,665280,neither_match,neither_match,False,False,332640|332640,332640|332640,332640,4,True
train-011721,number_theory,True,257_512,757575,neither_match,neither_match,False,False,693147|693147,693147|693147,693147,4,True
train-011934,algebra,False,le128,0,both_match,both_match,True,True,0|0,0|0,0,4,False
train-012372,combinatorics_probability,True,257_512,222480,neither_match,both_match,False,True,251280|208080,222480|222480,222480,2,False
train-012486,geometry,True,129_256,2100,both_match,both_match,True,True,2100|2100,2100|2100,2100,4,False
train-012517,algebra,False,le128,0,both_match,both_match,True,True,0|0,0|0,0,4,False
train-012715,arithmetic_word_problem,False,le128,-150,both_match,both_match,True,True,-150|-150,-150|-150,-150,4,False
train-012887,arithmetic_word_problem,False,gt512,15,neither_match,neither_match,False,False,13|13,13|13,13,4,True
train-013689,geometry,True,257_512,0,neither_match,neither_match,False,False,|,|,,0,False
train-014215,geometry,True,gt512,21586,neither_match,neither_match,False,False,32403|39626,|,32403,1,False
train-014786,algebra,False,129_256,-123,neither_match,neither_match,False,False,|-1998,|,-1998,1,False
train-015243,combinatorics_probability,True,257_512,400,both_match,both_match,True,True,400|400,400|400,400,4,False
train-015366,number_theory,True,257_512,3750,both_match,both_match,True,True,3750|3750,3750|3750,3750,4,False
train-015402,algebra,False,le128,-44,both_match,both_match,True,True,-44|-44,-44|-44,-44,4,False
train-015589,geometry,True,le128,0,both_match,both_match,True,True,0|0,0|0,0,4,False
