reason,primary_rows,all_reason_rows
non_integer_fraction_answer,6236,6236
non_integer_decimal_answer,3165,3165
external_visual_or_problem_code_dependency,705,891
detectable_self_contradiction,287,324
truncated_solution,61,67
simple_equation_verifier_failed,29,50
non_integer_other_answer,36,36
final_marker_inside_solution,23,30
tool_or_code_dependent_solution,7,8
manual_quality_audit_failed,1,4
abnormal_control_or_replacement_character,0,0
duplicate_or_blank_id,0,0
empty_solution,0,0
id_provenance_mismatch,0,0
messages_or_final_line_inconsistent,0,0
schema_error,0,0
