effort,id,problem_type,is_hard_type,has_unit,length_bucket,answer_sign,answer_magnitude,label,a_status,b_status,a_answer,b_answer,a_match,b_match,first_exact,pass_at_2,outcome,candidate_answer_agreement,any_unsuitable,any_incomplete
low,train-000543,arithmetic_word_problem,False,True,gt512,positive,d3,160,solved,solved,160,160,True,True,True,True,both_match,True,False,False
low,train-000693,algebra,False,False,le128,zero,d1,0,solved,solved,0,0,True,True,True,True,both_match,True,False,False
low,train-000786,combinatorics_probability,True,True,257_512,positive,d2,12,unsuitable,unsuitable,,,False,False,False,False,neither_match,False,True,False
low,train-001014,combinatorics_probability,True,False,129_256,positive,d6_plus,342720,solved,solved,316800,273600,False,False,False,False,neither_match,False,False,False
low,train-001182,algebra,False,False,129_256,zero,d1,0,unsuitable,unsuitable,,,False,False,False,False,neither_match,False,True,False
low,train-002107,arithmetic_word_problem,True,True,257_512,positive,d6_plus,165000,solved,solved,165000,165000,True,True,True,True,both_match,True,False,False
low,train-002258,number_theory,True,False,gt512,positive,d4_5,2309,solved,solved,203,2309,False,True,False,True,one_match,False,False,False
low,train-002559,combinatorics_probability,True,False,129_256,positive,d6_plus,511566,solved,solved,511566,511566,True,True,True,True,both_match,True,False,False
low,train-003331,arithmetic_word_problem,False,True,gt512,positive,d3,300,solved,solved,300,300,True,True,True,True,both_match,True,False,False
low,train-003722,number_theory,True,True,129_256,positive,d2,10,solved,solved,10,10,True,True,True,True,both_match,True,False,False
low,train-003748,combinatorics_probability,True,False,129_256,positive,d6_plus,103950,solved,solved,103950,103950,True,True,True,True,both_match,True,False,False
low,train-004121,geometry,True,True,257_512,positive,d4_5,1200,solved,solved,1200,1200,True,True,True,True,both_match,True,False,False
low,train-004271,algebra,False,False,129_256,negative,d2,-13,unsuitable,unsuitable,,,False,False,False,False,neither_match,False,True,False
low,train-004776,arithmetic_word_problem,True,False,gt512,positive,d6_plus,351342,unsuitable,unsuitable,,,False,False,False,False,neither_match,False,True,False
low,train-005472,arithmetic_word_problem,False,True,gt512,positive,d2,71,solved,solved,71,71,True,True,True,True,both_match,True,False,False
low,train-005623,geometry,True,True,le128,positive,d3,196,solved,solved,196,196,True,True,True,True,both_match,True,False,False
low,train-006817,number_theory,True,False,129_256,negative,d1,-7,unsuitable,unsuitable,,,False,False,False,False,neither_match,False,True,False
low,train-006933,geometry,True,False,gt512,positive,d4_5,8634,solved,solved,8534,-2766,False,False,False,False,neither_match,False,False,False
low,train-007773,geometry,True,False,le128,positive,d6_plus,208152,solved,solved,208152,208152,True,True,True,True,both_match,True,False,False
low,train-009669,number_theory,True,False,gt512,positive,d3,396,solved,solved,1000,1000,False,False,False,False,neither_match,True,False,False
low,train-009757,geometry,True,True,257_512,positive,d4_5,1500,unsuitable,unsuitable,,,False,False,False,False,neither_match,False,True,False
low,train-009764,combinatorics_probability,True,False,129_256,negative,d1,-3,solved,solved,-3,-3,True,True,True,True,both_match,True,False,False
low,train-009833,algebra,False,True,257_512,positive,d4_5,17711,solved,solved,28601,17711,False,True,False,True,one_match,False,False,False
low,train-010480,algebra,False,False,le128,zero,d1,0,solved,solved,0,0,True,True,True,True,both_match,True,False,False
low,train-010791,algebra,False,False,129_256,negative,d3,-185,solved,solved,-185,-185,True,True,True,True,both_match,True,False,False
low,train-010982,algebra,False,False,le128,zero,d1,0,solved,solved,0,0,True,True,True,True,both_match,True,False,False
low,train-011311,combinatorics_probability,True,False,257_512,negative,d1,-1,solved,solved,5,5,False,False,False,False,neither_match,True,False,False
low,train-011366,number_theory,True,True,257_512,positive,d3,281,solved,solved,931,321,False,False,False,False,neither_match,False,False,False
low,train-011716,geometry,True,True,257_512,positive,d4_5,15625,solved,solved,31250,31250,False,False,False,False,neither_match,True,False,False
low,train-011882,algebra,False,False,257_512,negative,d2,-35,solved,solved,-35,-35,True,True,True,True,both_match,True,False,False
low,train-011934,algebra,False,False,le128,zero,d1,0,solved,solved,0,0,True,True,True,True,both_match,True,False,False
low,train-012715,arithmetic_word_problem,False,False,le128,negative,d3,-150,solved,solved,-150,-150,True,True,True,True,both_match,True,False,False
low,train-013054,number_theory,True,False,gt512,positive,d3,437,solved,solved,357,357,False,False,False,False,neither_match,True,False,False
low,train-013177,combinatorics_probability,True,True,129_256,positive,d2,12,solved,unsuitable,12,,True,False,True,True,one_match,False,True,False
low,train-014550,geometry,True,True,129_256,positive,d4_5,5600,solved,solved,5600,5600,True,True,True,True,both_match,True,False,False
low,train-014844,arithmetic_word_problem,False,False,le128,zero,d1,0,solved,solved,0,0,True,True,True,True,both_match,True,False,False
low,train-015103,arithmetic_word_problem,False,False,le128,negative,d2,-18,solved,solved,-18,-18,True,True,True,True,both_match,True,False,False
low,train-015988,arithmetic_word_problem,False,False,le128,zero,d1,0,solved,solved,2,2,False,False,False,False,neither_match,True,False,False
low,train-016645,number_theory,True,False,257_512,negative,d1,-8,solved,solved,-8,-8,True,True,True,True,both_match,True,False,False
low,train-016994,arithmetic_word_problem,False,False,le128,negative,d2,-25,solved,solved,-25,-25,True,True,True,True,both_match,True,False,False
medium,train-000543,arithmetic_word_problem,False,True,gt512,positive,d3,160,solved,solved,160,160,True,True,True,True,both_match,True,False,False
medium,train-000693,algebra,False,False,le128,zero,d1,0,solved,solved,0,0,True,True,True,True,both_match,True,False,False
medium,train-000786,combinatorics_probability,True,True,257_512,positive,d2,12,unsuitable,unsuitable,,,False,False,False,False,neither_match,False,True,False
medium,train-001014,combinatorics_probability,True,False,129_256,positive,d6_plus,342720,solved,solved,316800,270720,False,False,False,False,neither_match,False,False,False
medium,train-001182,algebra,False,False,129_256,zero,d1,0,unsuitable,unsuitable,,,False,False,False,False,neither_match,False,True,False
medium,train-002107,arithmetic_word_problem,True,True,257_512,positive,d6_plus,165000,solved,solved,165000,165000,True,True,True,True,both_match,True,False,False
medium,train-002258,number_theory,True,False,gt512,positive,d4_5,2309,missing,missing,,,False,False,False,False,neither_match,False,False,True
medium,train-002559,combinatorics_probability,True,False,129_256,positive,d6_plus,511566,solved,solved,511566,511566,True,True,True,True,both_match,True,False,False
medium,train-003331,arithmetic_word_problem,False,True,gt512,positive,d3,300,solved,solved,300,300,True,True,True,True,both_match,True,False,False
medium,train-003722,number_theory,True,True,129_256,positive,d2,10,solved,solved,10,10,True,True,True,True,both_match,True,False,False
medium,train-003748,combinatorics_probability,True,False,129_256,positive,d6_plus,103950,solved,solved,103950,103950,True,True,True,True,both_match,True,False,False
medium,train-004121,geometry,True,True,257_512,positive,d4_5,1200,solved,solved,1200,1200,True,True,True,True,both_match,True,False,False
medium,train-004271,algebra,False,False,129_256,negative,d2,-13,unsuitable,unsuitable,,,False,False,False,False,neither_match,False,True,False
medium,train-004776,arithmetic_word_problem,True,False,gt512,positive,d6_plus,351342,unsuitable,unsuitable,,,False,False,False,False,neither_match,False,True,False
medium,train-005472,arithmetic_word_problem,False,True,gt512,positive,d2,71,solved,solved,71,71,True,True,True,True,both_match,True,False,False
medium,train-005623,geometry,True,True,le128,positive,d3,196,solved,solved,196,196,True,True,True,True,both_match,True,False,False
medium,train-006817,number_theory,True,False,129_256,negative,d1,-7,unsuitable,unsuitable,,,False,False,False,False,neither_match,False,True,False
medium,train-006933,geometry,True,False,gt512,positive,d4_5,8634,missing,missing,,,False,False,False,False,neither_match,False,False,True
medium,train-007773,geometry,True,False,le128,positive,d6_plus,208152,solved,solved,208152,208152,True,True,True,True,both_match,True,False,False
medium,train-009669,number_theory,True,False,gt512,positive,d3,396,solved,solved,396,10000,True,False,True,True,one_match,False,False,False
medium,train-009757,geometry,True,True,257_512,positive,d4_5,1500,unsuitable,unsuitable,,,False,False,False,False,neither_match,False,True,False
medium,train-009764,combinatorics_probability,True,False,129_256,negative,d1,-3,solved,solved,-3,-3,True,True,True,True,both_match,True,False,False
medium,train-009833,algebra,False,True,257_512,positive,d4_5,17711,solved,unsuitable,21,,False,False,False,False,neither_match,False,True,False
medium,train-010480,algebra,False,False,le128,zero,d1,0,solved,solved,0,0,True,True,True,True,both_match,True,False,False
medium,train-010791,algebra,False,False,129_256,negative,d3,-185,solved,solved,-185,-185,True,True,True,True,both_match,True,False,False
medium,train-010982,algebra,False,False,le128,zero,d1,0,solved,solved,0,0,True,True,True,True,both_match,True,False,False
medium,train-011311,combinatorics_probability,True,False,257_512,negative,d1,-1,solved,solved,5,5,False,False,False,False,neither_match,True,False,False
medium,train-011366,number_theory,True,True,257_512,positive,d3,281,solved,solved,211,201,False,False,False,False,neither_match,False,False,False
medium,train-011716,geometry,True,True,257_512,positive,d4_5,15625,solved,solved,31250,31250,False,False,False,False,neither_match,True,False,False
medium,train-011882,algebra,False,False,257_512,negative,d2,-35,solved,solved,-35,-35,True,True,True,True,both_match,True,False,False
medium,train-011934,algebra,False,False,le128,zero,d1,0,solved,solved,0,0,True,True,True,True,both_match,True,False,False
medium,train-012715,arithmetic_word_problem,False,False,le128,negative,d3,-150,solved,solved,-150,-150,True,True,True,True,both_match,True,False,False
medium,train-013054,number_theory,True,False,gt512,positive,d3,437,solved,solved,357,437,False,True,False,True,one_match,False,False,False
medium,train-013177,combinatorics_probability,True,True,129_256,positive,d2,12,solved,solved,12,12,True,True,True,True,both_match,True,False,False
medium,train-014550,geometry,True,True,129_256,positive,d4_5,5600,solved,solved,5600,5600,True,True,True,True,both_match,True,False,False
medium,train-014844,arithmetic_word_problem,False,False,le128,zero,d1,0,solved,solved,0,0,True,True,True,True,both_match,True,False,False
medium,train-015103,arithmetic_word_problem,False,False,le128,negative,d2,-18,solved,solved,-18,-18,True,True,True,True,both_match,True,False,False
medium,train-015988,arithmetic_word_problem,False,False,le128,zero,d1,0,solved,solved,2,2,False,False,False,False,neither_match,True,False,False
medium,train-016645,number_theory,True,False,257_512,negative,d1,-8,solved,solved,-8,-8,True,True,True,True,both_match,True,False,False
medium,train-016994,arithmetic_word_problem,False,False,le128,negative,d2,-25,solved,solved,-25,-25,True,True,True,True,both_match,True,False,False
