stage,effort,id,variant,problem_type,is_hard_type,has_unit,length_bucket,answer_sign,answer_magnitude,label,response_completed,truncated,incomplete_reason,json_parsed,schema_valid,status,issue_type,predicted_answer,label_match,validation_flags,output_tokens,reasoning_tokens
smoke,low,train-000552,a,algebra,False,False,257_512,negative,d2,-62,True,False,,True,True,solved,none,-82,False,label_mismatch|not_checked_complex_expression,285,72
smoke,low,train-000552,b,algebra,False,False,257_512,negative,d2,-62,True,False,,True,True,solved,none,-82,False,label_mismatch|not_checked_complex_expression,277,80
smoke,low,train-001103,a,geometry,True,True,gt512,positive,d2,61,True,False,,True,True,unsuitable,non_integer_answer,,False,unsuitable:non_integer_answer,1545,1314
smoke,low,train-001103,b,geometry,True,True,gt512,positive,d2,61,True,False,,True,True,unsuitable,multiple_outputs,,False,unsuitable:multiple_outputs,1570,1351
smoke,low,train-003702,a,combinatorics_probability,True,True,129_256,positive,d3,520,True,False,,True,True,solved,none,520,True,solution_below_target_length|not_checked_complex_expression,155,50
smoke,low,train-003702,b,combinatorics_probability,True,True,129_256,positive,d3,520,True,False,,True,True,solved,none,520,True,solution_below_target_length|not_checked_complex_expression,186,55
smoke,low,train-003999,a,algebra,False,False,le128,zero,d1,0,True,False,,True,True,solved,none,0,True,solution_below_target_length|not_checked_complex_expression,198,61
smoke,low,train-003999,b,algebra,False,False,le128,zero,d1,0,True,False,,True,True,solved,none,0,True,,216,61
smoke,low,train-005182,a,arithmetic_word_problem,False,True,le128,positive,d4_5,2520,True,False,,True,True,solved,none,2520,True,solution_below_target_length|not_checked_complex_expression,155,35
smoke,low,train-005182,b,arithmetic_word_problem,False,True,le128,positive,d4_5,2520,True,False,,True,True,solved,none,2520,True,solution_below_target_length|not_checked_complex_expression,154,27
smoke,low,train-007638,a,combinatorics_probability,True,True,129_256,positive,d3,330,True,False,,True,True,solved,none,330,True,not_checked_complex_expression,724,516
smoke,low,train-007638,b,combinatorics_probability,True,True,129_256,positive,d3,330,True,False,,True,True,solved,none,330,True,not_checked_complex_expression,697,516
smoke,low,train-008871,a,arithmetic_word_problem,True,True,257_512,positive,d6_plus,760000,True,False,,True,True,solved,none,760000,True,not_checked_complex_expression,246,56
smoke,low,train-008871,b,arithmetic_word_problem,True,True,257_512,positive,d6_plus,760000,True,False,,True,True,solved,none,760000,True,not_checked_complex_expression,254,58
smoke,low,train-011167,a,algebra,False,False,le128,zero,d1,0,True,False,,True,True,solved,none,0,True,solution_below_target_length|not_checked_complex_expression,323,121
smoke,low,train-011167,b,algebra,False,False,le128,zero,d1,0,True,False,,True,True,solved,none,0,True,solution_below_target_length|not_checked_complex_expression,326,140
smoke,low,train-015396,a,geometry,True,False,gt512,negative,d1,-2,True,False,,True,True,solved,none,-2,True,not_checked_complex_expression,605,321
smoke,low,train-015396,b,geometry,True,False,gt512,negative,d1,-2,True,False,,True,True,solved,none,-2,True,not_checked_complex_expression,528,299
smoke,low,train-015816,a,number_theory,True,False,gt512,positive,d4_5,82310,True,False,,True,True,unsuitable,underdetermined,,False,unsuitable:underdetermined,637,516
smoke,low,train-015816,b,number_theory,True,False,gt512,positive,d4_5,82310,True,False,,True,True,solved,none,10000,False,label_mismatch|solution_below_target_length,1307,1205
comparison,low,train-000543,a,arithmetic_word_problem,False,True,gt512,positive,d3,160,True,False,,True,True,solved,none,160,True,not_checked_complex_expression,261,63
comparison,low,train-000543,b,arithmetic_word_problem,False,True,gt512,positive,d3,160,True,False,,True,True,solved,none,160,True,not_checked_complex_expression,244,64
comparison,low,train-000693,a,algebra,False,False,le128,zero,d1,0,True,False,,True,True,solved,none,0,True,solution_below_target_length|not_checked_complex_expression,198,44
comparison,low,train-000693,b,algebra,False,False,le128,zero,d1,0,True,False,,True,True,solved,none,0,True,solution_below_target_length|not_checked_complex_expression,214,70
comparison,low,train-000786,a,combinatorics_probability,True,True,257_512,positive,d2,12,True,False,,True,True,unsuitable,multiple_outputs,,False,unsuitable:multiple_outputs,443,265
comparison,low,train-000786,b,combinatorics_probability,True,True,257_512,positive,d2,12,True,False,,True,True,unsuitable,multiple_outputs,,False,unsuitable:multiple_outputs,477,255
comparison,low,train-001014,a,combinatorics_probability,True,False,129_256,positive,d6_plus,342720,True,False,,True,True,solved,none,316800,False,label_mismatch|not_checked_complex_expression,506,295
comparison,low,train-001014,b,combinatorics_probability,True,False,129_256,positive,d6_plus,342720,True,False,,True,True,solved,none,273600,False,label_mismatch|not_checked_complex_expression,757,502
comparison,low,train-001182,a,algebra,False,False,129_256,zero,d1,0,True,False,,True,True,unsuitable,underdetermined,,False,unsuitable:underdetermined,303,151
comparison,low,train-001182,b,algebra,False,False,129_256,zero,d1,0,True,False,,True,True,unsuitable,underdetermined,,False,unsuitable:underdetermined,357,159
comparison,low,train-002107,a,arithmetic_word_problem,True,True,257_512,positive,d6_plus,165000,True,False,,True,True,solved,none,165000,True,solution_below_target_length|not_checked_complex_expression,239,68
comparison,low,train-002107,b,arithmetic_word_problem,True,True,257_512,positive,d6_plus,165000,True,False,,True,True,solved,none,165000,True,solution_below_target_length|not_checked_complex_expression,234,78
comparison,low,train-002258,a,number_theory,True,False,gt512,positive,d4_5,2309,True,False,,True,True,solved,none,203,False,label_mismatch|not_checked_complex_expression,1211,930
comparison,low,train-002258,b,number_theory,True,False,gt512,positive,d4_5,2309,True,False,,True,True,solved,none,2309,True,not_checked_complex_expression,2418,2103
comparison,low,train-002559,a,combinatorics_probability,True,False,129_256,positive,d6_plus,511566,True,False,,True,True,solved,none,511566,True,not_checked_complex_expression,712,469
comparison,low,train-002559,b,combinatorics_probability,True,False,129_256,positive,d6_plus,511566,True,False,,True,True,solved,none,511566,True,not_checked_complex_expression,805,509
comparison,low,train-003331,a,arithmetic_word_problem,False,True,gt512,positive,d3,300,True,False,,True,True,solved,none,300,True,solution_below_target_length|not_checked_complex_expression,161,38
comparison,low,train-003331,b,arithmetic_word_problem,False,True,gt512,positive,d3,300,True,False,,True,True,solved,none,300,True,solution_below_target_length|not_checked_complex_expression,184,52
comparison,low,train-003722,a,number_theory,True,True,129_256,positive,d2,10,True,False,,True,True,solved,none,10,True,not_checked_complex_expression,244,84
comparison,low,train-003722,b,number_theory,True,True,129_256,positive,d2,10,True,False,,True,True,solved,none,10,True,not_checked_complex_expression,203,65
comparison,low,train-003748,a,combinatorics_probability,True,False,129_256,positive,d6_plus,103950,True,False,,True,True,solved,none,103950,True,solution_below_target_length|not_checked_complex_expression,177,42
comparison,low,train-003748,b,combinatorics_probability,True,False,129_256,positive,d6_plus,103950,True,False,,True,True,solved,none,103950,True,solution_below_target_length|not_checked_complex_expression,211,52
comparison,low,train-004121,a,geometry,True,True,257_512,positive,d4_5,1200,True,False,,True,True,solved,none,1200,True,solution_below_target_length|not_checked_complex_expression,162,34
comparison,low,train-004121,b,geometry,True,True,257_512,positive,d4_5,1200,True,False,,True,True,solved,none,1200,True,not_checked_complex_expression,239,66
comparison,low,train-004271,a,algebra,False,False,129_256,negative,d2,-13,True,False,,True,True,unsuitable,other,,False,unsuitable:other,568,335
comparison,low,train-004271,b,algebra,False,False,129_256,negative,d2,-13,True,False,,True,True,unsuitable,other,,False,unsuitable:other,539,319
comparison,low,train-004776,a,arithmetic_word_problem,True,False,gt512,positive,d6_plus,351342,True,False,,True,True,unsuitable,multiple_outputs,,False,unsuitable:multiple_outputs,320,210
comparison,low,train-004776,b,arithmetic_word_problem,True,False,gt512,positive,d6_plus,351342,True,False,,True,True,unsuitable,underdetermined,,False,unsuitable:underdetermined,484,345
comparison,low,train-005472,a,arithmetic_word_problem,False,True,gt512,positive,d2,71,True,False,,True,True,solved,none,71,True,not_checked_complex_expression,169,0
comparison,low,train-005472,b,arithmetic_word_problem,False,True,gt512,positive,d2,71,True,False,,True,True,solved,none,71,True,not_checked_complex_expression,172,0
comparison,low,train-005623,a,geometry,True,True,le128,positive,d3,196,True,False,,True,True,solved,none,196,True,solution_below_target_length|not_checked_complex_expression,122,0
comparison,low,train-005623,b,geometry,True,True,le128,positive,d3,196,True,False,,True,True,solved,none,196,True,solution_below_target_length|not_checked_complex_expression,136,0
comparison,low,train-006817,a,number_theory,True,False,129_256,negative,d1,-7,True,False,,True,True,unsuitable,non_integer_answer,,False,unsuitable:non_integer_answer,359,185
comparison,low,train-006817,b,number_theory,True,False,129_256,negative,d1,-7,True,False,,True,True,unsuitable,non_integer_answer,,False,unsuitable:non_integer_answer,344,177
comparison,low,train-006933,a,geometry,True,False,gt512,positive,d4_5,8634,True,False,,True,True,solved,none,8534,False,label_mismatch|not_checked_complex_expression,2515,2225
comparison,low,train-006933,b,geometry,True,False,gt512,positive,d4_5,8634,True,False,,True,True,solved,none,-2766,False,label_mismatch|not_checked_complex_expression,1065,768
comparison,low,train-007773,a,geometry,True,False,le128,positive,d6_plus,208152,True,False,,True,True,solved,none,208152,True,not_checked_complex_expression,339,147
comparison,low,train-007773,b,geometry,True,False,le128,positive,d6_plus,208152,True,False,,True,True,solved,none,208152,True,not_checked_complex_expression,324,115
comparison,low,train-009669,a,number_theory,True,False,gt512,positive,d3,396,True,False,,True,True,solved,none,1000,False,label_mismatch|not_checked_complex_expression,1880,1643
comparison,low,train-009669,b,number_theory,True,False,gt512,positive,d3,396,True,False,,True,True,solved,none,1000,False,label_mismatch|not_checked_complex_expression,1199,903
comparison,low,train-009757,a,geometry,True,True,257_512,positive,d4_5,1500,True,False,,True,True,unsuitable,non_numeric_answer,,False,unsuitable:non_numeric_answer,664,503
comparison,low,train-009757,b,geometry,True,True,257_512,positive,d4_5,1500,True,False,,True,True,unsuitable,non_integer_answer,,False,unsuitable:non_integer_answer,957,808
comparison,low,train-009764,a,combinatorics_probability,True,False,129_256,negative,d1,-3,True,False,,True,True,solved,none,-3,True,not_checked_complex_expression,407,218
comparison,low,train-009764,b,combinatorics_probability,True,False,129_256,negative,d1,-3,True,False,,True,True,solved,none,-3,True,solution_below_target_length|not_checked_complex_expression,463,261
comparison,low,train-009833,a,algebra,False,True,257_512,positive,d4_5,17711,True,False,,True,True,solved,none,28601,False,label_mismatch|not_checked_complex_expression,876,563
comparison,low,train-009833,b,algebra,False,True,257_512,positive,d4_5,17711,True,False,,True,True,solved,none,17711,True,not_checked_complex_expression,1406,1124
comparison,low,train-010480,a,algebra,False,False,le128,zero,d1,0,True,False,,True,True,solved,none,0,True,solution_below_target_length|not_checked_complex_expression,140,0
comparison,low,train-010480,b,algebra,False,False,le128,zero,d1,0,True,False,,True,True,solved,none,0,True,solution_below_target_length|not_checked_complex_expression,138,0
comparison,low,train-010791,a,algebra,False,False,129_256,negative,d3,-185,True,False,,True,True,solved,none,-185,True,solution_below_target_length|not_checked_complex_expression,235,71
comparison,low,train-010791,b,algebra,False,False,129_256,negative,d3,-185,True,False,,True,True,solved,none,-185,True,solution_below_target_length,229,83
comparison,low,train-010982,a,algebra,False,False,le128,zero,d1,0,True,False,,True,True,solved,none,0,True,solution_below_target_length|not_checked_complex_expression,232,84
comparison,low,train-010982,b,algebra,False,False,le128,zero,d1,0,True,False,,True,True,solved,none,0,True,solution_below_target_length|not_checked_complex_expression,208,71
comparison,low,train-011311,a,combinatorics_probability,True,False,257_512,negative,d1,-1,True,False,,True,True,solved,none,5,False,label_mismatch,374,190
comparison,low,train-011311,b,combinatorics_probability,True,False,257_512,negative,d1,-1,True,False,,True,True,solved,none,5,False,label_mismatch|not_checked_complex_expression,360,156
comparison,low,train-011366,a,number_theory,True,True,257_512,positive,d3,281,True,False,,True,True,solved,none,931,False,label_mismatch|not_checked_complex_expression,1641,1342
comparison,low,train-011366,b,number_theory,True,True,257_512,positive,d3,281,True,False,,True,True,solved,none,321,False,label_mismatch|not_checked_complex_expression,1733,1428
comparison,low,train-011716,a,geometry,True,True,257_512,positive,d4_5,15625,True,False,,True,True,solved,none,31250,False,label_mismatch|not_checked_complex_expression,261,63
comparison,low,train-011716,b,geometry,True,True,257_512,positive,d4_5,15625,True,False,,True,True,solved,none,31250,False,label_mismatch|not_checked_complex_expression,303,63
comparison,low,train-011882,a,algebra,False,False,257_512,negative,d2,-35,True,False,,True,True,solved,none,-35,True,not_checked_complex_expression,883,616
comparison,low,train-011882,b,algebra,False,False,257_512,negative,d2,-35,True,False,,True,True,solved,none,-35,True,not_checked_complex_expression,902,614
comparison,low,train-011934,a,algebra,False,False,le128,zero,d1,0,True,False,,True,True,solved,none,0,True,solution_below_target_length|not_checked_complex_expression,136,0
comparison,low,train-011934,b,algebra,False,False,le128,zero,d1,0,True,False,,True,True,solved,none,0,True,solution_below_target_length|not_checked_complex_expression,173,31
comparison,low,train-012715,a,arithmetic_word_problem,False,False,le128,negative,d3,-150,True,False,,True,True,solved,none,-150,True,solution_below_target_length|not_checked_complex_expression,328,144
comparison,low,train-012715,b,arithmetic_word_problem,False,False,le128,negative,d3,-150,True,False,,True,True,solved,none,-150,True,not_checked_complex_expression,345,117
comparison,low,train-013054,a,number_theory,True,False,gt512,positive,d3,437,True,False,,True,True,solved,none,357,False,label_mismatch|solution_below_target_length|not_checked_complex_expression,226,94
comparison,low,train-013054,b,number_theory,True,False,gt512,positive,d3,437,True,False,,True,True,solved,none,357,False,label_mismatch|solution_below_target_length|not_checked_complex_expression,269,98
comparison,low,train-013177,a,combinatorics_probability,True,True,129_256,positive,d2,12,True,False,,True,True,solved,none,12,True,solution_below_target_length|not_checked_complex_expression,249,96
comparison,low,train-013177,b,combinatorics_probability,True,True,129_256,positive,d2,12,True,False,,True,True,unsuitable,underdetermined,,False,unsuitable:underdetermined,336,182
comparison,low,train-014550,a,geometry,True,True,129_256,positive,d4_5,5600,True,False,,True,True,solved,none,5600,True,solution_below_target_length|not_checked_complex_expression,190,43
comparison,low,train-014550,b,geometry,True,True,129_256,positive,d4_5,5600,True,False,,True,True,solved,none,5600,True,solution_below_target_length|not_checked_complex_expression,207,64
comparison,low,train-014844,a,arithmetic_word_problem,False,False,le128,zero,d1,0,True,False,,True,True,solved,none,0,True,solution_below_target_length|not_checked_complex_expression,226,94
comparison,low,train-014844,b,arithmetic_word_problem,False,False,le128,zero,d1,0,True,False,,True,True,solved,none,0,True,solution_below_target_length|not_checked_complex_expression,221,87
comparison,low,train-015103,a,arithmetic_word_problem,False,False,le128,negative,d2,-18,True,False,,True,True,solved,none,-18,True,solution_below_target_length|not_checked_complex_expression,183,0
comparison,low,train-015103,b,arithmetic_word_problem,False,False,le128,negative,d2,-18,True,False,,True,True,solved,none,-18,True,solution_below_target_length|not_checked_complex_expression,232,77
comparison,low,train-015988,a,arithmetic_word_problem,False,False,le128,zero,d1,0,True,False,,True,True,solved,none,2,False,label_mismatch|not_checked_complex_expression,287,125
