effort,id,problem_type,is_hard_type,has_unit,length_bucket,answer_sign,answer_magnitude,label,a_status,b_status,a_answer,b_answer,a_match,b_match,first_exact,pass_at_2,outcome,candidate_answer_agreement,any_unsuitable,any_incomplete
low,train-000108,arithmetic_word_problem,False,False,129_256,negative,d4_5,-5892,unsuitable,unsuitable,,,False,False,False,False,neither_match,False,True,False
low,train-000825,number_theory,True,True,129_256,positive,d2,15,solved,solved,10,10,False,False,False,False,neither_match,True,False,False
low,train-001103,geometry,True,True,gt512,positive,d2,61,unsuitable,unsuitable,,,False,False,False,False,neither_match,False,True,False
low,train-001639,arithmetic_word_problem,True,False,gt512,negative,d2,-16,solved,solved,-16,-16,True,True,True,True,both_match,True,False,False
low,train-001972,combinatorics_probability,True,True,257_512,positive,d3,809,solved,solved,809,809,True,True,True,True,both_match,True,False,False
low,train-002025,combinatorics_probability,True,True,257_512,positive,d4_5,12000,solved,solved,12000,12000,True,True,True,True,both_match,True,False,False
low,train-002777,combinatorics_probability,True,True,257_512,positive,d4_5,1056,solved,solved,1056,1056,True,True,True,True,both_match,True,False,False
low,train-002863,arithmetic_word_problem,True,False,gt512,negative,d2,-50,unsuitable,unsuitable,,,False,False,False,False,neither_match,False,True,False
low,train-003183,number_theory,True,False,129_256,positive,d6_plus,592704,unsuitable,unsuitable,,,False,False,False,False,neither_match,False,True,False
low,train-003920,number_theory,True,False,129_256,positive,d6_plus,161150,solved,solved,165150,165150,False,False,False,False,neither_match,True,False,False
low,train-004144,arithmetic_word_problem,False,False,le128,negative,d3,-100,solved,solved,-100,-100,True,True,True,True,both_match,True,False,False
low,train-004679,algebra,False,False,129_256,zero,d1,0,solved,solved,0,0,True,True,True,True,both_match,True,False,False
low,train-006313,algebra,False,False,le128,zero,d1,0,unsuitable,unsuitable,,,False,False,False,False,neither_match,False,True,False
low,train-006453,algebra,False,False,le128,zero,d1,0,solved,solved,0,0,True,True,True,True,both_match,True,False,False
low,train-006480,algebra,False,True,gt512,positive,d2,20,solved,solved,20,20,True,True,True,True,both_match,True,False,False
low,train-006750,geometry,True,True,gt512,positive,d3,505,solved,solved,1,3,False,False,False,False,neither_match,False,False,False
low,train-006848,geometry,True,True,gt512,positive,d4_5,82734,unsuitable,solved,,51900,False,False,False,False,neither_match,False,True,False
low,train-008050,arithmetic_word_problem,False,False,129_256,negative,d4_5,-1024,solved,solved,-1024,-1024,True,True,True,True,both_match,True,False,False
low,train-009106,geometry,True,False,129_256,zero,d1,0,solved,solved,0,0,True,True,True,True,both_match,True,False,False
low,train-009400,combinatorics_probability,True,False,257_512,positive,d6_plus,518400,solved,solved,518400,518400,True,True,True,True,both_match,True,False,False
low,train-009414,number_theory,True,True,129_256,positive,d2,11,solved,solved,11,11,True,True,True,True,both_match,True,False,False
low,train-009669,number_theory,True,False,gt512,positive,d3,396,solved,solved,1000,1000,False,False,False,False,neither_match,True,False,False
low,train-009903,arithmetic_word_problem,False,True,257_512,negative,d1,-1,unsuitable,unsuitable,,,False,False,False,False,neither_match,False,True,False
low,train-010982,algebra,False,False,le128,zero,d1,0,solved,solved,0,0,True,True,True,True,both_match,True,False,False
low,train-011275,arithmetic_word_problem,False,False,le128,negative,d3,-501,unsuitable,unsuitable,,,False,False,False,False,neither_match,False,True,False
low,train-011302,combinatorics_probability,True,False,257_512,positive,d6_plus,665280,solved,solved,332640,332640,False,False,False,False,neither_match,True,False,False
low,train-011721,number_theory,True,False,257_512,positive,d6_plus,757575,solved,solved,693147,693147,False,False,False,False,neither_match,True,False,False
low,train-011934,algebra,False,False,le128,zero,d1,0,solved,solved,0,0,True,True,True,True,both_match,True,False,False
low,train-012372,combinatorics_probability,True,False,257_512,positive,d6_plus,222480,solved,solved,251280,208080,False,False,False,False,neither_match,False,False,False
low,train-012486,geometry,True,True,129_256,positive,d4_5,2100,solved,solved,2100,2100,True,True,True,True,both_match,True,False,False
low,train-012517,algebra,False,False,le128,zero,d1,0,solved,solved,0,0,True,True,True,True,both_match,True,False,False
low,train-012715,arithmetic_word_problem,False,False,le128,negative,d3,-150,solved,solved,-150,-150,True,True,True,True,both_match,True,False,False
low,train-012887,arithmetic_word_problem,False,True,gt512,positive,d2,15,solved,solved,13,13,False,False,False,False,neither_match,True,False,False
low,train-013689,geometry,True,False,257_512,zero,d1,0,unsuitable,unsuitable,,,False,False,False,False,neither_match,False,True,False
low,train-014215,geometry,True,True,gt512,positive,d4_5,21586,solved,solved,32403,39626,False,False,False,False,neither_match,False,False,False
low,train-014786,algebra,False,False,129_256,negative,d3,-123,unsuitable,solved,,-1998,False,False,False,False,neither_match,False,True,False
low,train-015243,combinatorics_probability,True,True,257_512,positive,d3,400,solved,solved,400,400,True,True,True,True,both_match,True,False,False
low,train-015366,number_theory,True,True,257_512,positive,d4_5,3750,solved,solved,3750,3750,True,True,True,True,both_match,True,False,False
low,train-015402,algebra,False,False,le128,negative,d2,-44,solved,solved,-44,-44,True,True,True,True,both_match,True,False,False
low,train-015589,geometry,True,False,le128,zero,d1,0,solved,solved,0,0,True,True,True,True,both_match,True,False,False
medium,train-000108,arithmetic_word_problem,False,False,129_256,negative,d4_5,-5892,unsuitable,unsuitable,,,False,False,False,False,neither_match,False,True,False
medium,train-000825,number_theory,True,True,129_256,positive,d2,15,solved,solved,10,10,False,False,False,False,neither_match,True,False,False
medium,train-001103,geometry,True,True,gt512,positive,d2,61,unsuitable,unsuitable,,,False,False,False,False,neither_match,False,True,False
medium,train-001639,arithmetic_word_problem,True,False,gt512,negative,d2,-16,solved,solved,-16,-16,True,True,True,True,both_match,True,False,False
medium,train-001972,combinatorics_probability,True,True,257_512,positive,d3,809,solved,solved,691,691,False,False,False,False,neither_match,True,False,False
medium,train-002025,combinatorics_probability,True,True,257_512,positive,d4_5,12000,solved,solved,12000,12000,True,True,True,True,both_match,True,False,False
medium,train-002777,combinatorics_probability,True,True,257_512,positive,d4_5,1056,solved,solved,1056,1056,True,True,True,True,both_match,True,False,False
medium,train-002863,arithmetic_word_problem,True,False,gt512,negative,d2,-50,solved,unsuitable,-50,,True,False,True,True,one_match,False,True,False
medium,train-003183,number_theory,True,False,129_256,positive,d6_plus,592704,unsuitable,unsuitable,,,False,False,False,False,neither_match,False,True,False
medium,train-003920,number_theory,True,False,129_256,positive,d6_plus,161150,solved,solved,165150,165150,False,False,False,False,neither_match,True,False,False
medium,train-004144,arithmetic_word_problem,False,False,le128,negative,d3,-100,solved,solved,-100,-100,True,True,True,True,both_match,True,False,False
medium,train-004679,algebra,False,False,129_256,zero,d1,0,solved,solved,0,0,True,True,True,True,both_match,True,False,False
medium,train-006313,algebra,False,False,le128,zero,d1,0,unsuitable,unsuitable,,,False,False,False,False,neither_match,False,True,False
medium,train-006453,algebra,False,False,le128,zero,d1,0,solved,solved,0,0,True,True,True,True,both_match,True,False,False
medium,train-006480,algebra,False,True,gt512,positive,d2,20,solved,solved,20,20,True,True,True,True,both_match,True,False,False
medium,train-006750,geometry,True,True,gt512,positive,d3,505,solved,solved,1,0,False,False,False,False,neither_match,False,False,False
medium,train-006848,geometry,True,True,gt512,positive,d4_5,82734,solved,unsuitable,51900,,False,False,False,False,neither_match,False,True,False
medium,train-008050,arithmetic_word_problem,False,False,129_256,negative,d4_5,-1024,solved,solved,-1024,-1024,True,True,True,True,both_match,True,False,False
medium,train-009106,geometry,True,False,129_256,zero,d1,0,solved,solved,0,0,True,True,True,True,both_match,True,False,False
medium,train-009400,combinatorics_probability,True,False,257_512,positive,d6_plus,518400,solved,solved,224640,518400,False,True,False,True,one_match,False,False,False
medium,train-009414,number_theory,True,True,129_256,positive,d2,11,solved,solved,11,20,True,False,True,True,one_match,False,False,False
medium,train-009669,number_theory,True,False,gt512,positive,d3,396,solved,solved,1000,1000,False,False,False,False,neither_match,True,False,False
medium,train-009903,arithmetic_word_problem,False,True,257_512,negative,d1,-1,unsuitable,unsuitable,,,False,False,False,False,neither_match,False,True,False
medium,train-010982,algebra,False,False,le128,zero,d1,0,solved,solved,0,0,True,True,True,True,both_match,True,False,False
