id,decision,included,primary_exclusion_reason,exclusion_reasons,answer,answer_is_canonical,random_validation,template_validation,hard_diagnostic,format_diagnostic,phase1_protected,phase2_quality_exclusion,phase2_quality_category,final_sft_protected,strict_phase2_eligible,output_row_number
train-000000,include,True,,,132,True,False,False,False,False,False,False,,False,True,1
train-000001,include,True,,,650,True,False,False,False,False,False,False,,False,True,2
train-000002,include,True,,,5000,True,False,False,False,False,False,False,,False,True,3
train-000003,include,True,,,10,True,False,False,False,False,False,False,,False,True,4
train-000004,include,True,,,185,True,False,False,False,False,False,False,,False,True,5
train-000005,include,True,,,8,True,False,False,False,False,False,False,,False,True,6
train-000006,include,True,,,1,True,False,False,False,False,False,False,,False,False,7
train-000007,include,True,,,4,True,False,False,False,False,False,False,,False,True,8
train-000009,include,True,,,8,True,False,False,False,False,False,False,,False,True,9
train-000010,include,True,,,12,True,False,False,False,False,False,False,,False,True,10
train-000011,include,True,,,1104,True,False,False,False,False,False,False,,False,True,11
train-000012,include,True,,,4,True,False,False,False,False,False,False,,False,True,12
train-000013,exclude,False,random_validation,random_validation,8,True,True,False,False,False,True,False,,False,False,
train-000014,exclude,False,hard_diagnostic,hard_diagnostic,11,True,False,False,True,False,True,False,,False,False,
train-000015,exclude,False,random_validation,random_validation|template_validation,2,True,True,True,False,False,True,False,,False,False,
train-000016,include,True,,,8,True,False,False,False,False,False,False,,False,True,13
train-000018,exclude,False,template_validation,template_validation,5,True,False,True,False,False,True,False,,False,False,
train-000019,include,True,,,334,True,False,False,False,False,False,False,,False,True,14
train-000020,include,True,,,87,True,False,False,False,False,False,False,,False,True,15
train-000021,include,True,,,21,True,False,False,False,False,False,False,,False,True,16
train-000022,include,True,,,16,True,False,False,False,False,False,False,,False,True,17
train-000023,include,True,,,4,True,False,False,False,False,False,False,,False,True,18
train-000024,include,True,,,-1,True,False,False,False,False,False,False,,False,True,19
train-000025,include,True,,,98,True,False,False,False,False,False,False,,False,True,20
train-000026,include,True,,,2,True,False,False,False,False,False,False,,False,True,21
train-000027,include,True,,,3400,True,False,False,False,False,False,False,,False,True,22
train-000028,exclude,False,random_validation,random_validation,16,True,True,False,False,False,True,False,,False,False,
train-000029,include,True,,,190,True,False,False,False,False,False,False,,False,True,23
train-000030,include,True,,,2,True,False,False,False,False,False,False,,False,True,24
train-000031,include,True,,,110,True,False,False,False,False,False,False,,False,True,25
train-000032,include,True,,,4,True,False,False,False,False,False,False,,False,True,26
train-000033,include,True,,,30,True,False,False,False,False,False,False,,False,True,27
train-000034,include,True,,,13,True,False,False,False,False,False,False,,False,False,28
train-000035,exclude,False,random_validation,random_validation,352,True,True,False,False,False,True,False,,False,False,
train-000036,exclude,False,random_validation,random_validation,3769,True,True,False,False,False,True,False,,False,False,
train-000037,include,True,,,4,True,False,False,False,False,False,False,,False,True,29
train-000038,exclude,False,template_validation,template_validation|hard_diagnostic,451584,True,False,True,True,False,True,False,,False,False,
train-000039,include,True,,,50,True,False,False,False,False,False,False,,False,True,30
train-000040,include,True,,,4,True,False,False,False,False,False,False,,False,True,31
train-000041,exclude,False,hard_diagnostic,hard_diagnostic|format_diagnostic,324162180,True,False,False,True,True,True,False,,False,False,
train-000042,include,True,,,960,True,False,False,False,False,False,False,,False,True,32
train-000043,include,True,,,36,True,False,False,False,False,False,False,,False,True,33
train-000044,include,True,,,6,True,False,False,False,False,False,False,,False,True,34
train-000045,include,True,,,6000,True,False,False,False,False,False,False,,False,True,35
train-000047,exclude,False,template_validation,template_validation,29,True,False,True,False,False,True,False,,False,False,
train-000048,exclude,False,template_validation,template_validation,6,True,False,True,False,False,True,False,,False,False,
train-000049,include,True,,,512,True,False,False,False,False,False,False,,False,True,36
train-000050,include,True,,,501,True,False,False,False,False,False,False,,False,True,37
train-000051,include,True,,,10080,True,False,False,False,False,False,False,,False,True,38
train-000052,include,True,,,3,True,False,False,False,False,False,False,,False,True,39
train-000053,include,True,,,98721,True,False,False,False,False,False,False,,False,True,40
train-000054,include,True,,,1,True,False,False,False,False,False,False,,False,True,41
train-000055,include,True,,,16,True,False,False,False,False,False,False,,False,True,42
train-000056,exclude,False,template_validation,template_validation,206,True,False,True,False,False,True,False,,False,False,
train-000057,exclude,False,template_validation,template_validation,20,True,False,True,False,False,True,False,,False,False,
train-000058,include,True,,,12,True,False,False,False,False,False,False,,False,True,43
train-000059,include,True,,,7,True,False,False,False,False,False,False,,False,True,44
train-000060,include,True,,,20,True,False,False,False,False,False,False,,False,True,45
train-000061,include,True,,,88,True,False,False,False,False,False,False,,False,True,46
train-000063,exclude,False,template_validation,template_validation,70,True,False,True,False,False,True,False,,False,False,
train-000064,exclude,False,template_validation,template_validation,0,True,False,True,False,False,True,False,,False,False,
train-000065,include,True,,,20,True,False,False,False,False,False,False,,False,True,47
train-000066,exclude,False,random_validation,random_validation,-1,True,True,False,False,False,True,False,,False,False,
train-000067,include,True,,,11,True,False,False,False,False,False,False,,False,True,48
train-000068,include,True,,,559989,True,False,False,False,False,False,False,,False,True,49
train-000069,exclude,False,random_validation,random_validation|hard_diagnostic,506,True,True,False,True,False,True,False,,False,False,
train-000070,include,True,,,495033,True,False,False,False,False,False,False,,False,True,50
train-000071,include,True,,,144,True,False,False,False,False,False,False,,False,True,51
train-000072,include,True,,,-1,True,False,False,False,False,False,False,,False,True,52
train-000073,include,True,,,60,True,False,False,False,False,False,False,,False,True,53
train-000074,exclude,False,template_validation,template_validation,16,True,False,True,False,False,True,False,,False,False,
train-000075,include,True,,,41,True,False,False,False,False,False,False,,False,True,54
train-000076,include,True,,,12,True,False,False,False,False,False,False,,False,True,55
train-000077,exclude,False,template_validation,template_validation,450,True,False,True,False,False,True,False,,False,False,
train-000078,exclude,False,random_validation,random_validation|hard_diagnostic,5,True,True,False,True,False,True,False,,False,False,
train-000079,include,True,,,118,True,False,False,False,False,False,False,,False,True,56
train-000080,include,True,,,2,True,False,False,False,False,False,False,,False,True,57
train-000081,exclude,False,random_validation,random_validation,4,True,True,False,False,False,True,False,,False,False,
train-000082,include,True,,,500,True,False,False,False,False,False,False,,False,True,58
train-000084,include,True,,,582,True,False,False,False,False,False,False,,False,True,59
train-000085,exclude,False,random_validation,random_validation,70,True,True,False,False,False,True,False,,False,False,
train-000086,include,True,,,42,True,False,False,False,False,False,False,,False,True,60
train-000087,include,True,,,6699,True,False,False,False,False,False,False,,False,True,61
train-000089,include,True,,,-4,True,False,False,False,False,False,False,,False,True,62
train-000090,exclude,False,template_validation,template_validation,600000,True,False,True,False,False,True,False,,False,False,
train-000091,include,True,,,72,True,False,False,False,False,False,False,,False,True,63
train-000092,include,True,,,95,True,False,False,False,False,False,False,,False,True,64
train-000093,include,True,,,2,True,False,False,False,False,False,False,,False,True,65
train-000094,include,True,,,8,True,False,False,False,False,False,False,,False,True,66
train-000095,include,True,,,80,True,False,False,False,False,False,False,,False,True,67
train-000096,include,True,,,8,True,False,False,False,False,False,False,,False,True,68
train-000097,include,True,,,3034,True,False,False,False,False,False,False,,False,True,69
train-000098,include,True,,,3,True,False,False,False,False,False,False,,False,True,70
train-000099,exclude,False,random_validation,random_validation,-1,True,True,False,False,False,True,False,,False,False,
train-000100,include,True,,,23,True,False,False,False,False,False,False,,False,True,71
train-000101,include,True,,,0,True,False,False,False,False,False,False,,False,True,72
train-000102,include,True,,,245,True,False,False,False,False,False,False,,False,True,73
train-000104,exclude,False,template_validation,template_validation,28000,True,False,True,False,False,True,False,,False,False,
train-000105,include,True,,,128,True,False,False,False,False,False,False,,False,True,74
train-000106,include,True,,,5,True,False,False,False,False,False,False,,False,True,75
train-000107,include,True,,,12,True,False,False,False,False,False,False,,False,True,76
train-000108,include,True,,,-5892,True,False,False,False,False,False,False,,False,False,77
train-000109,include,True,,,1008,True,False,False,False,False,False,False,,False,True,78
train-000110,include,True,,,12960,True,False,False,False,False,False,False,,False,True,79
train-000111,include,True,,,13,True,False,False,False,False,False,False,,False,True,80
train-000112,include,True,,,2,True,False,False,False,False,False,False,,False,True,81
train-000113,exclude,False,template_validation,template_validation,2,True,False,True,False,False,True,False,,False,False,
train-000114,include,True,,,120,True,False,False,False,False,False,False,,False,True,82
train-000115,include,True,,,37,True,False,False,False,False,False,False,,False,True,83
train-000116,include,True,,,7,True,False,False,False,False,False,False,,False,True,84
train-000117,include,True,,,12,True,False,False,False,False,False,False,,False,True,85
train-000118,include,True,,,8,True,False,False,False,False,False,False,,False,True,86
train-000119,include,True,,,7,True,False,False,False,False,False,False,,False,True,87
train-000120,include,True,,,5,True,False,False,False,False,False,False,,False,True,88
train-000121,include,True,,,6,True,False,False,False,False,False,False,,False,True,89
train-000122,include,True,,,41,True,False,False,False,False,False,False,,False,True,90
train-000123,include,True,,,1968,True,False,False,False,False,False,False,,False,True,91
train-000124,include,True,,,-4,True,False,False,False,False,False,False,,False,True,92
train-000125,include,True,,,6240,True,False,False,False,False,False,False,,False,True,93
train-000126,include,True,,,4,True,False,False,False,False,False,False,,False,True,94
train-000127,include,True,,,285714,True,False,False,False,False,False,False,,False,True,95
train-000128,include,True,,,210,True,False,False,False,False,False,False,,False,True,96
train-000129,include,True,,,-13,True,False,False,False,False,False,False,,False,True,97
train-000131,include,True,,,60,True,False,False,False,False,False,False,,False,True,98
train-000132,include,True,,,72,True,False,False,False,False,False,False,,False,True,99
train-000133,include,True,,,2,True,False,False,False,False,False,False,,False,True,100
train-000134,include,True,,,1010,True,False,False,False,False,False,False,,False,True,101
train-000135,include,True,,,21,True,False,False,False,False,False,False,,False,True,102
train-000136,include,True,,,48,True,False,False,False,False,False,False,,False,True,103
train-000137,exclude,False,random_validation,random_validation,3450,True,True,False,False,False,True,False,,False,False,
train-000138,include,True,,,250,True,False,False,False,False,False,False,,False,True,104
train-000139,include,True,,,540,True,False,False,False,False,False,False,,False,True,105
train-000140,include,True,,,2500,True,False,False,False,False,False,False,,False,True,106
train-000141,include,True,,,4,True,False,False,False,False,False,False,,False,True,107
train-000142,include,True,,,300,True,False,False,False,False,False,False,,False,True,108
train-000143,exclude,False,template_validation,template_validation,7570,True,False,True,False,False,True,False,,False,False,
train-000144,exclude,False,hard_diagnostic,hard_diagnostic,36,True,False,False,True,False,True,False,,False,False,
train-000145,include,True,,,7,True,False,False,False,False,False,False,,False,True,109
train-000146,include,True,,,5,True,False,False,False,False,False,False,,False,True,110
train-000147,include,True,,,1,True,False,False,False,False,False,False,,False,True,111
train-000148,include,True,,,1234,True,False,False,False,False,False,False,,False,True,112
train-000149,exclude,False,random_validation,random_validation,49,True,True,False,False,False,True,False,,False,False,
train-000150,include,True,,,8,True,False,False,False,False,False,False,,False,False,113
train-000151,exclude,False,template_validation,template_validation,300,True,False,True,False,False,True,False,,False,False,
train-000152,include,True,,,900,True,False,False,False,False,False,False,,False,True,114
train-000153,exclude,False,random_validation,random_validation,12,True,True,False,False,False,True,False,,False,False,
train-000154,include,True,,,38,True,False,False,False,False,False,False,,False,True,115
train-000155,exclude,False,template_validation,template_validation,2,True,False,True,False,False,True,False,,False,False,
train-000156,include,True,,,49,True,False,False,False,False,False,False,,False,True,116
train-000157,include,True,,,432,True,False,False,False,False,False,False,,False,True,117
train-000158,exclude,False,template_validation,template_validation,60,True,False,True,False,False,True,False,,False,False,
train-000159,include,True,,,30,True,False,False,False,False,False,False,,False,True,118
train-000160,exclude,False,template_validation,template_validation,6,True,False,True,False,False,True,False,,False,False,
train-000161,include,True,,,22,True,False,False,False,False,False,False,,False,True,119
train-000162,include,True,,,8,True,False,False,False,False,False,False,,False,True,120
train-000163,exclude,False,hard_diagnostic,hard_diagnostic,347,True,False,False,True,False,True,False,,False,False,
train-000164,exclude,False,random_validation,random_validation|template_validation,530,True,True,True,False,False,True,False,,False,False,
train-000165,include,True,,,2,True,False,False,False,False,False,False,,False,True,121
train-000166,include,True,,,77,True,False,False,False,False,False,False,,False,True,122
train-000167,include,True,,,14700,True,False,False,False,False,False,False,,False,True,123
train-000168,include,True,,,80,True,False,False,False,False,False,False,,False,True,124
train-000169,include,True,,,25,True,False,False,False,False,False,False,,False,True,125
train-000170,include,True,,,6068,True,False,False,False,False,False,False,,False,True,126
train-000171,include,True,,,4680,True,False,False,False,False,False,False,,False,True,127
train-000172,exclude,False,template_validation,template_validation,144,True,False,True,False,False,True,False,,False,False,
train-000173,exclude,False,template_validation,template_validation,282256,True,False,True,False,False,True,False,,False,False,
train-000174,include,True,,,2,True,False,False,False,False,False,False,,False,True,128
train-000175,include,True,,,500,True,False,False,False,False,False,False,,False,True,129
train-000177,exclude,False,random_validation,random_validation,7,True,True,False,False,False,True,False,,False,False,
train-000178,exclude,False,random_validation,random_validation,28,True,True,False,False,False,True,False,,False,False,
train-000179,include,True,,,3,True,False,False,False,False,False,False,,False,True,130
train-000180,include,True,,,60,True,False,False,False,False,False,False,,False,True,131
train-000181,include,True,,,203,True,False,False,False,False,False,False,,False,True,132
train-000182,include,True,,,5,True,False,False,False,False,False,False,,False,True,133
train-000183,include,True,,,17,True,False,False,False,False,False,False,,False,True,134
train-000184,include,True,,,484,True,False,False,False,False,False,False,,False,True,135
train-000185,include,True,,,49,True,False,False,False,False,False,False,,False,True,136
train-000186,include,True,,,20,True,False,False,False,False,False,False,,False,True,137
train-000187,include,True,,,7,True,False,False,False,False,False,False,,False,True,138
train-000188,exclude,False,random_validation,random_validation,7,True,True,False,False,False,True,False,,False,False,
train-000190,include,True,,,3,True,False,False,False,False,False,False,,False,True,139
train-000191,include,True,,,7,True,False,False,False,False,False,False,,False,True,140
train-000192,include,True,,,2745,True,False,False,False,False,False,False,,False,True,141
train-000193,exclude,False,template_validation,template_validation,240,True,False,True,False,False,True,False,,False,False,
train-000194,include,True,,,3,True,False,False,False,False,False,False,,False,True,142
train-000195,include,True,,,40,True,False,False,False,False,False,False,,False,True,143
train-000196,exclude,False,random_validation,random_validation,5,True,True,False,False,False,True,False,,False,False,
train-000197,include,True,,,1957,True,False,False,False,False,False,False,,False,True,144
train-000198,include,True,,,189,True,False,False,False,False,False,False,,False,True,145
train-000199,include,True,,,70,True,False,False,False,False,False,False,,False,True,146
train-000200,include,True,,,6,True,False,False,False,False,False,False,,False,True,147
train-000201,include,True,,,2500,True,False,False,False,False,False,False,,False,True,148
train-000202,exclude,False,hard_diagnostic,hard_diagnostic,100,True,False,False,True,False,True,False,,False,False,
train-000203,include,True,,,5,True,False,False,False,False,False,False,,False,True,149
train-000204,include,True,,,105,True,False,False,False,False,False,False,,False,True,150
train-000205,include,True,,,60,True,False,False,False,False,False,False,,False,True,151
train-000206,include,True,,,29,True,False,False,False,False,False,False,,False,True,152
train-000207,include,True,,,8,True,False,False,False,False,False,False,,False,True,153
train-000208,include,True,,,243,True,False,False,False,False,False,False,,False,True,154
train-000209,include,True,,,8500,True,False,False,False,False,False,False,,False,True,155
train-000210,exclude,False,template_validation,template_validation,3,True,False,True,False,False,True,False,,False,False,
train-000211,exclude,False,template_validation,template_validation,220,True,False,True,False,False,True,False,,False,False,
train-000212,exclude,False,template_validation,template_validation,-3,True,False,True,False,False,True,False,,False,False,
train-000215,include,True,,,420,True,False,False,False,False,False,False,,False,True,156
train-000216,include,True,,,25,True,False,False,False,False,False,False,,False,True,157
train-000217,include,True,,,388,True,False,False,False,False,False,False,,False,True,158
train-000218,include,True,,,3,True,False,False,False,False,False,False,,False,True,159
train-000219,include,True,,,3456,True,False,False,False,False,False,False,,False,True,160
train-000220,include,True,,,270,True,False,False,False,False,False,False,,False,True,161
train-000221,include,True,,,11700,True,False,False,False,False,False,False,,False,False,162
train-000223,include,True,,,167,True,False,False,False,False,False,False,,False,True,163
train-000224,exclude,False,hard_diagnostic,hard_diagnostic,31,True,False,False,True,False,True,False,,False,False,
train-000225,exclude,False,template_validation,template_validation,40,True,False,True,False,False,True,False,,False,False,
train-000226,include,True,,,1,True,False,False,False,False,False,False,,False,True,164
train-000227,include,True,,,14,True,False,False,False,False,False,False,,False,True,165
train-000228,include,True,,,759,True,False,False,False,False,False,False,,False,True,166
train-000229,include,True,,,54,True,False,False,False,False,False,False,,False,True,167
train-000230,include,True,,,21,True,False,False,False,False,False,False,,False,True,168
train-000231,exclude,False,format_diagnostic,format_diagnostic,-4,True,False,False,False,True,True,False,,False,False,
train-000232,include,True,,,14,True,False,False,False,False,False,False,,False,True,169
train-000233,include,True,,,15,True,False,False,False,False,False,False,,False,True,170
train-000234,exclude,False,template_validation,template_validation,6,True,False,True,False,False,True,False,,False,False,
train-000235,include,True,,,128,True,False,False,False,False,False,False,,False,True,171
train-000236,include,True,,,52,True,False,False,False,False,False,False,,False,True,172
train-000237,exclude,False,random_validation,random_validation,28,True,True,False,False,False,True,False,,False,False,
train-000238,include,True,,,13,True,False,False,False,False,False,False,,False,True,173
train-000239,exclude,False,template_validation,template_validation,32,True,False,True,False,False,True,False,,False,False,
train-000240,include,True,,,60,True,False,False,False,False,False,False,,False,True,174
train-000241,include,True,,,2072,True,False,False,False,False,False,False,,False,True,175
train-000242,exclude,False,template_validation,template_validation|hard_diagnostic,2,True,False,True,True,False,True,False,,False,False,
train-000243,include,True,,,40,True,False,False,False,False,False,False,,False,True,176
train-000244,include,True,,,27,True,False,False,False,False,False,False,,False,True,177
train-000245,include,True,,,37500,True,False,False,False,False,False,False,,False,True,178
train-000246,exclude,False,random_validation,random_validation,12,True,True,False,False,False,True,False,,False,False,
train-000247,include,True,,,880,True,False,False,False,False,False,False,,False,True,179
train-000248,include,True,,,2539,True,False,False,False,False,False,False,,False,True,180
train-000249,include,True,,,100,True,False,False,False,False,False,False,,False,True,181
train-000250,include,True,,,4,True,False,False,False,False,False,False,,False,True,182
train-000251,include,True,,,7,True,False,False,False,False,False,False,,False,True,183
train-000252,include,True,,,8,True,False,False,False,False,False,False,,False,True,184
train-000253,include,True,,,33,True,False,False,False,False,False,False,,False,True,185
train-000254,include,True,,,12,True,False,False,False,False,False,False,,False,True,186
train-000255,include,True,,,525,True,False,False,False,False,False,False,,False,True,187
train-000257,exclude,False,template_validation,template_validation,131,True,False,True,False,False,True,False,,False,False,
train-000258,include,True,,,62,True,False,False,False,False,False,False,,False,True,188
train-000259,include,True,,,5040,True,False,False,False,False,False,False,,False,True,189
train-000260,include,True,,,60,True,False,False,False,False,False,False,,False,True,190
train-000261,include,True,,,22,True,False,False,False,False,False,False,,False,True,191
train-000262,include,True,,,4,True,False,False,False,False,False,False,,False,True,192
train-000263,exclude,False,random_validation,random_validation,40,True,True,False,False,False,True,False,,False,False,
train-000264,exclude,False,random_validation,random_validation|template_validation,42,True,True,True,False,False,True,False,,False,False,
train-000265,include,True,,,20,True,False,False,False,False,False,False,,False,True,193
train-000266,include,True,,,100,True,False,False,False,False,False,False,,False,True,194
train-000267,include,True,,,5,True,False,False,False,False,False,False,,False,True,195
train-000268,include,True,,,116,True,False,False,False,False,False,False,,False,True,196
train-000269,include,True,,,2200,True,False,False,False,False,False,False,,False,True,197
train-000270,exclude,False,random_validation,random_validation,3,True,True,False,False,False,True,False,,False,False,
train-000271,include,True,,,315,True,False,False,False,False,False,False,,False,True,198
train-000272,include,True,,,-5,True,False,False,False,False,False,False,,False,True,199
train-000273,include,True,,,8,True,False,False,False,False,False,False,,False,True,200
train-000274,include,True,,,2,True,False,False,False,False,False,False,,False,True,201
train-000275,include,True,,,300,True,False,False,False,False,False,False,,False,True,202
train-000276,exclude,False,random_validation,random_validation,6,True,True,False,False,False,True,False,,False,False,
train-000277,include,True,,,1125,True,False,False,False,False,False,False,,False,True,203
train-000278,include,True,,,160,True,False,False,False,False,False,False,,False,True,204
train-000279,include,True,,,86,True,False,False,False,False,False,False,,False,True,205
train-000280,exclude,False,random_validation,random_validation,1,True,True,False,False,False,True,False,,False,False,
train-000281,include,True,,,16,True,False,False,False,False,False,False,,False,True,206
train-000282,exclude,False,template_validation,template_validation,390,True,False,True,False,False,True,False,,False,False,
train-000283,include,True,,,420,True,False,False,False,False,False,False,,False,True,207
train-000284,include,True,,,47190,True,False,False,False,False,False,False,,False,True,208
train-000286,include,True,,,8,True,False,False,False,False,False,False,,False,True,209
train-000287,include,True,,,400,True,False,False,False,False,False,False,,False,True,210
train-000288,include,True,,,11,True,False,False,False,False,False,False,,False,True,211
train-000289,exclude,False,random_validation,random_validation,4,True,True,False,False,False,True,False,,False,False,
train-000290,exclude,False,random_validation,random_validation,4000,True,True,False,False,False,True,False,,False,False,
train-000291,exclude,False,random_validation,random_validation|template_validation,576,True,True,True,False,False,True,False,,False,False,
train-000292,exclude,False,template_validation,template_validation,7,True,False,True,False,False,True,False,,False,False,
train-000293,include,True,,,1,True,False,False,False,False,False,False,,False,True,212
train-000295,exclude,False,template_validation,template_validation,31840,True,False,True,False,False,True,False,,False,False,
train-000296,include,True,,,4,True,False,False,False,False,False,False,,False,True,213
train-000297,include,True,,,6,True,False,False,False,False,False,False,,False,True,214
train-000298,include,True,,,10,True,False,False,False,False,False,False,,False,True,215
train-000299,include,True,,,686,True,False,False,False,False,False,False,,False,True,216
train-000300,include,True,,,3150,True,False,False,False,False,False,False,,False,True,217
train-000301,include,True,,,258,True,False,False,False,False,False,False,,False,True,218
