custom_id,row_id,effort,variant,reusable_for_free_reanalysis,reason_codes,manifest_answer_hidden,request_body_hash_reproduced,raw_response_exists
p2_r4_audit_train-000108_a_low_1037f3153672,train-000108,low,a,True,,True,True,True
p2_r4_audit_train-000108_a_medium_7ae140ca5755,train-000108,medium,a,True,,True,True,True
p2_r4_audit_train-000108_b_low_86407d0344b9,train-000108,low,b,True,,True,True,True
p2_r4_audit_train-000108_b_medium_67bb33a97073,train-000108,medium,b,True,,True,True,True
p2_r4_audit_train-000221_a_low_ff666c1641d6,train-000221,low,a,True,,True,True,True
p2_r4_audit_train-000221_a_medium_d3636c2e86bc,train-000221,medium,a,True,,True,True,True
p2_r4_audit_train-000221_b_low_c13e81f528db,train-000221,low,b,True,,True,True,True
p2_r4_audit_train-000221_b_medium_1ef7e896d506,train-000221,medium,b,True,,True,True,True
p2_r4_audit_train-000455_a_low_8790cbb2416f,train-000455,low,a,True,,True,True,True
p2_r4_audit_train-000455_a_medium_ac93dbee948a,train-000455,medium,a,True,,True,True,True
p2_r4_audit_train-000455_b_low_173dbde32ed0,train-000455,low,b,True,,True,True,True
p2_r4_audit_train-000455_b_medium_c4613d32b069,train-000455,medium,b,True,,True,True,True
p2_r4_audit_train-000485_a_low_0abf2612e7f4,train-000485,low,a,True,,True,True,True
p2_r4_audit_train-000485_a_medium_6ff4d9de0413,train-000485,medium,a,True,,True,True,True
p2_r4_audit_train-000485_b_low_04cf868ec6e5,train-000485,low,b,True,,True,True,True
p2_r4_audit_train-000485_b_medium_fe934199e140,train-000485,medium,b,True,,True,True,True
p2_r4_audit_train-000795_a_low_5514bc19d1a6,train-000795,low,a,True,,True,True,True
p2_r4_audit_train-000795_a_medium_107899c9528c,train-000795,medium,a,True,,True,True,True
p2_r4_audit_train-000795_b_low_04d1bcbaaf60,train-000795,low,b,True,,True,True,True
p2_r4_audit_train-000795_b_medium_40a2d598790d,train-000795,medium,b,True,,True,True,True
p2_r4_audit_train-001449_a_low_42a7872dc8c2,train-001449,low,a,True,,True,True,True
p2_r4_audit_train-001449_a_medium_28c09f091e0b,train-001449,medium,a,True,,True,True,True
p2_r4_audit_train-001449_b_low_45a4d3c72aa4,train-001449,low,b,True,,True,True,True
p2_r4_audit_train-001449_b_medium_8957935445ab,train-001449,medium,b,True,,True,True,True
p2_r4_audit_train-001793_a_low_997f21c3f15f,train-001793,low,a,True,,True,True,True
p2_r4_audit_train-001793_a_medium_8d55810cfdc0,train-001793,medium,a,True,,True,True,True
p2_r4_audit_train-001793_b_low_0fc3b029c69e,train-001793,low,b,True,,True,True,True
p2_r4_audit_train-001793_b_medium_0a5fa0fa7c37,train-001793,medium,b,True,,True,True,True
p2_r4_audit_train-001972_a_low_ab3833a32d2c,train-001972,low,a,True,,True,True,True
p2_r4_audit_train-001972_a_medium_eb5df92af643,train-001972,medium,a,True,,True,True,True
p2_r4_audit_train-001972_b_low_39096440740c,train-001972,low,b,True,,True,True,True
p2_r4_audit_train-001972_b_medium_86bd362e9442,train-001972,medium,b,True,,True,True,True
p2_r4_audit_train-002025_a_low_e67c29b298f5,train-002025,low,a,True,,True,True,True
p2_r4_audit_train-002025_a_medium_13f1aff1bb20,train-002025,medium,a,True,,True,True,True
p2_r4_audit_train-002025_b_low_ba8b864a059f,train-002025,low,b,True,,True,True,True
p2_r4_audit_train-002025_b_medium_583864695d77,train-002025,medium,b,True,,True,True,True
p2_r4_audit_train-002773_a_low_780d3a5863f9,train-002773,low,a,True,,True,True,True
p2_r4_audit_train-002773_a_medium_777d08efd796,train-002773,medium,a,True,,True,True,True
p2_r4_audit_train-002773_b_low_95dcf04d89a6,train-002773,low,b,True,,True,True,True
p2_r4_audit_train-002773_b_medium_2e40faf88f00,train-002773,medium,b,True,,True,True,True
p2_r4_audit_train-002837_a_low_5cdbe1bb828b,train-002837,low,a,True,,True,True,True
p2_r4_audit_train-002837_a_medium_c7d1f0defe61,train-002837,medium,a,True,,True,True,True
p2_r4_audit_train-002837_b_low_3b36b2b5c686,train-002837,low,b,True,,True,True,True
p2_r4_audit_train-002837_b_medium_6eab05b86321,train-002837,medium,b,True,,True,True,True
p2_r4_audit_train-002879_a_low_ff85e6f30617,train-002879,low,a,True,,True,True,True
p2_r4_audit_train-002879_a_medium_3c07c89741a0,train-002879,medium,a,True,,True,True,True
p2_r4_audit_train-002879_b_low_c88814c8a29d,train-002879,low,b,True,,True,True,True
p2_r4_audit_train-002879_b_medium_c88df592c404,train-002879,medium,b,True,,True,True,True
p2_r4_audit_train-003115_a_low_12588f6089e2,train-003115,low,a,True,,True,True,True
p2_r4_audit_train-003115_a_medium_b4d96123d691,train-003115,medium,a,True,,True,True,True
p2_r4_audit_train-003115_b_low_416cb4511969,train-003115,low,b,True,,True,True,True
p2_r4_audit_train-003115_b_medium_49dc255d1dc5,train-003115,medium,b,True,,True,True,True
p2_r4_audit_train-003183_a_low_4a6cbdd9ee3a,train-003183,low,a,True,,True,True,True
p2_r4_audit_train-003183_a_medium_a220c4f7a898,train-003183,medium,a,True,,True,True,True
p2_r4_audit_train-003183_b_low_0c23a35c6909,train-003183,low,b,True,,True,True,True
p2_r4_audit_train-003183_b_medium_f864b0b913d6,train-003183,medium,b,True,,True,True,True
p2_r4_audit_train-003314_a_low_60e2d946f04d,train-003314,low,a,True,,True,True,True
p2_r4_audit_train-003314_a_medium_ccad4faaa61b,train-003314,medium,a,True,,True,True,True
p2_r4_audit_train-003314_b_low_5f4691b3f6b5,train-003314,low,b,True,,True,True,True
p2_r4_audit_train-003314_b_medium_db032978a78a,train-003314,medium,b,True,,True,True,True
p2_r4_audit_train-003404_a_low_741925dce84d,train-003404,low,a,True,,True,True,True
p2_r4_audit_train-003404_a_medium_d7818a154fee,train-003404,medium,a,True,,True,True,True
p2_r4_audit_train-003404_b_low_1f4f3461ad53,train-003404,low,b,True,,True,True,True
p2_r4_audit_train-003404_b_medium_a4fe40427275,train-003404,medium,b,True,,True,True,True
p2_r4_audit_train-003850_a_low_c9404769a0f7,train-003850,low,a,True,,True,True,True
p2_r4_audit_train-003850_a_medium_25943c011d9d,train-003850,medium,a,True,,True,True,True
p2_r4_audit_train-003850_b_low_facc1ea00e2d,train-003850,low,b,True,,True,True,True
p2_r4_audit_train-003850_b_medium_ad1d55984cec,train-003850,medium,b,True,,True,True,True
p2_r4_audit_train-003920_a_low_27399af5bc2e,train-003920,low,a,True,,True,True,True
p2_r4_audit_train-003920_a_medium_201f3bb9c1d5,train-003920,medium,a,True,,True,True,True
p2_r4_audit_train-003920_b_low_6437c9c550d8,train-003920,low,b,True,,True,True,True
p2_r4_audit_train-003920_b_medium_2cd79c75c60e,train-003920,medium,b,True,,True,True,True
p2_r4_audit_train-004074_a_low_e6d03cd54e76,train-004074,low,a,True,,True,True,True
p2_r4_audit_train-004074_a_medium_d22726ebcc56,train-004074,medium,a,True,,True,True,True
p2_r4_audit_train-004074_b_low_b60c97bbc77e,train-004074,low,b,True,,True,True,True
p2_r4_audit_train-004074_b_medium_d90e65b80355,train-004074,medium,b,True,,True,True,True
p2_r4_audit_train-004140_a_low_63218baf6d1b,train-004140,low,a,True,,True,True,True
p2_r4_audit_train-004140_a_medium_67cf61e88710,train-004140,medium,a,True,,True,True,True
p2_r4_audit_train-004140_b_low_2287af51faa1,train-004140,low,b,True,,True,True,True
p2_r4_audit_train-004140_b_medium_68ca1a56014f,train-004140,medium,b,True,,True,True,True
p2_r4_audit_train-004302_a_low_15bf4f5d55f7,train-004302,low,a,True,,True,True,True
p2_r4_audit_train-004302_a_medium_42518a2147e8,train-004302,medium,a,True,,True,True,True
p2_r4_audit_train-004302_b_low_747c776f7821,train-004302,low,b,True,,True,True,True
p2_r4_audit_train-004302_b_medium_ddb4b43e6dde,train-004302,medium,b,True,,True,True,True
p2_r4_audit_train-004623_a_low_7383d7913712,train-004623,low,a,True,,True,True,True
p2_r4_audit_train-004623_a_medium_a4ba1701498c,train-004623,medium,a,True,,True,True,True
p2_r4_audit_train-004623_b_low_61f82017bef3,train-004623,low,b,True,,True,True,True
p2_r4_audit_train-004623_b_medium_4e63c3333863,train-004623,medium,b,True,,True,True,True
p2_r4_audit_train-004657_a_low_681c034fd9d2,train-004657,low,a,True,,True,True,True
p2_r4_audit_train-004657_a_medium_bede20db2c66,train-004657,medium,a,True,,True,True,True
p2_r4_audit_train-004657_b_low_2717198617c5,train-004657,low,b,True,,True,True,True
p2_r4_audit_train-004657_b_medium_33fb94320260,train-004657,medium,b,True,,True,True,True
p2_r4_audit_train-004795_a_low_cf42f6c34b93,train-004795,low,a,True,,True,True,True
p2_r4_audit_train-004795_a_medium_fe2d70b3d9ce,train-004795,medium,a,True,,True,True,True
p2_r4_audit_train-004795_b_low_443b196a3705,train-004795,low,b,True,,True,True,True
p2_r4_audit_train-004795_b_medium_84eddee152b5,train-004795,medium,b,True,,True,True,True
